"","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1"
"72",25.8452,1.82273939999999,5.8708542,-13.5521496,8.07232099999999,-27.8132026,-272.642110799992,105.523105999993,-0.0002296,-0.2171428,-0.2402036,-0.2674422,-0.267265399999999,-0.164169600000001,-0.145002,-0.147968799999999,-0.152758199999999,-0.156477799999999,927.9845084,290.8151022,1029.6300142,101.645514,397.376942,632.2530804,534.4370518,30.5002716,67.3159144,101.8253104,4.436849,184.2969472,99.3895338,7.4283096,143.714731,22.6020704,90.9582458,251.6141308,11.1394826,361.8047102,375.0593208,15.27402,52.2748136,75.0568426,8.6853042,24.2074044,13.9975988,14.069813
"84",4.98472939999999,-2.63741999999999,-8.5578974,8.606415,9.7325482,-7.59018800000001,-273.130062600001,99.8566723999975,-0.000837800000000001,0.0295112,0.170671,0.170821,0.1207916,-0.0834593999999989,-0.1303096,-0.133889399999999,-0.1350254,-0.138555400000001,901.551449,264.9955786,1026.553208,125.0017384,387.7344056,638.8188024,545.1327768,30.4253862,63.2607048,100.9408726,4.4844648,174.232295,100.5249816,7.5517744,152.760786,24.2899792,94.1545622,241.9517614,10.9138204,332.5193348,367.7736434,15.0450808,37.9041614,61.2414682,11.488221,13.5501886,12.3049256,12.0490706
"96",8.21921979999999,1.14897859999999,4.06545460000001,7.7831692,8.69725499999998,-0.930967799999962,-265.304561600002,93.4470776000089,0.0020006,0.2250496,0.150182,0.1470034,0.1232964,0.0583688000000002,0.0403021999999993,0.0356041999999999,0.0340109999999996,0.0334578000000008,866.1861036,279.3873374,956.5303426,90.3442366,367.433877,589.096469,498.4849968,27.9450382,62.6664762,97.9018766,4.2946458,163.132577,94.9406826,7.1641022,155.7650716,22.7116116,87.4761588,238.865157,10.607833,316.0905146,352.2710018,14.4805436,41.784084,63.669262,9.3780956,17.467592,11.983946,12.3325546
"721",-2.03582059999999,4.87111760000001,-11.8735232,-18.2627148,9.5739198,-55.0309664,28.2886117999878,23.4314526000089,-0.0022898,-0.2061736,-0.2284628,-0.197302,-0.2547356,-0.202640000000001,-0.2345828,-0.256721600000001,-0.265891,-0.274445,921.767121,315.6530652,920.3245778,-1.4425502,311.493286,608.8312786,476.4997608,43.3757212,88.9554784,143.6308922,4.1844286,141.066319,15.3112334,7.3004342,180.4000994,22.9009218,121.392032,323.4946404,9.8920868,262.3570138,54.5411296,14.1205912,20.199706,31.8874336,3.5013544,8.1401748,3.197489,8.8620222
"841",-13.4790596,0.903469000000001,-13.4276754,5.04915699999998,10.7846466,-18.777063,11.7370314,16.4642497999885,-0.0002118,-0.0908188000000001,-0.1515846,-0.0687921999999999,-0.0370150000000002,-0.0139465999999997,-0.0338799999999999,-0.0429323999999998,-0.0502475999999996,-0.0579800000000006,840.4667822,272.047076,828.4789426,-11.9878398,253.7754628,574.7034828,441.9296638,41.3576808,91.415988,123.5454552,3.7164042,106.563603,13.5200208,6.4299718,167.9816242,22.849642,107.2200894,273.578793,8.6379554,194.8689276,47.2834144,12.2216996,11.984202,21.3295438,3.8386212,3.7521572,2.1684796,6.0635662
"961",-11.4797828,2.3906992,-2.17059379999999,3.66599020000001,9.847329,-6.7250612,9.56697020000138,12.3222208000079,-0.0001584,-0.117227,-0.1713876,-0.12695,-0.0712638000000005,0.0250886000000001,0.0393356000000002,0.0359090000000002,0.0389774000000003,0.0421624000000005,705.3167634,248.8404864,680.2680244,-25.0487506,216.713514,463.5544906,346.0908022,30.6329962,86.8306404,108.1166848,3.307622,87.985864,11.7269942,5.576358,148.428423,20.6028456,91.069424,238.9229704,7.665277,160.2897998,40.8664414,10.5650562,9.554338,16.7190968,2.8844114,3.3281164,1.5632802,4.6629258
"722",25.6064814,16.3575994,29.2705196,14.1344102,7.30107600000002,79.7223278,-822.244705000005,262.368420800005,0.00097985370741483,0.31133594268537,0.41173917755511,0.269138747494989,0.0083242036072102,-0.0788859266533102,-0.0782158949899809,-0.0698982765531095,-0.0571613827655302,-0.0645740945891795,865.8741224,423.72633,1264.24584940842,398.127022963126,830.67949344008,433.4379308,297.5771582,41.7701328,94.090654,145.157618791182,6.29292099679358,357.800249810421,309.773302953106,11.6554010825651,210.8837504,24.9406208,116.6671486,317.1543226,13.8986978,610.6992722,1002.67937,19.3285712,7710.40740235471,54.8614976,10.3014585202405,7637.39082775832,7.7451668,65.255540597996
"842",4.13534579999998,15.318897,7.5424878,43.0928904,10.5314256,43.7717112,-714.051122999997,239.111360199997,4.38290235088706e-05,0.0955768500857099,0.301983913207939,0.361749746480911,0.30743293534861,-0.00906719543504053,-0.0532432680622303,-0.0563229684268105,-0.0746714686400889,-0.0861761993867205,867.8883396,409.826021,1195.41248328223,327.662598378685,738.124223960773,457.4764268,323.5193236,45.9716066,87.9854908,136.486383565122,5.45178545162614,328.22370022696,258.709402946455,9.2529379224312,228.880907,27.0107052,126.9377044,316.7784916,12.427777,587.645324,887.601454,17.3260546,21.6069488668099,42.7305364,10.6037840407723,4.365576023533,6.6050316,10.6132310906955
"962",-3.5619538,14.9799506000001,1.43561699999998,31.1727376,11.2477654,29.6024735999999,-636.150453399998,217.763859999992,0.00498413654618473,0.0396710843373502,0.15703554216868,0.22942088353414,0.237823493975911,0.138510240963851,0.0938319277108413,0.05678534136546,0.0401700803212801,0.0361473895582289,805.0654986,387.371173,1109.56402449799,304.623000803213,695.397474096386,414.3237682,289.8649618,43.4011766,81.057631,137.679305421687,5.05469136546185,311.775132128514,232.464193574297,8.42415261044177,226.0450418,26.8046216,121.6683092,320.558737,11.536435,558.9612354,799.4521214,15.8023364,24.9418002008032,40.7761366,8.53298674698796,8.83309759036144,5.377277,10.7097947791165
"723",24.0063146,20.7638394,36.1160572,5.36135859999999,6.88664060000002,12.7257982,-547.096689400001,215.826422400001,0.0097868,-0.8099536,0.5070078,0.6589196,0.3836658,-0.2039552,-0.2332994,-0.2476056,-0.254144,-0.2596092,1010.6502358,442.0826204,1189.9214974,179.2712462,630.5691992,559.3522848,426.166425,39.964986,93.2208856,141.7612044,6.2624968,268.8244346,205.3826526,8.3384144,221.2161468,25.6379468,114.3418664,334.0428508,14.905679,546.9615722,729.6240452,16.1492602,41.1771872,79.1682174,19.1905306,7.3124844,14.984954,18.8797482
