"","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1"
"72",21.47926,0.181119999999993,-2.67594000000003,-7.20663999999999,10.6658,-31.5753,-207.904679999992,81.9890799999994,7.99999999999998e-05,0.31664,1.19274,0.92964,0.0867399999999998,-0.1576,-0.17226,-0.177899999999999,-0.182279999999999,-0.18552,720.74146,268.72052,805.90412,85.1628,355.71278,450.1914,366.29608,23.8589,60.03652,105.09496,3.25646,157.9187,81.895,7.54794,136.94508,21.8785,90.91232,238.34348,7.92634,314.59502,305.87122,15.28062,2.17978,123.21164,40.35104,59.40372,6.79692,19.46822
"84",2.5189,-3.70132,-15.3974,8.3801,11.70932,-9.95106000000004,-208.973460000008,77.120299999995,0.00028,0.00700000000000012,-0.0312999999999999,0.160620000000001,0.169340000000001,-0.00890000000000057,-0.0522600000000004,-0.0631000000000004,-0.0730200000000014,-0.0836000000000006,692.10152,242.30604,799.77202,107.6705,346.8532,452.91886,372.8339,23.69054,56.39466,104.92824,3.34188,148.19504,82.74884,7.63924,143.09718,23.04052,92.74962,230.92442,7.8771,285.74356,298.97568,14.97758,2.16614,119.57252,28.37486,47.15586,9.48428,9.68166
"96",6.25110000000001,0.400939999999991,0.000959999999992078,5.76419999999999,10.28512,-3.09729999999996,-206.457800000004,71.3827999999921,0.00146,0.28804,0.323560000000001,0.18092,0.140379999999999,0.0792800000000007,0.0637600000000003,0.0597200000000004,0.0582799999999999,0.0573800000000002,670.43792,257.31318,742.66794,72.23,328.2738,414.39416,334.96014,21.88026,57.5537,101.20756,3.2539,138.23204,78.3058,7.27448,144.64152,21.25718,84.7614,226.82604,7.78442,270.7403,287.20396,14.46708,2.14072,117.52858,32.17612,49.90442,7.72342,13.50806
"721",3.42583999999999,6.44380000000001,8.15581999999998,2.19878,14.8735,-19.12976,-347.278099999996,162.103159999999,-0.00288,-0.33588,-0.18698,-0.0889199999999999,-0.0788799999999998,-0.290220000000001,-0.33932,-0.3576,-0.3647,-0.37092,776.80228,338.97126,922.67784,145.8755,487.39064,435.2873,338.51384,25.12246,71.651,118.79874,2.28774,220.2186,140.74446,5.34124,189.86242,23.69604,107.38738,298.60172,5.26692,445.77902,493.52218,10.18198,1.44842,175.30844,25.6471,41.04292,6.07304,8.5706
"841",-5.7912,3.45089999999999,-0.382619999999974,17.70988,15.52028,3.20349999999996,-313.937519999992,139.729640000005,0.00114,0.0449200000000001,0.20552,0.21666,0.18232,-0.0758399999999995,-0.14386,-0.15474,-0.1586,-0.1627,738.63302,314.15212,862.2404,123.60744,434.98882,427.25156,331.8215,24.57604,70.85396,111.92958,2.17004,189.78614,126.28334,4.81962,187.33636,24.07654,105.46128,278.69842,4.94598,383.7605,438.42342,9.09766,1.36022,163.65608,18.13258,32.45006,6.81104,4.7273
"961",-3.33232000000001,7.78858000000001,4.28188,18.5399,14.9871,8.6404,-270.045300000013,117.79376,-0.000580000000000001,-0.15232,-0.13128,-0.13782,-0.0734000000000004,-0.0529600000000006,-0.0733800000000002,-0.0797400000000001,-0.0781599999999996,-0.0759600000000002,693.3301,305.12876,771.14694,77.81688,384.3444,386.80274,290.49166,24.17064,72.14038,103.81518,1.98876,165.63942,108.72664,4.17412,178.35856,22.95908,95.07292,258.33306,4.5274,335.12674,377.1118,7.86872,1.24504,151.67098,15.80954,27.0452,4.9183,4.84898
"722",4.66476,5.78056000000004,7.38222000000002,-13.256,-5.19684000000001,118.10948,-938.893719999993,283.787479999999,0.00082,0.97182,2.52578,2.0899,0.722100000000001,0.0328800000000005,-0.0364799999999992,-0.0647799999999989,-0.0842600000000004,-0.10084,589.37066,326.96922,1084.5019,495.1313,823.93848,260.56326,160.81232,34.16668,65.58424,135.77972,10.64614,348.90504,319.911,8.69678,185.91698,23.1071,100.11956,302.75358,24.83852,613.62034,1113.39226,16.54236,6.83056,167.58588,33.873,61.23086,10.58566,17.61328
"842",-2.3364,3.75255999999996,-1.97882000000001,19.41202,-0.284520000000015,49.57748,-816.4375,261.089080000005,0.00038,0.23444,0.31532,0.509300000000001,0.430999999999999,0.128220000000001,0.0474799999999984,0.0254799999999999,0.0101399999999998,-0.00447999999999915,560.33098,312.2118,1028.08754,467.75646,779.24212,248.84528,153.66124,33.0722,62.112,124.73436,8.96832,347.843,289.7949,7.90158,186.11088,23.809,102.85394,273.11842,20.5213,602.86576,989.88498,14.75038,5.64332,150.8749,19.40204,42.07032,11.5199,5.71874
"962",-2.90613999999999,4.07314000000002,-1.79713999999998,17.45532,1.41158000000001,25.03418,-725.023440000004,235.390599999999,0.00416,0.01248,0.11968,0.169219999999999,0.229940000000001,0.134459999999999,0.101520000000001,0.0929599999999997,0.0910200000000003,0.0895200000000003,531.63932,295.83462,949.904,418.26472,716.01624,233.8879,144.03084,31.4192,58.43786,118.00114,7.64178,325.22548,257.9844,7.16328,178.62574,22.31842,95.52256,260.04298,17.55864,566.46432,884.52052,13.41148,4.82864,143.22114,21.27182,40.0972,8.9778,8.99026
"723",42.62542,14.19782,29.54256,18.26906,12.22192,40.30772,-604.160900000003,238.121879999992,0.00566,-0.55212,0.1452,0.3651,0.138199999999999,-0.13864,-0.13816,-0.148580000000001,-0.1555,-0.161720000000001,961.0829,432.20074,1142.83756,181.75478,625.73084,517.10678,358.55412,57.3229,101.22938,129.97708,3.76264,248.41848,234.72284,8.84958,197.02706,24.3121,124.4963,306.9032,8.44412,546.6966,810.32192,16.64734,2.3221,174.34404,23.06658,46.35902,12.76698,3.50174
