"","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1"
"72",29.084184625,0.507153875,-1.84905524999999,-15.85258875,7.68305225,-45.694461625,-162.604590750008,66.7656830000051,0.000178625,0.0253212500000002,0.13189875,-0.00906424999999977,-0.208525,-0.173142125,-0.162700375,-0.164712125000001,-0.167465999999999,-0.169346000000001,718.07781475,272.2099375,799.05760025,80.979785,355.80232925,443.255270625,367.30179975,21.695334125,54.258137125,104.602029875,4.54528475,167.170234,70.10667975,9.37808725,130.881214875,21.923735625,91.662607375,241.6849425,10.951911625,312.694107,253.9227215,18.450837875,3.011778375,131.734470875,28.64245125,43.7195305,6.0080455,14.860062
"84",6.06048487499999,-3.190428125,-13.02789025,7.34250287500001,9.058699875,-17.711869125,-170.239434499992,61.1251859999902,-0.000358,-0.00177875000000016,0.0248741250000002,0.0956268749999998,0.1094615,-0.000871874999999633,-0.0357649999999996,-0.0457841249999991,-0.056082,-0.0671386249999983,693.78703675,246.875706625,787.120763625,93.333729125,336.741316375,450.379458375,377.69386175,21.539112375,51.1464795,101.755176125,4.563027375,150.656690375,70.33364825,9.432774875,139.429156875,23.278513375,94.326037375,229.904907375,10.728008,275.601130375,248.683259,18.1301735,2.95020425,125.388712375,19.63716225,34.479883875,7.734953375,7.5293025
"96",5.965086625,0.2596585,1.59752075,6.16722687499998,7.84793787500001,-5.977013,-167.514999625011,56.8445003750094,0.0011305,0.164439875,0.158318125,0.147843375,0.120749,0.0802053750000002,0.0660659999999993,0.0613388750000006,0.0594507499999999,0.0581057499999993,672.003852875,257.85874325,731.224872125,59.2210175,317.331440625,413.893432375,338.832650375,20.080042625,54.980735125,98.59300125,4.3838145,138.49335125,66.866143125,8.995127,141.4302125,21.495245375,87.111073125,225.5976395,10.42321975,256.3109015,238.990586125,17.471487,2.866378375,122.9749895,22.163992375,36.070633875,6.424528375,10.1651145
"721",3.30871900000002,8.30633387500001,6.31152299999999,3.505612875,10.9914874999999,-20.831070125,-229.524179374988,111.799042125,-0.00187925,-0.2503075,-0.11627425,-0.088428,-0.157831000000001,-0.191733875000001,-0.226741875,-0.24954825,-0.260819375,-0.270510375,808.809564,351.034093625,894.188036625,85.378483,435.736295,458.45174425,327.658420375,48.567667875,82.22567625,132.6533425,4.119212375,192.5243375,100.247873625,6.19151825,195.814102875,24.074289125,113.21967825,309.139865125,9.471511,373.8041225,348.03222575,11.76968175,2.60466,173.658583625,18.550823625,31.2683555,4.329763,5.79117675
"841",-8.70415687500002,4.21898,-3.14020500000001,19.618263375,12.6276785,0.00755862500000148,-208.004217500013,96.4379409999965,5.71249999999999e-05,0.0126016250000001,0.1404445,0.183995,0.139796,0.00340337500000043,-0.0405654999999996,-0.0528012499999999,-0.0618017499999999,-0.0702780000000001,757.4814205,317.6254575,832.75910275,75.277686875,387.399581625,445.35952075,313.651434125,48.22301525,83.48507225,122.944534375,3.7543205,165.5557615,89.587400125,5.557584,190.038876875,24.929228375,110.283206375,284.441375875,8.562092125,318.824808625,308.6899545,10.476249375,2.354578125,159.772225625,13.22638225,24.75885225,4.7608965,3.16059075
"961",-7.8374355,7.72835474999999,0.960638625000001,17.926454,12.554414875,5.932610125,-180.984052499989,81.7523446249979,-0.000224875,-0.157049875,-0.179557,-0.10454075,-0.0290533750000002,0.0152163749999996,0.0144256249999994,0.00962700000000005,0.011177,0.0131972500000002,680.897615875,298.59518325,725.094687375,44.197065375,341.26905575,383.825628375,264.71991,39.601611375,79.504109625,112.248766375,3.348137375,143.73478625,77.13345,4.80391225,176.156021625,23.7501245,97.83766375,259.627021375,7.63358725,276.727381,265.69066275,9.05201075,2.099238125,145.739870875,11.66870825,20.63154325,3.369457,3.372932
"722",19.167985,6.03841199999999,12.274966,-7.68186799999998,10.220792,65.492536,-850.476245999991,258.985782999996,0.001664,0.360965,0.635725,0.575511,0.207018,-0.046735,-0.0706210000000009,-0.0910340000000005,-0.106558000000001,-0.119994999999999,610.230489,333.744459,1052.619101,442.388595,779.876658,272.742439,182.784133,24.657699,65.300604,121.464904,4.361231,347.415156,293.463316,13.172018,172.175396,23.815586,100.272227,283.703891,10.022765,617.90202,1026.343133,25.078747,2.756274,158.941372,37.004681,63.425007,10.455712,14.155669
"842",7.29320300000001,5.02399600000001,4.517043,28.141632,11.755889,31.692814,-738.108674000003,233.102263000008,-0.000952,-0.046616,0.114618,0.262502,0.255858,-0.023479,-0.0934270000000001,-0.0652589999999993,-0.0635329999999996,-0.0733139999999999,603.515892,331.434651,995.010976,391.495056,724.07401,270.936976,184.222607,24.414123,62.300233,115.63678,4.031799,330.000011,262.421145,11.984273,184.573061,24.568788,105.458279,265.574107,9.127727,578.571091,903.210678,22.471343,2.51013,148.553369,23.733799,46.071972,10.919763,5.080372
"962",1.554733,4.92713900000001,2.053223,23.465123,11.26868,20.9026530000001,-659.513672000001,211.257818999991,0.002506,-0.00835299999999983,0.0494210000000002,0.129017,0.188126,0.112657,0.138472,0.0889780000000009,0.0718829999999997,0.0674010000000003,579.75565,317.491766,933.253972,353.498331,674.185216,259.068818,177.113259,23.45427,58.501282,115.100289,3.78177,309.008048,235.447947,10.847115,184.288679,23.359197,101.308248,265.633764,8.587759,543.092807,812.670937,20.394756,2.36164,148.493261,24.416497,43.690164,8.574275,7.722465
"723",43.436867875,14.092414875,27.911624,14.6999135,7.60979400000002,31.3510825,-597.855965625,238.513613250005,0.012563375,-0.885621,0.305888125,0.479100875,0.2991915,-0.2044295,-0.218542,-0.227961875,-0.233277500000001,-0.238036125,961.960266625,431.01334275,1143.024628625,181.064376,622.3582335,520.666395125,375.973810875,47.78334225,96.90921025,129.7110375,5.58181575,251.80710525,226.891572,8.3667135,195.607206875,24.306649375,125.65763,310.211009,13.050887125,552.7969,799.878004875,16.070432625,3.588993625,176.97938525,35.728426875,69.341482375,18.358925625,5.016338625
