"","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1"
"72",31.796554,0.313709000000003,-2.08759500000002,-12.804242,8.411562,-41.979047,-173.282107999999,66.5296899999958,0.000472999999999999,0.015552,0.060543,-0.03925,-0.185702,-0.170609000000001,-0.162427000000001,-0.164538,-0.167147,-0.16882,712.018139,269.809917,794.015741,81.997598,354.498609,439.517145,364.835589,21.736662,52.944917,101.492929,4.234602,168.070383,71.266278,9.434422,127.193272,21.836385,90.757849,234.030913,10.148876,306.644754,257.84749,18.579042,2.790947,127.381039,27.896544,43.411689,6.44058,14.137219,5.525864,8.233441
"84",7.76614799999999,-3.29563400000001,-13.031841,8.79590200000001,9.65402899999998,-15.520983,-179.968284999995,60.8934310000041,-0.000319,0.0662859999999998,0.0539339999999999,0.0948880000000001,0.0886870000000002,-0.000788000000000011,-0.0345999999999993,-0.0450060000000008,-0.055714,-0.0670520000000003,690.137652,244.724217,786.165077,96.027417,337.326874,448.838171,377.531236,21.654623,49.652306,99.583784,4.277088,152.448583,71.524255,9.493176,136.763499,23.139244,93.382432,224.820966,10.013425,272.57875,252.675488,18.276725,2.75369,122.493221,19.326809,34.706535,8.218311,7.094904,5.02974,7.202178
"96",7.41858500000001,0.279669999999996,2.090947,7.54231999999999,8.34531700000002,-4.67826700000001,-175.680930999995,56.6465649999882,0.001006,0.177216,0.150339,0.140802,0.110271,0.080012,0.0671110000000006,0.0626290000000012,0.0608329999999988,0.0595380000000016,671.815321,257.125215,733.03912,61.223758,318.839154,414.199914,340.31741,20.251216,53.631317,96.955145,4.141019,140.738763,67.952486,9.051761,139.626948,21.346406,86.362879,221.649343,9.799468,254.677381,242.653105,17.602108,2.694849,120.749112,21.843743,36.208628,6.852542,9.72172,4.8399,7.282129
"721",1.21825800000002,4.155113,-4.69102100000001,-17.684756,6.49670200000003,-66.989039,11.1492959999887,33.4710199999972,-0.000913,-0.181424,-0.232064,-0.20767,-0.196209,-0.209739,-0.218358,-0.23563,-0.244288,-0.252529,651.533569,301.786602,663.786773,12.253177,313.283522,350.503288,271.271736,19.184581,60.046926,134.192365,5.354701,144.697234,21.723557,7.315689,172.368997,22.381662,106.353482,299.767028,12.527159,273.696144,76.043172,13.986009,3.444962,162.390506,16.489801,27.732029,4.160726,6.491217,2.11994,7.878598
"841",-9.61355,1.170332,-9.34760599999998,8.68045700000002,8.152852,-22.649822,-4.62390999999479,24.2828060000029,-0.00021,-0.096394,-0.0899030000000001,-0.060578,-0.0616390000000004,-0.0552220000000005,-0.0544319999999994,-0.0563370000000001,-0.0612569999999995,-0.0675740000000005,602.660857,268.508841,594.201765,-8.45909,256.27001,337.931788,257.022266,18.010696,62.898806,117.373294,4.711032,108.401305,19.307225,6.477186,165.198016,22.35386,98.747671,258.618877,10.847181,201.617636,66.643447,12.204304,2.982956,140.153256,9.5709,18.877157,4.303687,2.681452,1.366669,5.522814
"961",-10.983233,2.703827,-2.37006099999999,6.685676,7.71873799999997,-6.32126500000001,-5.45710499999404,18.7093789999926,-0.000195,-0.12976,-0.270722,-0.233099,-0.209791,-0.0267469999999994,0.00722799999999957,0.0209269999999995,0.0263679999999997,0.0298610000000004,533.931492,243.656787,510.55434,-23.37715,219.819316,290.735015,204.882681,16.680047,69.172285,104.704875,4.146707,88.683403,16.679194,5.605114,149.011257,20.288085,85.006643,230.377786,9.525693,164.571888,57.450316,10.536913,2.619554,124.783819,7.858998,14.955094,3.070147,2.43597,0.932456,4.490493
"722",14.610464,6.269395,11.43036,-5.41156099999998,9.55590699999999,75.7919290000001,-861.768205,257.228905999989,0.001504,0.305222,0.619992,0.611187000000001,0.296943,-0.0435400000000001,-0.0678769999999993,-0.0891519999999986,-0.104936,-0.118535,604.30348,329.845465,1056.815345,452.51182,785.704498,271.110813,181.569294,25.759524,63.781996,122.872206,4.668789,352.112005,294.342792,11.708728,174.768902,23.920203,98.845785,282.615581,10.775892,604.24015,1025.58489,22.158911,2.963379,157.272486,33.370912,57.788735,9.363508,12.809192,7.44505,13.116688
"842",4.437197,5.34236900000002,3.81731300000001,28.363957,11.127137,33.9842169999999,-742.656716999991,229.990000000005,-0.000802,0.00581900000000002,0.111105,0.200653,0.227884,-0.149128000000001,-0.218,-0.135642000000001,-0.0752790000000001,-0.0754710000000003,592.422484,324.956867,994.728701,402.306186,728.01671,266.711997,180.290916,25.476852,60.944227,115.825025,4.267905,336.093158,261.25553,10.575075,184.069225,24.519948,102.770876,262.154404,9.713595,569.039784,897.240786,19.75372,2.67124,145.520954,22.118722,42.735431,10.188939,4.841065,6.642497,10.635176
"962",-0.0835919999999817,5.2081,1.08729799999998,22.627418,10.803172,21.437201,-666.458825000009,209.840467000002,0.002814,-0.000637999999999916,0.0823270000000003,0.200876999999999,0.255032,0.192452000000001,0.227138999999999,0.150601999999999,0.0972190000000008,0.085782,564.776003,309.912485,957.401049,392.625065,705.365545,252.035546,170.490191,24.428803,57.116528,119.735015,4.111699,327.04476,244.723562,9.750477,181.83607,23.433279,98.431497,261.153609,9.115648,537.152514,810.979136,17.997433,2.506809,145.016091,104.355449,40.269917,8.590465,64.652956,5.295891,34.406519
"723",44.975313,14.20099,27.127044,14.139075,6.524745,30.925598,-602.65593600001,240.598199,0.013129,-1.006393,0.268423,0.461015,0.28142,-0.219284,-0.237849000000001,-0.248023,-0.253135,-0.257635000000001,959.487959,432.178463,1143.347818,183.859823,626.286911,517.060894,374.884197,45.877714,96.298941,130.357322,6.090131,253.264352,228.263929,8.311176,194.727737,24.344084,126.801975,311.04246,14.167794,556.506815,805.611872,15.995711,3.896147,177.431218,36.241494,70.366155,18.94972,5.028186,15.644572,15.568722
"843",10.779105,9.45385400000001,8.5489,46.692159,10.574716,27.9729530000001,-514.018905999998,212.540084000007,-0.005481,0.432218,0.0935099999999998,0.0952059999999997,0.102159,-0.1259,-0.194739999999999,-0.208413,-0.210978,-0.213498,943.951522,408.871256,1108.230797,164.279276,575.017783,533.213001,388.47079,47.220687,97.521479,131.462559,5.318158,231.399959,199.497752,7.339362,217.035546,26.846992,136.206609,310.57675,12.245545,502.935689,696.063685,13.954525,3.367543,176.598,26.55678,53.575875,14.397291,1.859816,11.795729,12.901239
"963",-5.85878399999999,5.70885699999999,-2.76222300000001,25.226082,11.775358,22.9069499999999,-474.828357000006,201.010232999994,-0.008168,1.370368,0.581914,0.522817,0.431753,0.111918,0.0643289999999999,0.0610400000000002,0.0602510000000001,0.0597769999999995,897.390962,374.734952,1083.810659,186.419704,563.542801,520.267867,377.555314,46.903331,95.809165,138.313594,5.079617,227.182312,186.054284,6.913021,214.776176,27.681342,135.188442,328.891674,11.753756,495.86838,652.253361,13.207843,3.232296,186.708386,28.288473,57.356935,15.390724,4.657471,10.407018,13.224035
"724",-1.828728,40.064263,3.891661,-13.856135,10.134656,70.547638,-1138.985075,371.622734999997,0.018364,-1.012473,0.330942,0.496448,0.322968,-0.14655,-0.146322,-0.162625999999999,-0.180337,-0.195786999999999,634.185921,358.965928,1217.900247,583.714319,945.702776,272.19748,179.390914,41.205363,51.601219,124.132084,5.588757,419.55184,385.653876,10.776202,204.263708,27.61782,84.956968,307.218676,13.339898,811.458989,1390.439387,21.275421,3.668471,177.213316,76.515066,136.873509,30.880319,14.709237,32.459678,29.34616
"844",-6.90484600000001,35.050315,-0.758780999999999,22.483602,16.951407,25.543345,-934.974218000003,315.751648000005,-0.00568,-0.000161999999999999,-0.369359,-0.0574070000000004,-0.0781749999999999,-0.500218,-0.602876999999999,-0.618527,-0.604742999999999,-0.592871000000001,612.84654,347.133896,1114.752708,501.906183,850.867743,263.884971,172.093886,43.495823,48.29531,113.40015,5.05604,387.205099,335.654419,9.552062,204.614256,33.531505,81.601412,268.761786,11.550589,715.717674,1156.444181,17.996098,3.176411,154.943346,29.411285,78.4755,34.267254,2.112907,11.295539,16.002857
"964",-10.360515,20.515034,-10.718258,-3.52372500000001,20.869687,7.79915899999992,-935.921480000005,318.678589999996,-0.014433,1.195277,0.692677,0.34875,0.330387,0.0272300000000012,-0.0528870000000001,-0.0640210000000003,-0.0623510000000014,-0.0577629999999996,540.494932,309.404903,1087.07891,546.583945,856.23915,230.839733,149.164375,39.544277,42.131121,115.443954,5.370193,394.580877,331.257978,9.586149,190.35494,39.289571,80.324575,280.096099,12.526595,745.070952,1165.753998,18.457208,3.444816,161.689607,47.200192,100.747837,30.769954,8.539552,16.220208,22.44043
"725",-3.25683700000002,13.092012,9.15859399999999,-4.46906099999995,2.97740999999996,42.782655,-853.301949000001,285.066806000003,0.241387,-1.543122,-0.111458,0.0282990000000001,-0.0922089999999995,-0.600178000000001,-0.617254,-0.625715,-0.62932,-0.631239000000001,692.61904,392.263424,1047.310787,354.691751,749.417263,297.893521,195.13877,27.479645,75.275084,136.764526,6.232947,328.40113,266.23073,11.787981,223.307442,23.228934,126.733157,357.993644,16.767191,703.14492,1071.984243,25.948381,4.610989,198.259874,156.290253,191.328548,5.602245,52.529383,73.211771,30.549124
"845",-6.30847999999999,13.740359,7.27392,33.720214,6.04501600000003,21.2362790000001,-697.283280999996,239.999217999997,-0.08405,-0.143851,-1.780081,-0.289825,-0.246429,-0.833189,-0.954877,-0.979699,-0.967835,-0.95754,677.062196,383.963413,985.352682,308.290452,694.701679,290.65099,189.633229,28.139117,72.878663,131.023369,5.500151,308.220978,239.214403,10.742751,222.921504,23.043428,123.292604,315.950415,13.541606,605.840848,885.344466,21.69369,3.723943,174.644103,77.469268,106.643349,11.458836,37.320258,20.975487,19.173502
"965",-14.45859,10.270043,-16.525099,-2.35075800000004,7.01680799999997,9.92744099999993,-685.17093800001,237.637881000002,-0.169196,1.41352,1.917012,0.346058,0.182525,0.100165000000001,0.0722809999999994,0.0796559999999999,0.0921780000000005,0.106835,573.477209,329.230714,929.840302,356.363076,684.019586,245.820715,158.754708,26.605974,60.460047,132.90132,5.329928,305.846496,229.506674,10.435128,204.605075,24.253292,121.08602,331.68053,13.599051,622.299045,878.339367,21.814853,3.739739,183.241507,100.22982,131.307836,8.534348,40.962908,37.367541,21.89941
