"","QC1","QC2","QC3","QC4","QC5","QC6","QC7","QC8","dQC1","dQC2","dQC3","dQC4","dQC5","dQC6","dQC7","dQC8","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1"
"72",237.22678,77.38731,190.88083,208.2549,274.36952,401.46007,80953.19687,72880.25939,82.52603,10.88442,41.65242,-84.99143,0.435400000000016,-20.90521,-112.424190000005,49.3383199999953,0.1911,1.03051,1.05716,-0.23054,-0.4826,1.20401,1.24914,1.18031,1.13706,1.11909,704.9555,269.95765,776.42081,71.46516,343.61697,432.80377,353.44529,22.5154,56.84305,100.53495,4.34071,161.84162,69.20071,7.69903,132.00864,21.95533,92.17528,246.29242,10.75367,304.51069,253.10253,15.21418,2.9572,140.21915,112.13509,90.14144,22.51128,49.05457,30.27883,46.76178,6.36986,16.3463,5.33996,8.59258
"84",241.96854,74.2499,177.77626,214.22373,283.53752,386.09967,80797.12499,72936.99765,61.65774,8.95949,36.00432,-68.49858,0.53914999999995,-9.54514999999998,-112.185159999994,48.7429799999954,0.18119,0.18881,-0.303559999999999,-1.05193,-0.847009999999999,0.75666,0.89134,0.885289999999999,0.88524,0.89559,682.01878,246.67299,769.97671,87.95791,330.82527,439.15157,364.80324,22.58776,51.76064,97.18506,4.43578,151.81756,69.63385,7.753,140.17229,23.2839,94.71669,232.41115,10.62617,278.24798,247.26848,14.92037,2.92221,132.53898,96.46015,81.78708,20.19016,49.41701,20.43943,36.58892,8.47534,8.14567,4.86551,7.42827
"96",249.05534,74.43677,178.43888,219.8309,291.30811,380.11795,80642.05939,72990.13516,87.24879,11.66639,47.15184,-75.4759,0.0780200000000377,-3.33212000000003,-117.609379999994,47.7632799999992,0.1007,0.13961,-0.21341,-0.98719,-0.90424,0.81869,0.94361,0.92906,0.92361,0.93491,663.69959,259.31712,716.39902,52.69943,312.18782,404.21132,328.56632,20.63214,55.01285,93.73622,4.31481,140.59945,66.14372,7.3936,142.62169,21.48303,87.27597,227.51227,10.49061,261.24353,237.98552,14.39199,2.88489,129.78861,103.50215,88.47456,21.80345,47.78776,23.68455,38.89573,7.1966,11.24686,4.81099,7.6267
"721",149.28158,82.67304,176.31294,269.45285,271.62243,244.86172,81155.74064,72926.84767,63.04599,12.87536,43.75625,-79.71851,0.383719999999983,-28.41043,-45.366399999999,53.9117100000003,0.07862,0.07877,-0.2653,-1.06552,-1.21689,1.12416,1.40208,1.41631,1.4065,1.40701,641.6364,301.06791,667.61877,25.98223,326.20145,341.41718,259.16544,19.54034,62.71145,132.40905,4.98938,136.85205,48.39883,3.55219,176.32265,22.30581,106.00996,294.88947,12.09343,286.94623,166.92474,6.78464,3.32571,158.22379,127.90081,101.81156,26.08931,45.52572,18.00799,30.44447,4.47074,6.16311,3.08218,8.76263
"841",136.73452,83.22099,166.32853,279.55606,279.8665,233.36535,81083.74141,72982.31485,35.61875,9.53610999999999,33.39933,-62.10726,1.69761,-6.52364,-47.4703299999965,44.2991900000052,0.07076,0.1436,-0.17274,-0.93598,-1.15933,0.76341,1.02771,1.08081,1.10548,1.13193,583.05992,263.4639,599.36716,16.3072,275.77202,323.59514,238.48828,18.03471,67.0723,116.7625,4.48278,108.61835,42.74311,3.16528,164.84632,22.1399,98.46211,256.53039,10.57521,224.95807,146.16379,5.96617,2.90819,137.69316,113.33581,90.19017,23.14561,43.73776,11.2631,21.82754,4.74095,2.82847,2.11603,6.31853
"961",123.34908,85.30634,161.20332,284.64767,287.57322,230.37257,81021.48594,73028.75938,62.40719,10.03084,30.86632,-62.58028,2.30027000000001,-0.582840000000004,-45.5968800000119,40.0890599999984,0.04714,0.04003,-0.0519799999999999,-0.74379,-0.92569,0.81206,1.01738,1.07427,1.11098,1.14945,503.09433,232.46081,510.60947,7.51508,238.88029,271.72917,186.57813,16.83226,68.31875,103.32057,3.95577,91.88778,36.97229,2.74395,144.97231,19.99817,83.9155,226.80097,9.2935,190.17374,126.26323,5.16287,2.55572,121.72313,109.75379,85.59319,24.16057,41.62424,9.41463,17.56035,3.35271,2.70421,1.48215,5.22817
"722",116.0688,229.29856,181.33808,227.46191,289.27888,405.24564,80630.26328,73020.97891,38.59982,17.77973,47.75488,-103.61927,-3.17843000000005,-11.51739,-245.359360000002,99.8320499999973,0.10187,0.15999,0.95679,0.0914800000000002,-0.24861,1.21515,1.28193,1.26993,1.267,1.27979,578.21423,310.75012,773.27623,195.062,506.88325,266.39293,176.58555,28.43077,61.37662,127.62835,6.92156,227.05404,134.85948,10.41973,178.39634,24.49739,96.8079,298.00321,16.33448,431.07164,471.98777,19.76354,4.49204,168.78972,133.16976,98.46175,34.70806,49.66159,23.03855,43.5316,7.67037,8.54101,3.57519,10.92244
"842",111.55544,236.51695,180.97871,249.86024,298.57628,402.53037,80350.26094,73122.92656,31.42137,15.46529,45.15914,-67.95186,0.568460000000016,-0.53501,-207.428899999999,84.2124900000053,0.09151,0.17558,0.50533,-0.47753,-0.98017,-0.286990000000001,-0.183950000000001,0.16742,0.72296,0.814060000000001,541.22342,292.42055,670.87334,129.64982,421.19524,249.67795,164.89743,26.89571,57.88472,107.93337,5.02182,185.22766,115.03081,7.98164,174.90827,24.28195,90.88506,247.03727,11.34007,345.87837,393.96021,14.65638,3.11852,139.58985,122.10889,90.54994,31.55892,49.87161,12.4241,26.5317,8.66413,2.4246,2.73668,7.26284
"962",105.6338,242.28509,175.35372,257.8699,306.64705,405.98179,80086.51173,73216.9086,70.39642,16.90671,40.026,-80.40393,-0.302300000000002,4.22698000000003,-209.852350000001,82.3789300000062,0.04938,-0.0111,0.61722,-0.37844,-0.64704,0.55293,1.46644,0.97625,0.892090000000001,0.937889999999999,504.69049,271.89114,637.5915,132.90098,406.33102,231.26051,150.72756,25.52693,55.00591,108.29433,5.36187,176.60656,107.86099,8.20716,165.65792,23.97397,88.03769,249.28388,12.30755,329.93504,371.49143,15.24447,3.3846,140.78258,112.86574,82.75619,30.10963,50.09018,13.26938,25.68644,5.76075,4.20635,2.24015,6.82287
"723",159.50782,101.32942,189.97117,213.76515,276.61451,409.37905,80550.80468,73039.69374,57.68013,19.05746,65.65581,-93.99607,0.242140000000006,-14.26815,-249.691409999999,102.942219999997,0.20073,0.85692,1.29889,0.87312,0.82658,3.36706,3.40518,3.17308,2.95774,2.78677,725.70119,376.87128,899.24641,173.54518,554.19317,345.0532,248.3253,22.42996,74.298,138.8495,4.95945,253.84181,146.04952,10.49274,197.56239,23.42035,118.455,331.4217,11.48447,474.26645,514.79645,20.54701,3.15821,187.65716,166.53023,133.20568,33.32456,44.11471,33.32492,62.39501,15.48775,7.87895,11.50024,13.94574
