"","QC1","QC2","QC3","QC4","QC5","QC6","QC7","QC8","dQC1","dQC2","dQC3","dQC4","dQC5","dQC6","dQC7","dQC8","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","QCt11_mean1","QCt12_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1"
"72",244.501568068068,77.4452595595596,192.025436936937,218.15564974975,274.380158658659,332.600733633634,80949.9242907908,72896.4228852853,85.156841241241,10.9815061061061,42.289857257257,-79.159821821822,0.647828428429023,-31.615385985986,-115.356832732708,53.0477037036908,0.180256956956957,0.60762252252252,0.76695395395395,-0.34713783783784,-0.530473973973981,1.19427077077072,1.27051601601602,1.21871461461459,1.18678708708709,1.17729049049046,718.428489389389,272.377327827828,797.299548448448,78.8710473473473,353.99777997998,443.301759159159,367.494598498499,21.7368978978979,54.0702760760761,103.335257557558,4.41920860860861,166.674237337337,70.1436563563565,9.42541341341341,129.318473773774,21.9238637637638,91.5819724724725,238.977305205205,10.6499498498498,310.372493893894,254.348751851852,18.593788988989,2.92873763763764,129.997234834835,135.541581481482,129.459872072072,111.79852992993,90.1183723723724,22.497474974975,49.1141014014014,29.2758923923924,44.806914114114,6.12716326326327,15.2202516516517,5.52323433433433,8.53240020020021
"84",251.533778378378,74.3040520520521,179.361354954955,226.067493393393,283.687551651652,314.967585685686,80778.6465907908,72955.9685147147,62.695684784784,8.94011541541539,36.163765265265,-64.815511111111,0.792871071070977,-11.442136436436,-117.865716616594,49.6673698697996,0.168958158158158,0.0800651651651703,-0.25696046046046,-1.01184424424425,-0.84786046046046,0.750013813813821,0.903427627627631,0.908595395395428,0.916017717717731,0.93239959959965,695.092461961962,247.181235735736,787.847931931933,92.7554689689689,336.572016116116,451.275913913914,378.538934934935,21.6009646646647,51.1360166166166,101.022418018018,4.46353883883884,151.090055155155,70.496423923924,9.49957747747748,138.312774174174,23.2864996996997,94.3550662662663,228.24955005005,10.4858406406406,274.807282882883,249.427666166166,18.2968158158158,2.88360940940941,124.226686986987,132.947403103103,114.650987587588,95.9338866866867,81.8037137137137,20.1731791791792,49.8758376376376,20.127360960961,35.4350242242242,7.91769719719719,7.75622882882882,4.95473493493494,7.41641901901902
"96",257.842070670671,74.6070741741742,181.325405905906,232.849401401401,291.758493993994,309.079864164164,80610.5026442442,73011.3703081081,85.463923423423,11.7916457457458,48.441151251251,-72.380146046046,0.449803003003012,-3.56298588588601,-123.80421041041,48.832123723696,0.0947903903903903,0.17257057057057,0.12512522522522,-0.87281251251251,-0.81671881881881,0.826361761761762,0.965669069069071,0.964264464464469,0.968400400400391,0.98732282282287,673.799649749751,258.027945245245,732.616636736737,58.816973973974,317.197266266266,415.419355155155,340.130867967968,20.1759168168168,55.1125722722722,98.0303589589591,4.29881921921922,138.883978878879,66.9360600600601,9.04804834834835,140.59297997998,21.5168623623624,87.3428428428428,224.38096986987,10.2183323323323,255.611201001001,239.454178478478,17.6143404404404,2.81003773773774,122.0690005005,127.653536136136,106.702669069069,100.641216816817,90.0013337337337,21.9922423423423,48.4187283283284,22.7238663663664,37.0590606606606,6.58386566566566,10.4520834834835,4.75225875875877,7.51952972972973
"721",159.302256456456,83.0255637637638,176.21913963964,233.603623223223,269.639416216216,256.31218028028,81297.4670463463,72840.6410412412,65.11631031031,13.3825435435435,43.874928728729,-85.098922822823,-0.288467667667987,-44.077333733734,8.16939519520383,26.2465521520935,0.0666748748748748,0.065783583583583,-0.20877167167167,-1.21965675675676,-1.53058178178178,0.43032442442443,0.66816586586586,0.70235155155155,0.71581341341341,0.738389789789791,643.804635735735,301.852068968969,656.024564564564,12.2199241241241,313.371384584585,342.653165065065,261.170272172172,20.028356956957,61.4545487487488,134.39620960961,5.61305615615616,144.103530830831,22.624909009009,6.6336907907908,173.149180980981,22.3875648648649,105.565624224224,298.549876576577,13.0996915915916,272.124084584585,78.7628611611611,12.6350661661662,3.60241491491492,161.735466166166,45.0672112112112,121.398976476476,128.452243043043,101.850384184184,26.6018532532532,45.6771189189189,14.9882732732733,25.5824048048048,3.63347797797798,5.70402062062063,1.57885445445445,7.70537577577578
"841",149.610031631632,84.2151652652653,167.213998898899,242.689747647648,277.338214314314,234.734798898899,81292.1068952953,72864.3065871872,37.894183483483,10.2838736736736,34.074841541542,-63.677384084084,1.24229719719801,-13.272052252252,-2.08926186189638,19.9006709710084,0.0576312312312313,0.109556656656657,-0.13715355355355,-1.04414324324324,-1.36035705705706,0.15113663663664,0.385283083083079,0.459686686686689,0.50772642642643,0.555598198198199,594.524221021021,268.719730630631,585.83026016016,-8.69396066066074,256.296193493494,329.534068968969,246.135008408409,18.8346095095095,64.5644583583584,117.554046746747,4.91174604604605,107.894047247247,20.086547047047,5.84980950950952,165.452556056056,22.3662877877878,98.4087032032032,258.130433233233,11.3126526526527,201.009121421421,69.0963851851853,11.0003137137137,3.11097287287287,139.932964664665,39.4983353353353,89.5525084084084,114.781128328328,90.8516618618618,23.9294684684685,44.2297487487488,8.81673443443444,17.4848674674675,3.76454944944945,2.41159179179179,1.02345935935936,5.38167417417417
"961",138.242349249249,86.7514261261261,164.46220950951,249.10941031031,284.698763863864,228.71841041041,81286.1715165165,72882.6399218218,66.150694194194,10.5971336336337,33.308961861862,-63.527899599599,1.958381681682,-2.502225525526,-3.87983953960065,16.8424057056982,0.0360747747747748,0.01307947947948,0.044094994995,-0.75432112112112,-1.09907347347348,0.184238638638631,0.373048948948949,0.45361771771772,0.51380110110111,0.574048648648641,524.242209609609,241.946567367367,502.886179379379,-21.3560350350351,220.057263363363,282.828914214214,195.534111111111,17.209612012012,70.085185985986,104.797865965966,4.29951591591591,88.5394845845845,17.3561630630631,5.06423203203203,148.581148248248,20.2863455455456,84.6622102102102,229.869186686687,9.88275925925925,164.649408308308,59.5964318318318,9.5048041041041,2.71776206206206,124.556964464464,34.0753720720721,73.3429624624625,113.951245645646,89.023217017017,24.9280232232232,42.4708375375375,7.28364954954956,13.8856802802803,2.68597247247247,2.21245715715716,0.704415515515515,4.36672962962963
"722",124.382189489489,230.196252752753,193.921135835836,262.361846046046,290.387546046046,411.304540840841,80614.4044118118,73006.8274606607,39.22868018018,17.878816816817,50.633266066066,-95.502601901902,-2.77219469469497,-8.07965205205198,-246.763175675704,93.3516096095991,-50.7773315642604,-60.0801476548983,-47.88149111667,-0.47904377405575,-0.81841855104601,0.9861574352018,1.13974650858101,1.15254079673235,1.23643049850656,1.2617452767657,580.670156056056,320.979841241241,767.989773416777,187.034264989134,510.424341931066,257.437672572572,166.130666466467,29.0498621621621,62.2571398398399,127.278010861767,6.94260220854658,232.053280103242,133.607338262911,10.5431153054463,181.671982082082,24.3063244244244,94.2334478478479,288.785597297297,15.7892055055055,414.0681,460.13704984985,19.9583620620621,4.34203323323323,161.980611711712,239.049787287287,174.366302302302,136.732650650651,101.948435635636,34.7842097097097,50.5247466466467,157.811796524492,39.3897181181181,7.34047652320328,140.090943386042,3.46764764764765,14.2361838508529
"842",122.434018718719,238.023606306306,194.760643143143,284.655622222222,298.107970770771,411.608614814815,80316.2976263263,73107.2511974975,34.351876776777,16.396562862863,47.445575675675,-71.752869369369,-0.937504904904984,2.04080770770798,-219.812530430398,82.0995126126945,-0.113456548603361,-0.0496508923989301,-0.11346364787918,-0.73882160615515,-1.02951770297901,0.531716056663869,0.78109473236178,0.86030203915802,0.958822358645801,1.00499660493325,560.981516516517,311.755197697698,699.907510318768,138.715335041078,450.379891771295,249.402464664665,160.614491091091,28.3141218218218,60.4738430430431,115.485423928425,6.07634338939086,200.966111809407,118.402668207384,9.44934908099272,183.269906406406,25.3048508508509,96.4615143143143,261.231888088088,13.7887813813814,356.348889289289,404.709432732733,17.7612162162162,3.79191791791792,146.305956356356,210.347263163163,150.24674044044,130.524667467467,97.3516113113112,33.1730565565566,51.9093601601602,13.5320963828495,27.7852175175175,7.33574684293755,2.95657806483319,2.77601671671672,7.7704223917249
"962",115.62458038038,244.066176676677,190.294310510511,297.355522122122,306.104471571572,416.77154954955,80045.2538713714,73197.4667153153,71.4360401401398,17.124323223223,42.115956456456,-79.686403703704,-0.448713213213011,5.79310570570505,-213.50204144149,78.6887725725974,0.0548414979757085,-0.049508603238867,0.17639787449392,-0.74267044534412,-0.96148552631579,0.63616214574899,0.95212479757085,0.909992510121459,0.924876923076919,0.97802196356276,511.514466166166,282.85923993994,654.507201518218,143.191217813765,427.648331174089,226.914426626627,144.439013313313,26.5859344344344,55.8894778778779,115.141651619433,5.67081993927127,188.553185222672,109.525453947368,8.75722925101215,173.46266986987,24.421938038038,90.2079239239239,254.632325225225,12.7622907907908,329.455604804805,369.807606906907,16.3162650650651,3.50963183183183,142.374794894895,192.246125925926,138.899503103103,117.140024524525,86.2436685685686,30.8963495495496,52.9178673673674,44.9403963562753,26.4289127127127,5.90034797570851,26.0986974696357,2.1981052052052,16.6190954453441
"723",170.857046546547,102.980486386386,186.325519419419,251.672377777778,270.919326126126,426.601504904905,80451.9583031031,73098.4336915916,60.922633933934,19.7090756756754,66.394914114114,-94.393703203204,-1.85724964964999,-6.97195315315298,-287.215003303398,123.460422822798,0.224410610610611,0.990737737737741,1.46521971971972,1.13384704704705,1.34439349349349,4.51080660660662,4.50803843843849,4.17409659659659,3.86974144144144,3.62584354354352,748.974651451452,387.936733833834,917.330077277277,168.355425825826,560.068130630631,357.261949349349,251.037595295295,26.0826761761762,80.1416805805806,138.584463763764,6.12621691691692,242.68113943944,164.305904904905,8.37041321321322,199.71902932933,23.6290532532533,123.689723123123,331.052969169169,14.5117151151151,498.56074954955,586.123722422422,16.2827244244244,3.99072272272272,187.476158658659,300.389085985986,239.188058658659,172.445751751752,137.93759029029,34.5081542542542,44.2183491491491,38.2738760760761,72.2575717717718,17.8756594594595,8.42420320320321,13.6627563563564,16.1869256256256
