"","QC1","QC2","QC3","QC4","QC5","QC6","QC7","QC8","dQC1","dQC2","dQC3","dQC4","dQC5","dQC6","dQC7","dQC8","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","QCt11_mean1","QCt12_mean1","QCt13_mean1","QCt14_mean1","QCt15_mean1","QCt16_mean1","QCt17_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1"
"72",241.55378,77.61023,192.623471,200.69337,271.429808,337.089435,80969.06461,72892.367189,85.002354,11.042011,42.480606,-82.404986,-0.441408000000024,-33.222605,-107.990067000006,52.6040579999972,0.174186,0.639913,0.792168,-0.385196,-0.599049,1.213933,1.286543,1.220829,1.178156,1.160415,718.57478,273.728383,796.296083,77.721301,354.186536,442.109535,366.14398,21.51788,54.447697,106.399728,5.056525,166.992825,67.058837,8.678598,131.337957,21.96867,91.779091,244.079416,12.127833,308.459159,242.967222,17.091473,3.335137,132.371063,129.174776,127.430095,4.41767291428571,6.128587,208.621827,83.448422,10.76093,112.656177,90.442405,22.600162,49.133662,28.900317,44.126827,5.830123,15.06926,5.168377,8.662682
"84",248.4086,74.427792,179.559545,207.507046,279.514955,317.742577,80807.778438,72950.905078,62.455543,8.92465,35.88419,-66.37681,-0.119632999999965,-12.792214,-111.223746999996,49.9719480000058,0.162655,0.0793880000000002,-0.183521,-1.064972,-0.962892000000001,0.745068999999999,0.905555000000001,0.903309,0.903848999999999,0.91475,694.495586,248.481887,784.117216,89.621635,334.717752,449.399456,376.896581,21.279881,51.222991,103.108043,5.024742,150.493933,67.352041,8.738983,140.107535,23.334337,94.43196,231.225954,11.749471,271.432859,238.080127,16.798904,3.231112,125.486575,126.599592,112.088685,4.58237924285714,6.608841,201.783062,90.550058,11.711104,97.550849,81.462475,20.175512,49.864622,19.636185,34.481937,7.512375,7.655815,4.558433,7.421949
"96",254.550312,74.646124,180.93592,213.580738,286.517763,310.723278,80649.074843,73005.071247,86.103139,11.707395,47.691725,-73.596833,-0.403868999999986,-4.54727600000001,-117.187103999997,48.7478160000028,0.090202,0.173464,0.193647,-0.883002,-0.857876999999999,0.829098,0.961970999999998,0.950225000000001,0.946367,0.959201999999999,672.981438,258.617055,728.567984,55.586553,314.570843,413.997144,339.019484,19.943289,55.034331,99.676928,4.775194,137.814075,63.978204,8.326461,142.267141,21.54154,87.071949,226.495575,11.306303,251.498592,228.688953,16.183297,3.10922,122.852308,121.626949,103.896632,4.29991699047619,6.06757,178.197844,83.379417,10.815483,102.524962,89.198151,21.946283,48.31421,22.183718,36.156193,6.239626,10.295487,4.350594,7.537621
"721",163.558596,83.164474,173.246806,242.985021,268.026176,260.302984,81300.998749,72838.016411,66.056135,13.450406,43.902063,-84.974317,-0.848795999999993,-43.747698,9.70570399999269,26.3536779999995,0.067365,0.094151,-0.15806,-1.242493,-1.55239,0.455429000000001,0.683079,0.709069,0.717294000000001,0.736074999999999,649.91096,304.49198,656.900928,6.989978,310.709619,346.191307,263.27002,20.312365,62.608913,134.187427,5.961593,142.465288,21.828045,6.267315,173.086589,22.388332,107.564796,298.252972,13.959933,270.223795,76.14401,11.994808,3.838958,161.720315,43.469658,121.127938,5.53091154285714,7.176295,178.472265,27.000086,7.791987,130.065466,103.394766,26.670688,45.555038,15.136008,25.963753,3.682847,5.791664,1.543546,7.800779
"841",154.211305,84.301872,164.129354,253.61251,274.918244,238.963369,81298.438352,72860.848907,38.523452,10.296735,34.362158,-63.964409,0.686919999999986,-13.035016,-0.174060999997891,19.7570299999934,0.058982,0.126547,-0.124966,-1.046284,-1.35735,0.171747,0.399678,0.466601000000001,0.511043000000001,0.556162,601.730898,271.413916,589.048593,-12.682304,255.053338,333.995275,248.707476,19.105594,66.182162,118.083967,5.248134,106.859537,19.331486,5.53023,166.280711,22.375201,100.08523,259.09325,12.127322,199.787415,66.503948,10.429263,3.33502,140.501845,37.94514,89.388005,5.22460342857143,6.880642,143.919243,25.964257,7.493853,116.471318,92.560535,23.910795,44.056767,8.886665,17.703959,3.858579,2.405951,1.05238,5.428316
"961",141.836418,86.522918,160.975552,260.340296,281.495492,233.215653,81295.626559,72878.522658,65.470612,10.26751,33.323118,-64.474413,1.36578700000001,-2.230763,-1.94273700000485,16.5812489999953,0.036312,0.025059,0.0666720000000001,-0.771731,-1.115185,0.212155,0.388234,0.458607,0.514442000000001,0.571916999999999,528.069276,241.823753,506.184417,-21.884853,219.456796,286.727616,197.910699,17.326546,71.490385,105.513551,4.605414,87.822877,16.724087,4.790866,148.8881,20.232727,86.010308,231.207327,10.619964,163.80835,57.40232,9.012864,2.920512,125.302832,32.756942,73.245181,4.65767383809524,6.019427,118.700451,22.645531,6.54489,115.508251,90.822026,24.686231,42.298525,7.355596,14.071455,2.774003,2.202083,0.744111,4.409354
"722",125.574919,227.83987,191.818681,247.282441,287.181676,419.3045,80622.923671,72999.841955,39.110692,16.764066,50.874716,-94.285016,-3.95637699999997,-10.861486,-241.215395000007,90.2971019999968,0.102672,0.201181,0.504089,-0.521272,-0.954943,0.855780000000001,1.023009,1.04372,1.189335,1.220755,579.196466,317.878076,763.845203,184.648739,504.847593,258.997584,169.755957,27.872849,61.368778,121.490111,7.47369,234.703518,130.620819,10.559525,179.341514,24.03711,94.014643,286.617658,17.228677,417.555133,454.580948,20.048493,4.737882,164.672397,236.312277,172.677122,3.81520806190476,6.804457,220.557749,123.086247,9.925748,134.97414,102.024394,32.949758,50.178701,21.655659,39.93822,7.626677,7.703082,3.508488,10.444142
"842",123.753783,234.957432,192.00183,268.077258,293.446897,417.942139,80328.399845,73098.419064,34.079794,16.078784,46.690584,-71.994057,-1.957671,0.723361000000011,-216.807577999993,80.6833670000051,0.095766,0.155474,0.044775,-0.808341,-1.098194,0.482416000000001,0.795726,0.840838,0.935005,0.982651000000001,559.495778,308.473077,701.709924,142.214141,450.45367,251.256263,164.504042,27.462377,59.289862,112.112315,6.597619,205.186671,117.141094,9.415995,181.445078,25.03112,96.517004,260.920101,15.010612,359.960874,401.857922,17.618957,4.127923,149.741456,208.857495,148.871022,3.84934372857143,6.694474,213.665519,122.777558,9.865159,128.899202,96.724437,32.174745,51.553297,13.460461,28.399682,7.43804,2.605976,2.83822,8.016282
"962",117.195596,240.215145,187.85009,279.914709,300.167717,422.674508,80060.49157,73186.418434,71.676077,16.355731,42.408806,-79.538763,-1.37483900000001,5.37526100000002,-210.622965999995,76.7010949999967,0.052874,-0.039003,0.207122,-0.756196,-0.953158,0.689551000000001,1.365253,1.018281,0.915817000000001,0.953294999999999,511.702537,280.780475,686.876356,175.173786,457.677038,229.199322,148.257769,25.635376,55.306167,121.02956,6.405858,205.006431,115.293102,9.942063,171.935898,24.069878,90.227014,253.936031,13.738833,331.657649,366.966061,16.212782,3.778174,145.61259,190.77878,137.108223,3.77930246190476,6.161193,199.177745,113.67329,9.199458,116.266917,86.533516,29.733394,52.433216,509.471727,26.989614,7.896106,462.287893,2.253768,44.93017
"723",173.613513,103.349727,186.91648,247.424409,270.804759,425.75958,80441.668988,73100.581721,61.625296,19.82226,66.70015,-94.400928,-1.86808099999996,-6.36874,-292.699455000009,124.958505999995,0.215056,1.120341,1.519042,1.139705,1.305282,4.464457,4.440891,4.08581,3.765771,3.509904,752.052599,389.842303,925.86438,173.811775,567.469707,358.394678,252.023969,25.858898,80.511803,135.231363,6.20219,250.775453,167.648969,7.611708,199.833301,23.673591,124.220394,331.117735,14.611805,505.601331,595.485726,14.675553,4.01824,191.644669,304.346853,238.771827,4.07428893333333,5.441302,222.979845,150.175177,6.825191,173.445393,138.687166,34.758226,44.359343,36.232842,68.255805,16.975366,8.186869,12.909231,15.136761
