"","QC1","QC2","QC3","QC4","QC5","QC6","QC7","QC8","dQC1","dQC2","dQC3","dQC4","dQC5","dQC6","dQC7","dQC8","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt9_sd1","QCt10_sd1","QCt11_sd1","QCt12_sd1","NPPL_sd1","NPPR_sd1","NPPS_sd1","add_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1"
"72",41.653042933487,2.79211767370106,16.4987149955448,72.7097315709082,16.1116286134244,114.18184290928,185.898325222047,69.997021719573,8.0977284859487,1.27936558730432,2.2113795465498,9.1790437467636,5.91696162859851,14.6163587573584,65.742181463747,24.7787566580852,0.0644796657380228,0.43284230204569,-0.15069609030512,0.04110398513289,0.0160330646284899,0.0926232189858971,0.0300760875994099,-0.0373981296778311,-0.0767601546221961,-0.0976315767485549,39.9421150544418,22.3787164276905,52.6501105917083,66.470635012024,60.4688567555132,41.996545337514,42.3922799740164,5.84353393517697,9.56830981269345,21.1260927845046,3.39395581434896,32.1200500829197,29.6625599405025,8.54132044096224,23.2012362308275,0.632423947776914,10.4476363367245,38.5830709395801,8.1573486008661,51.3591001430818,107.58895046444,16.7639761495344,2.24326960191465,25.442588879456,54.004729895578,32.8119471407619,10.7431479793584,8.59118459682165,2.05275235677268,4.48740121084216,13.2707630203165,19.0111271170733,3.34735088590082,6.95036634517478,4.93628165395276,4.54699773531802
"84",52.2827001775069,3.8601846204659,20.5329722424444,77.3662490645644,23.3763803857122,118.393163326733,271.093365648351,104.93350139791,5.6535201109763,1.28923894959421,1.4278134828392,2.77287562369381,5.192954568951,3.30750964336001,61.769266379905,25.1087196296663,0.0595242765733328,0.19536498825975,-0.24123702275539,-0.0592048791357001,-0.0930261309790571,-0.039166218354728,-0.0524023101750259,-0.086121035114074,-0.106835808748821,-0.11750769021937,40.4034187479417,29.6860500724639,53.7686505315249,67.294270426866,60.3476780375226,46.174402195087,47.1913339110827,6.32702479828481,10.6998126499216,18.8572882927881,3.14279722490289,31.2061899420102,29.8178817100009,8.61239842897745,19.6968817280291,1.16228657778019,9.56797256675256,32.8481345208067,7.35791304956508,51.7039636178866,105.862434319388,16.5350202870696,2.02342781367028,22.4481990248841,53.1855677785907,31.0712861727821,15.4992821792032,11.9670095314253,2.44242672997271,15.0721278059321,9.54766574040988,15.3237686480513,4.15437149784137,4.30700388812989,4.35933388343648,3.74006164210352
"96",57.213825915195,4.14579537870816,25.105421260457,80.0394998038371,29.9040866566049,119.77376496471,353.626187793218,137.704488783424,-1.650718518376,0.86756738421415,3.6841545740142,1.8203232166061,4.9980282927677,1.39583347246899,62.109633091226,25.56209586336,0.0379917691501016,0.25419510023805,-0.40018733219816,-0.22324301466168,-0.1816756366576,-0.015350415132852,-0.053514809720151,-0.100747258124304,-0.127432736833845,-0.139881970701195,43.4346192247336,21.4885007597087,55.0658845716923,67.4525942749626,58.9970177454765,45.4776382245981,44.4125038122036,5.29512913716647,11.2446098332473,18.0037192817141,2.79462571858464,30.5515906122508,28.2387849003087,8.19988158211435,17.4330997336446,1.15740274472932,8.61248703474008,30.6375872939246,6.62355231925235,52.2370406795108,101.207825200256,15.8972147093619,1.82147764943741,21.2225967598031,50.8423414212498,30.4050224088207,17.8045586103547,12.6509899741497,2.15461574046122,9.98630498844529,10.6816909776804,16.2581599525169,3.53935261976364,5.45414996260743,4.17278451325192,3.97711097430936
"721",26.4209059121005,4.01297526263061,16.0674171647307,78.9386305082118,22.2123230039643,90.5016432846749,139.061648592839,60.4774962577212,4.2995125574362,2.18076745949108,1.2023155015507,9.08805800346579,7.6494302184305,4.2347682788336,42.6749887359594,18.0510456853803,0.0386154711477933,0.131893062824582,-0.0836788707164799,-0.18318896850905,-0.0269769685707901,0.04938393934023,-0.0281639201385799,-0.06942866743105,-0.0936703966268799,-0.10536241030797,40.4129923988906,19.1756801054053,57.3281635355663,65.9363967171157,59.4908362183992,35.6300585282783,34.0837588610492,5.52689760525401,10.3278474060243,27.057857376838,4.66435255125156,30.5959236824052,22.2376096918525,5.80004954288384,10.6050845982793,1.21601992148751,10.8822394508683,43.9530782822842,10.9797593498467,50.3622237226304,77.166494989126,11.0426260094232,3.01943156832138,27.0527950776147,38.6042037235636,29.7565638454397,9.05074042861197,9.781623040907,5.21309759166331,2.05186500705945,8.85555601997068,15.2515822179699,2.36663072914147,3.81520237828357,2.02582929228665,4.46822777854376
"841",29.6320466030237,6.55845203635515,18.5572659667827,82.866849307318,30.7915512970526,87.9947666793815,195.738595951395,83.5194572160539,2.2373820745558,2.63373916104909,0.9279493534907,3.9107513719031,6.1848570995526,-1.44048510147999,37.740382854888,17.0276690137781,0.0334083541649075,0.111684222904103,-0.12522373817101,-0.2758794326588,-0.13688488619199,-0.077232584994125,-0.139652538353348,-0.151794233794567,-0.15367690886892,-0.1500546910991,41.7865499249493,20.8920864448944,51.45657560325,55.7017933657288,48.6032119134366,38.2924664463443,36.1775342806741,5.59416370358537,13.077326681489,21.5851642932403,3.72011491538901,24.6055190290413,19.9283345299691,5.06349293413775,8.67635901300829,1.66785694804362,8.76412064046702,33.5924929429612,8.66962647026279,40.3622408141201,68.4722160765958,9.54148856936627,2.38414910523676,21.9680928783184,34.2636037571304,22.8514365959056,9.08866787866762,10.1074142692427,5.4530137748063,4.52419200187816,5.41310591499535,10.6262948680184,2.44070905599864,1.7861569085327,1.4065048347138,3.15094601900859
"961",29.7463623907762,7.63210942689479,21.0423770311151,84.7696270007255,37.8362927613749,86.5796877618387,245.389418458363,103.497896656369,2.0366035972669,1.72654712216101,1.8490862771283,2.71902444068999,5.4932702186719,-0.909619441886491,35.567466704908,16.3273962552244,0.0200982451514522,0.082355735411858,-0.0155865553536199,-0.21937853753517,-0.16228746129511,-0.11077253999913,-0.186643799468065,-0.1957322725604,-0.19022657477973,-0.18029188880809,47.7448964270115,24.2190577630402,50.0680620380017,56.3089830164156,42.4955768907623,35.9126761890269,31.6318662062663,4.74995592774237,13.2875259128712,19.101348821931,3.03601327024632,21.2304749899111,17.1584256528858,4.38430470493129,9.14473290086443,1.80747483429741,6.77294155447018,30.2152175412409,7.06953523543586,35.4510995702542,58.8639459102745,8.25091950033526,1.94411853721602,19.6333659035969,29.4596124676259,19.5820856232455,8.19466667735297,10.1138480989239,5.43712467798835,4.40997441900053,4.51049933391003,8.55858051402926,1.77144637719705,1.60264938543888,1.02046589465498,2.60160370836605
"722",18.3302200300252,15.8689452803257,16.1514350648599,77.8714361311296,22.8360716738091,127.624926282789,81.0200543036059,59.7634538606132,4.3027112924262,9.19057248714842,-1.1564374513037,7.4382092463195,8.6093643057522,12.387249472811,23.7625006221325,22.6832873507831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.9746114058481,50.4709859847085,NA,NA,NA,34.5927360258451,29.4721213493938,11.2175857897196,17.1100329604201,NA,NA,NA,NA,NA,14.6678129786091,2.09218531949446,18.0388385337773,38.9602076673521,11.4701720897645,48.0317488435086,54.3863881075287,18.870575539999,3.15429431696321,25.9714580373017,27.9776950610269,35.3503797641165,16.6586431524695,24.4405487096978,16.8613875975571,18.1350424638943,NA,19.4332551351126,NA,NA,3.76874288330797,NA
"842",21.792012701451,24.7140869611344,20.9816811477136,85.6518881832877,31.7225439486469,131.316647451147,110.125306676856,85.8938246393918,4.1889328516987,7.2968293888137,1.6222997973024,3.1645956447754,6.7115510309699,3.28154135047299,20.9667521227276,20.1911688858001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.8675876261818,39.5842729812752,NA,NA,NA,35.8082038709629,30.2600187012724,10.6240632770137,16.6044787673899,NA,NA,NA,NA,NA,14.9079501610671,3.13448267715342,19.1143184732087,37.1701200710253,8.99477575950784,43.782067552892,53.9899687594222,17.1188297340193,2.47355816645431,23.9123181555775,27.9219374215998,31.8602573444877,16.8139568951556,22.3524909303868,14.1132837613137,6.82391097076067,NA,14.1738586826238,NA,NA,3.09461209490742,NA
"962",23.1811971121104,28.8970096482156,24.3398653374486,89.9393212784702,39.3015155151705,134.007549340914,133.856626710009,109.123994939366,5.8615567666005,5.2242792182446,1.8179725097544,0.313607490730604,6.0545039602037,2.628196600949,18.482973017892,19.3029424526625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.2611391540483,39.4673272856978,NA,NA,NA,35.2909331764512,28.615395997471,9.19179562872206,15.3276929033727,NA,NA,NA,NA,NA,15.7615923478343,2.77906824636395,16.5992454131288,31.8301167199668,7.4852221885745,25.9310524060419,34.0250092044618,15.6569107388294,2.0584312011209,20.7921045781431,17.6481367787783,26.2904925509622,16.072517132675,18.8533484053142,10.6149717496527,6.62472979068653,NA,12.9559833086181,NA,NA,2.53723345781919,NA
"723",25.4271105653429,2.85861021935963,16.8926613025606,79.0515369803081,21.7101518441022,142.444286589834,268.913747988431,109.326550462055,3.9244971387049,0.85804023082248,2.4010375435401,7.0110318030632,7.6606926005232,19.860334295672,88.106524172683,37.1615836699738,0.0949956411378513,0.651590450202073,0.44366171520732,0.40540048878137,0.34272289185593,0.84870263824544,0.70680077889608,0.50924597926885,0.35915357841081,0.25704094728479,38.7536743104736,22.5683571357884,74.4092714427265,78.2842952227551,75.9303463919952,37.1094825995796,37.8307459176743,6.84660929181981,10.9808040703573,25.5413030978282,4.61051842607336,38.9134405850633,45.5657398784927,7.59901917441267,11.9590614777398,0.545797944728979,9.58806830280379,40.4219612294815,10.8882345778261,74.5347145462689,163.440326322307,14.800811089125,2.99426734783925,28.0624354016112,80.9523039315877,55.8719185743318,9.93172971144427,7.96141030377629,2.00107105180312,3.86971298793045,20.336970961603,33.133044763555,9.12539686478326,6.40756877554458,10.5863128909091,8.03310114364135
"843",29.2819809381462,3.80389180655547,20.5037026094095,87.810895511075,29.7414252145319,150.868816595521,378.126196652821,162.318024079457,1.9800486961888,0.92047759920316,1.6798272009521,6.7439577111506,5.6837398585556,6.123291104,72.602167109611,32.706826233749,0.0906519784782775,0.733968133817476,0.2135814697759,0.13638836704572,0.0757153254280101,0.21518298589488,0.17264253393234,0.09360584225321,0.0345029284457401,-0.00302497269395996,44.4111542500568,27.986594408898,68.6504713995163,75.3681470095748,69.2402016687732,41.7075526951502,41.7000457396176,7.54205335943043,12.1463941964607,22.2170114027595,3.51584766822467,33.9401330496889,39.9440536488796,6.6482825008108,10.8844433131637,0.844623771489963,8.48999501424918,33.1457849005465,8.13011315317665,71.495470312566,141.025603854786,12.7054361770264,2.23578202945641,24.3652880136896,69.8954332070359,51.6401696476803,9.94269748934543,8.08493580087934,2.08848344107321,9.57873983463261,12.5655421605584,21.5561087334027,6.51944575216422,2.48270777214983,8.1892358504005,5.55811685500209
"963",29.321169755352,4.17823686136067,23.0307443156758,94.2447430229321,36.7451537848262,155.848158862585,479.088044577904,213.428477721598,1.3533405699427,0.70896922495617,1.5871870437394,6.00648744078889,5.3869319553177,4.10768862899602,72.419930758003,35.225734917674,-0.0416877107699908,-0.108891128151635,-0.1980014854462,-0.02556550023856,0.00603890647755012,0.12593607029713,0.0686588724997099,-0.0117291253867,-0.06427386307931,-0.0909356483002901,48.1124699376707,27.5774027052163,72.8113391935388,79.5913911614385,68.0891937163516,43.8452517788511,42.1281523005246,6.72144848602582,13.0416596603338,22.961255605354,3.06172273703044,33.843127229632,37.2083465333177,6.21595593774124,11.5736787285223,0.932441559266871,7.26777066454903,35.7097844181438,7.11905460288881,71.4824691262268,131.780590526991,11.9264365533846,1.95774197453659,26.0034237184212,65.3164843501545,50.8276655857732,8.20252650596312,7.47595810349737,2.6788826813478,11.0967356449993,13.3135903129265,23.6534893313772,7.48606527315418,4.78350669080177,6.2623975719319,6.18168853830231
"724",12.3010658863253,34.2923845172491,17.883356576391,79.7600273586255,20.084429273612,220.653590942254,379.32976243812,134.610940288423,6.35401817727672,22.4156463836681,-11.0365607552377,4.46495067384461,6.9343799992572,37.103262794388,108.600934173399,44.1554575609181,0.109440870568432,0.844023146125321,0.70311716683808,0.70265761151355,0.58643704785543,0.94383240962489,0.85519375085513,0.63313876401073,0.44646891325349,0.32797932661499,64.6488912022148,38.1866323508987,106.506117056945,123.637482087757,110.40394165827,36.4865489221237,30.9215822346628,19.2311226906346,25.097218685155,24.5270563348591,4.15458613043637,62.502222302371,67.4386346466639,10.3641225004507,11.7239590424324,4.41298221385862,32.1038314828511,48.4205976518474,9.95026909631049,106.418569778249,239.474521567158,20.3388613530411,2.73632511670342,33.8598005944421,118.801980655767,80.7234626358689,17.9918896536063,45.5191462039879,34.9579124722515,4.67302308751921,27.5177799278006,41.5772906362982,13.4682334608871,9.40503944200661,16.7308913296159,10.7046285935966
"844",14.1735412853534,54.4956761728661,18.6138056162995,89.2551511933699,29.636157335598,239.225792575767,530.751213085655,201.095193772691,6.721862936218,19.9994961110488,-2.4182227073831,4.68070070484791,5.7888194848792,12.387830731565,87.72929638849,39.454553681876,0.111263527959389,0.866910708151219,0.20484129018175,0.21246376217692,0.16728021945954,0.18193303699566,0.18620825218791,0.10129458694276,0.0277950821123301,-0.01374599657553,69.9455324257953,43.2949485336845,96.8538737954904,112.503446537956,96.9343634230919,37.7909363652066,31.5737847441156,19.433965953497,25.2734319586782,23.0940410900138,3.34498332274162,53.7835395658457,58.3561021045189,9.12874041783189,16.552747349559,9.08057455440624,34.0248373368953,44.8903039717847,7.6705446537668,95.7092599125143,203.730758693675,17.0732842764144,2.10939982013457,30.9844325893782,101.07207472523,73.60318529226,19.5161961865257,44.5464664447333,32.8448510891943,4.71691711845509,15.0683825192763,24.6546857699195,15.2122308961573,5.25989357401037,8.55135161095108,6.84854406972157
"964",15.2506562081942,65.9391300759237,20.7874627091024,93.93957131644,40.8718779156688,247.458803042075,675.289576845033,268.891088874961,8.0071187523374,17.213661229014,2.7564233498615,-0.159809051824809,6.8675648633361,6.492337286332,93.462169607408,44.486691194211,0.0083071894359224,0.439375758895467,-0.32272761499063,0.24708134964733,0.23791795936368,0.23086279418958,0.20292519618841,0.08200933081373,0.00261912196193004,-0.0298905853739,75.3956708926989,48.9790427447709,104.956712811951,119.377142661995,103.596468658181,38.6189311141022,31.6216809300624,17.4811753497774,22.7401770828369,26.4772807037316,3.27136323760013,57.0822434105309,58.3282777418827,9.17259378188797,19.7332318009697,12.3509246344393,35.8818600374747,55.157359938496,7.65972699434207,104.049368311158,205.873138051572,17.524089373523,2.10642136363694,36.3485191913255,102.268497490094,78.2323116551204,21.0838127478064,40.584975944528,27.9680533422863,9.25713096528429,19.5136792211443,31.5037345704749,13.7804002126077,7.48995975189366,11.3455682423862,8.82497009746139
