"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4608,0,14.3132,13.8523,14.0418,0.2714,0.2226,0.006,0.0428,3.8033,0.2868,6.2981,3.3467,0.3069,148.8578,71.68,180.2411,294.6993,261.9012,463.4355,82145.3438,72476,0.33,0.8185,0.1951,0.075,0.1232,0.1318,0.0056,1.8718,4.0549,6.0703,7.2023,7.7334,7.8376,7.8983,7.9622,8.0278
"2",4.3319,0.0033,14.0604,9.7285,13.9745,0.0858,0.0693,0.0022,0.0144,3.8949,0.2843,6.2005,3.2928,0.302,137.5473,69.8297,172.9836,304.5749,262.8194,463.7804,82139.7188,72476,0.3959,0.8103,0.1573,0.1242,0.1362,0.1355,0.0063,1.8972,4.1382,6.0857,7.2919,7.8512,7.9482,8.0029,8.0611,8.1209
"3",10.9936,0,14.2389,3.2454,14.0444,0.1945,0.157,0.0048,0.0327,4.0051,0.2847,6.177,3.2771,0.3005,127.0948,68.0444,166.0845,313.0133,263.6846,464.2766,82134.0938,72476,0.4328,0.7648,0.1873,0.0617,0.2349,0.1361,0.004,1.902,4.1485,5.9946,7.3024,7.9143,8.0177,8.0739,8.1317,8.1906
"4",30.8205,1.4499,23.2154,-7.6051,16.0591,7.1564,5.9883,0.2542,0.9138,4.7045,0.3272,6.9865,3.7013,0.3395,118.1505,66.4198,159.9262,318.6346,264.4199,465.0727,82127.0781,72477.3438,0.7279,1.1606,0.0628,0.4522,0.0888,0.1869,0.0561,1.7158,4.0445,5.7824,7.2521,8.0141,8.1355,8.1979,8.2591,8.321
"5",70.2,53.9225,70.1358,-0.0643,35.8789,34.2568,27.6807,1.8478,4.7283,10.6758,0.746,15.5139,8.1917,0.7515,151.5089,66.7504,161.6179,310.9951,264.168,467.0678,82106.7812,72485.6094,1.6851,2.655,0.4839,0.4032,0.5986,0.6834,0.0121,1.0301,3.4135,4.7648,6.37,8.1437,8.4094,8.5419,8.6431,8.7219
"6",110.4841,52.7032,111.2443,0.7601,54.6726,56.5716,44.6224,3.3928,8.5564,15.7794,1.1458,23.9863,12.6043,1.1569,170.7933,69.0641,171.1354,294.1,262.972,469.132,82074.5859,72500.5625,2.5278,4.6912,0.7282,0.7542,0.8245,0.9491,0.1638,1.4614,3.6148,4.7134,6.1983,8.3075,8.6761,8.8635,9.0133,9.1324
"7",151.9648,61.468,161.814,9.8492,85.0998,76.7143,58.8352,5.0687,12.8103,23.0981,1.82,38.2934,20.047,1.8413,187.3662,73.3316,188.2675,260.1664,260.1699,469.6029,82022.9297,72515.6641,6.2472,9.9374,0.8687,2.9399,1.7237,1.5836,0.2752,2.2956,4.9007,5.7021,6.7366,9.0298,9.3999,9.5833,9.7393,9.8704
"8",148.6814,56.1607,161.3645,12.6833,80.5708,80.7939,63.7522,5.2057,11.8359,19.8533,1.7357,37.4941,19.6786,1.809,200.0849,76.9594,202.5992,235.8247,257.6533,466.4659,81972.2031,72530.0859,7.2192,9.8315,0.7593,2.9667,2.4825,1.77,0.0042,1.8008,4.7932,5.5628,6.5761,9.1124,9.4929,9.6702,9.8275,9.966
"9",97.2458,27.0896,121.7836,24.5378,49.8014,71.9822,60.6314,4.1507,7.2,11.5471,1.0645,23.586,12.4578,1.146,197.7662,77.8684,205.9541,232.977,256.7441,463.5384,81941.3203,72542.3516,2.7942,3.6526,1.091,0.0588,1.7139,1.0214,0.0063,0.5514,3.5402,4.4297,5.6897,8.2139,8.6271,8.8238,8.9996,9.1562
"10",55.9706,15.9809,88.6192,32.6485,32.386,56.2331,48.8618,2.8023,4.5691,7.529,0.6847,15.3029,8.122,0.7475,190.291,77.6248,204.6845,239.2927,256.7559,461.7646,81920.7891,72549.75,1.4335,2.1409,0.7981,0.0717,0.7117,0.6501,0.004,0.6635,3.2438,4.2,5.5268,7.6224,8.0117,8.1998,8.3671,8.5146
"11",13.1995,0.0262,46.9127,33.7131,17.2573,29.6554,26.6907,0.8801,2.0846,4.0675,0.356,8.1165,4.3196,0.3976,175.8428,75.8121,197.2236,252.1991,257.4857,460.9277,81912.4375,72552.3906,0.9086,1.046,0.1962,0.0199,0.5339,0.3548,0.0019,0.8817,3.7408,5.0183,6.162,7.3328,7.6072,7.7458,7.8787,8.005
"12",3.0498,0,29.6347,26.5849,15.5888,14.0459,11.832,0.3069,1.907,3.8767,0.3211,7.2007,3.8371,0.3533,160.3538,73.7168,188.7256,267.5743,258.5282,460.5335,81905.875,72552.3906,0.3845,0.8773,0.173,0.0295,0.2074,0.1476,0.0031,1.7878,4.2753,6.0009,6.9222,7.4604,7.5988,7.6765,7.7602,7.8468
"13",2.2879,0,13.3185,11.0306,12.3186,0.9999,0.8213,0.0224,0.1562,3.2088,0.2533,5.5977,2.984,0.2747,148.1682,72.004,181.8804,279.5321,259.405,460.4721,81899.3359,72552.3906,0.2247,0.6184,0.1291,0.0208,0.0712,0.1327,0.0024,1.8251,4.1588,6.1992,7.1679,7.6296,7.7181,7.7698,7.83,7.8956
"14",4.3839,0,12.5622,8.1782,12.5486,0.0135,0.011,3e-04,0.0022,3.3829,0.2573,5.6309,3.0012,0.2763,136.9086,70.2838,175.0984,290.1093,260.279,460.6073,81893.5391,72552.3906,0.2319,0.5918,0.1095,0.0209,0.0789,0.1322,0.0028,1.8021,4.1616,6.2359,7.2851,7.7751,7.8523,7.8944,7.9438,7.9983
"15",29.4999,1.4096,18.5899,-10.91,13.674,4.9159,4.079,0.1856,0.6514,3.7937,0.2799,6.0696,3.2332,0.2977,127.1879,68.6036,168.582,299.0642,261.1756,460.9472,81887.9141,72552.3906,0.4147,0.849,0.0705,0.2513,0.0277,0.1357,0.0303,1.8575,4.137,6.2305,7.3771,7.9135,7.9941,8.0354,8.0842,8.1385
"16",37.9842,43.5942,32.6034,-5.3809,15.2671,17.3363,15.4099,0.556,1.3705,4.3588,0.3134,6.7008,3.5657,0.3284,158.2112,67.0962,162.8463,307.0933,261.9665,461.542,81881.2422,72553.3984,0.7818,1.1028,0.0485,0.4534,0.1613,0.1671,0.0551,1.8154,4.168,6.1272,7.369,8.0212,8.1194,8.1678,8.2206,8.2781
"17",89.2945,32.2905,84.3552,-4.9392,37.0175,47.3377,38.7233,2.5926,6.0217,10.8616,0.7766,16.0691,8.525,0.7853,163.7716,68.1086,167.1986,301.6536,261.6658,463.4455,81859.5703,72561.5234,1.9145,2.9721,0.4006,0.659,0.4687,0.7868,0.1099,0.9594,3.3514,4.6709,6.335,8.1896,8.4458,8.5668,8.66,8.7347
"18",132.8638,49.0171,127.5106,-5.3532,59.1113,68.3993,53.6616,4.3815,10.3562,16.7668,1.2476,26.0651,13.7633,1.2684,174.9565,71.1695,179.6127,282.4997,260.2571,465.3586,81825.0781,72576.4375,3.9536,6.0745,0.7034,1.6555,1.2022,1.0958,0.1158,1.5717,3.7697,4.7475,6.2479,8.449,8.8167,8.9979,9.1432,9.2598
"19",161.2977,63.3201,167.2938,5.9961,82.0471,85.2467,66.213,5.7865,13.2473,21.786,1.7583,37.1411,19.558,1.8037,192.1243,75.567,197.1384,253.3773,257.7283,465.2249,81775.4844,72590.5,4.539,8.6267,1.5999,1.4711,1.613,1.4549,0.0864,2.0226,4.6575,5.4517,6.5651,8.9509,9.3318,9.5161,9.6733,9.8065
"20",144.4119,52.6873,157.9748,13.5628,72.2269,85.7479,68.7477,5.5838,11.4164,17.6579,1.5511,33.6236,17.7554,1.6387,202.8073,78.7977,209.7639,236.4015,255.8259,462.5105,81731.0781,72604.5078,4.1418,7.1103,1.7423,0.5626,2.163,1.4162,0.0038,1.4984,4.2644,5.0861,6.2356,8.7737,9.1736,9.3612,9.5262,9.6713
"21",98.0102,30.0142,117.643,19.6328,44.1375,73.5056,61.52,4.2681,7.7174,10.3098,0.935,20.8204,11.0516,1.0206,201.6547,80.0087,214.2384,237.1419,255.242,460.2112,81704.0781,72615.6406,1.918,2.9483,1.5224,0.1072,0.9665,0.8443,0.037,0.0281,2.9711,4.1739,5.5079,7.9567,8.3823,8.5893,8.7666,8.9169
"22",39.2695,7.9666,75.6182,36.3486,25.3805,50.2377,44.7442,2.2237,3.2697,5.9918,0.5269,11.9229,6.3521,0.5868,190.0845,79.0418,210.0235,247.2513,255.5889,459.071,81688.8438,72621.2656,0.451,1.3409,1.3689,0.0715,0.0137,0.3658,0.0038,0.1657,1.6316,3.7303,5.4363,7.4221,7.7962,7.9789,8.1384,8.2773
"23",8.5158,0,42.516,34.0002,17.8371,24.6789,22.2995,0.6375,1.7418,4.3072,0.3629,8.3176,4.4392,0.4102,175.6396,77.106,201.997,260.0943,256.3999,458.4053,81678.3359,72626.1484,0.6968,1.1377,0.2277,0.055,0.3775,0.2642,0.005,0.8256,2.4586,4.5207,6.0531,7.3061,7.5949,7.741,7.8681,7.977
