"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4624,0,14.2830562,13.8206358,14.012246,0.2708,0.2208,0.0081,0.0419,3.790331,0.2935448,6.2833748,3.3387244,0.306271,149.6352,97.8096,178.8429,294.3309,268.6111,463.3339,82122.8516,72483.6406,0.3853536,0.8206,0.1514838,0.1231962,0.1299222,0.1322334,0.0087212,1.8720678,4.0495392,6.0190546,7.1907694,7.732863,7.8383802,7.8992938,7.9632,8.0288
"2",4.346,0.0033,14.0289066,9.6829164,13.94411,0.0848,0.068,0.0028,0.014,3.8816654,0.2908912,6.1855308,3.2846882,0.3013356,138.2657,95.95,171.6355,304.2194,269.5205,463.6816,82117.2266,72483.6406,0.4319502,0.8136,0.1170492,0.1684878,0.1276088,0.1358512,0.009934,1.9105,4.1200966,6.0066194,7.2759452,7.8505228,7.949019,8.0038,8.062,8.1218
"3",11.0292,0,14.246693,3.2175396,14.0483066,0.1984,0.159,0.0067,0.0327,4.0015666,0.2919942,6.1771236,3.2769816,0.3006438,127.7586,94.1391,164.7694,312.6644,270.3876,464.1797,82111.6016,72483.6406,0.4541396,0.7701,0.1493906,0.108322,0.208301,0.1375176,0.0065514,1.9587492,4.1905802,5.9522776,7.2891296,7.9141106,8.0191326,8.0754946,8.1333,8.1922
"4",30.9225,1.3652,22.7920766,-8.1304518,16.0704832,6.7216,5.5394,0.3004,0.8818,4.7024078,0.3357732,6.9897606,3.702799,0.33974,118.7221,92.4708,158.6185,318.29,271.1323,464.9778,82104.5859,72484.9844,0.745587,1.1653,0.0464966,0.4671914,0.0881666,0.1902266,0.0555862,1.7068248,4.070833,5.7530854,7.2375202,8.0139598,8.136757,8.1993,8.2606,8.3224
"5",70.4879,54.6154,70.0475308,-0.440378,35.881037,34.1665,27.4948,1.9425,4.7291,10.6639476,0.764901,15.5110356,8.1895614,0.7515938,152.86,92.7296,160.2243,310.624,270.8635,466.9795,82084.2109,72493.2812,1.8451164,2.696,0.3831124,0.5195612,0.6282988,0.697253,0.0264282,1.0304996,3.4096492,4.6954974,6.3546514,8.1457506,8.4133934,8.5459856,8.6471996,8.726
"6",111.0942,53.0956,111.8516792,0.7574798,54.8042502,57.0474,45.0366,3.4303,8.5805,15.7958262,1.1776704,24.0398062,12.6311746,1.159776,172.4248,95.0054,169.7462,293.6804,269.6111,469.049,82051.7734,72508.3594,2.7744828,4.7815,0.602418,0.919961,0.899896,0.9546268,0.1626548,1.404182,3.5958258,4.6454482,6.1877816,8.3143404,8.6845608,8.8719224,9.0216,9.1407
"7",152.7026,61.5229,162.246374,9.5437956,84.9165604,77.3298,59.3438,5.1218,12.8642,23.0150718,1.8617552,38.2039146,19.9982854,1.837536,188.9003,99.2744,186.9443,259.8144,266.6941,469.5122,82000.0312,72523.4766,6.5698674,10.0355,0.6041784,3.238381,1.7234402,1.6080428,0.2765686,2.2770534,4.9048082,5.6823816,6.7311156,9.0356506,9.4071252,9.5905866,9.7465,9.8775
"8",149.2716,56.2078,161.7418502,12.4702814,80.3562642,81.3856,64.2607,5.2618,11.8632,19.774882,1.7741706,37.3838458,19.6191578,1.804211,201.525,102.9325,201.3411,235.5636,264.048,466.3732,81949.2031,72537.9062,7.4615952,9.9004,0.5135726,3.2344162,2.4294332,1.7977434,0.0184676,1.8076974,4.79221,5.5614136,6.5759694,9.1169616,9.4983094,9.6756,9.8328,9.9713
"9",97.5866,27.1,122.5692538,24.9825888,50.1066348,72.4626,61.038,4.199,7.2257,11.6019896,1.0975314,23.7240116,12.5300436,1.1530606,199.102,103.8602,204.6568,232.5846,263.033,463.4081,81918.2031,72550.2656,3.059881,3.7716,0.8254012,0.1250158,1.847434,1.0874332,0.0059648,0.7494768,3.5718254,4.4351644,5.6994694,8.2303042,8.6434594,8.8397976,9.015,9.1709
"10",56.1615,15.9824,89.397478,33.2360198,32.8325154,56.5649,49.1466,2.8369,4.5814,7.619224,0.7110164,15.511281,8.2330218,0.75798,191.5259,103.6132,203.2476,238.7785,262.9728,461.5907,81897.4922,72557.8984,1.7359674,2.2796,0.5540642,0.1548374,0.8659922,0.7151376,0.0085906,0.6870702,3.2727574,4.2069786,5.5443018,7.6484996,8.0381512,8.2258,8.3926994,8.5398
