"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.461,0,14.273427125,13.812418875,14.002725625,0.2707,0.222,0.006,0.0427,3.7947105,0.284925875,6.2808675,3.336290625,0.305932125,148.9371,71.7151,180.3568,294.9485,261.0116,463.6118,82144.9844,72475.8828,12.2489,1.9067,7.5924,8.755,0.6574,10.8684,11.5462,0.5775,0.1808,4.996,0.383353,0.8187,0.151277875,0.121841375,0.129453,0.1320595,0.0086215,1.869531,4.03928775,6.0050415,7.1875665,7.7320465,7.83758925,7.898405125,7.9624,8.028
"2",4.3333,0.0035,14.028281375,9.694960875,13.940438,0.0878,0.0709,0.0022,0.0148,3.88740725,0.28252125,6.185690375,3.283691125,0.301128,137.6206,69.8639,173.0948,304.8271,261.9326,463.9562,82139.3594,72475.8828,11.3181,1.8516,7.2635,8.9836,0.6529,10.7208,11.3824,0.5694,0.1795,5.1205,0.426743,0.8106,0.1186705,0.1641705,0.127022,0.135550625,0.00982675,1.906169875,4.10791225,5.986133375,7.27125725,7.849536,7.948268625,8.003020375,8.0612,8.121
"3",10.9973,0,14.21004875,3.212784125,14.01141175,0.1986,0.1603,0.0049,0.0334,3.997657125,0.282958125,6.1627455,3.268313,0.299739625,127.1624,68.0777,166.1914,313.2682,262.8003,464.4519,82133.7344,72475.8828,10.4581,1.7862,6.9034,9.1873,0.6503,10.6225,11.2669,0.5636,0.1788,5.2319,0.453100375,0.765,0.1487915,0.10558075,0.210364375,0.137153125,0.006256375,1.95234975,4.179382625,5.935908625,7.283558,7.912279,8.017671,8.074066125,8.1318,8.1907
"4",30.831,1.4483,23.190440125,-7.640601,16.0488035,7.1416,5.9761,0.2538,0.9118,4.70378625,0.32583525,6.98233,3.697709125,0.3391455,118.2123,66.4523,160.0284,318.8905,263.5389,465.247,82126.7188,72477.2266,9.6743,1.7703,6.7425,11.0576,0.7659,12.3086,13.0367,0.6522,0.2106,6.2923,0.735979625,1.1609,0.0470075,0.46313225,0.085592625,0.187258875,0.05585975,1.722269,4.06766025,5.751408,7.238643625,8.012336375,8.135413625,8.19799975,8.2593,8.3211
"5",70.2384,54.0734,70.0546075,-0.183821875,35.792649,34.262,27.6849,1.8477,4.7294,10.655143875,0.741458625,15.477301625,8.16929525,0.749449375,151.7099,66.7822,161.7188,311.2445,263.2932,467.2417,82106.4453,72485.5156,10.2478,1.7357,6.5726,24.7284,1.7207,26.9381,28.4375,1.423,0.4732,14.0738,1.819110125,2.6558,0.379717125,0.49554875,0.633654375,0.689905875,0.022873875,1.034155875,3.427621875,4.714226125,6.36267625,8.142900125,8.409559,8.542142875,8.643301125,8.7222
"6",110.5754,52.7766,111.155048875,0.5796685,54.546696125,56.6083,44.6531,3.3936,8.5616,15.750367,1.1390605,23.93226525,12.571178375,1.153826375,171.0382,69.0968,171.2408,294.3436,262.1074,469.3043,82074.2578,72500.4688,13.1044,1.7539,6.7537,37.0193,2.6779,42.2009,44.3338,2.2195,0.7364,21.097,2.713193875,4.6926,0.58557425,0.873050125,0.8915385,0.948606375,0.162558,1.40593075,3.593537,4.6445915,6.185419625,8.306739125,8.676430625,8.863905375,9.0137,9.1329
"7",152.0779,61.4944,161.68171275,9.603822,84.909975625,76.7717,58.8834,5.0708,12.8175,23.05789975,1.809385375,38.210068125,19.996002625,1.83662275,187.6049,73.3662,188.3788,260.3866,259.3195,469.7726,82022.6094,72515.5703,14.1803,1.8802,7.4595,55.8817,4.3859,69.4655,72.7053,3.6425,1.2061,31.9411,6.449569125,9.9407,0.639745125,3.13462575,1.71877725,1.596165,0.27670775,2.2796825,4.903079625,5.681676875,6.72948725,9.029448875,9.4005565,9.5840455,9.740079,9.8711
"8",148.7757,56.1901,161.268937625,12.49328325,80.400333875,80.8686,63.8168,5.2095,11.8423,19.82253125,1.725894875,37.416502125,19.63081725,1.8045875,200.3198,76.9961,202.7168,236.028,256.8173,466.6299,81971.8906,72529.9922,15.3803,1.9891,8.1375,48.1748,4.1931,68.1708,71.5306,3.5866,1.1531,27.6492,7.372331375,9.8346,0.546469375,3.154911,2.42889975,1.788521875,0.01614575,1.803549375,4.79186175,5.56156225,6.5748055,9.1127415,9.49373825,9.67100025,9.8283,9.9668
"9",97.3019,27.1025,121.7378095,24.4358975,49.69229075,72.0455,60.6882,4.1535,7.2039,11.528848875,1.05845525,23.535292375,12.426597625,1.143098125,197.9897,77.9055,206.0729,233.1793,255.9162,463.6983,81941.0156,72542.2578,15.8815,1.8008,7.485,26.4851,2.4315,40.537,42.8062,2.1478,0.6687,15.2355,2.911033125,3.6539,0.949318625,0.181627375,1.690403,1.039002,0.009860625,0.56507,3.532394875,4.420039625,5.68824125,8.21432675,8.627660625,8.824477375,9.0003,9.1568
"10",56.0028,15.9898,88.571888875,32.569086125,32.27926975,56.2926,48.9156,2.8049,4.5721,7.50844325,0.68001725,15.253193,8.09283775,0.744779375,190.5018,77.6618,204.8026,239.5013,255.9337,461.9241,81920.5,72549.6719,15.4829,1.8427,7.6664,17.1041,1.549,26.06,27.6534,1.3881,0.426,9.8332,1.549203125,2.1417,0.66654725,0.187616875,0.69654,0.66504725,0.006018375,0.665640875,3.232066375,4.179073875,5.523058625,7.62249625,8.012101125,8.2003,8.3676,8.5151
"11",13.2077,0.0263,46.91029025,33.702609125,17.22586775,29.6844,26.7178,0.8807,2.0859,4.062438875,0.354084,8.10209525,4.310460125,0.39679325,176.0376,75.8482,197.337,252.42,256.667,461.0858,81912.1484,72552.3125,14.4774,1.8162,7.4761,9.3067,0.8112,13.9208,14.8122,0.7437,0.2231,5.3417,0.92223125,1.0464,0.163309375,0.049898875,0.521585375,0.35074775,0.003341375,0.879543125,3.70088775,4.99135825,6.15828125,7.33266775,7.6074075,7.746099375,7.8789,8.0053
