"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.462,0,14.2957836,13.833741,14.0248164,0.271,0.2215,0.0071,0.0424,3.8028052,0.290313,6.2894394,3.3363404,0.3059144,149.4501,85.0757,180.2367,295.5945,265.9538,464.2734,82151.7969,72477.2188,12.2911,1.91,7.587,8.7739,0.6698,10.8835,11.5467,0.5775,0.3839366,0.82,0.1513064,0.121818,0.1300126,0.1321034,0.0085922,1.8713874,4.044373,6.010881,7.1887972,7.7327158,7.8383268,7.8992,7.9632,8.0288
"2",4.3426,0.0034,14.0491632,9.7065278,13.9630934,0.0861,0.0692,0.0025,0.0144,3.8958182,0.2878532,6.194399,3.2838986,0.3011268,138.0947,83.2138,172.9795,305.4895,266.8719,464.6192,82146.1719,72477.2188,11.3571,1.8623,7.2584,9.0029,0.6652,10.7358,11.383,0.5693,0.4268322,0.8118,0.1190066,0.164414,0.1266888,0.1357242,0.0099562,1.909372,4.116279,5.9974816,7.2736688,7.8502692,7.9489472,8.0037,8.0619,8.1218
"3",11.0207,0,14.2326734,3.2119554,14.0339924,0.1987,0.1597,0.0058,0.0332,4.0061772,0.2882756,6.1713282,3.2684726,0.2997346,127.6006,81.4102,166.081,313.9437,267.7425,465.1132,82140.5469,72477.2188,10.4941,1.8037,6.8985,9.2068,0.6625,10.6371,11.2673,0.5636,0.4533288,0.7662,0.1491262,0.1058196,0.2101018,0.1374086,0.006367,1.957492,4.1892636,5.9449768,7.2862632,7.913098,8.018308,8.0746924,8.1325,8.1914
"4",30.8986,1.4049,22.989234,-7.9093372,16.0763444,6.9129,5.7397,0.2782,0.8949,4.714196,0.3319774,6.9927442,3.6982574,0.3391744,118.5957,79.7559,159.9052,319.571,268.4881,465.9107,82133.5312,72478.5625,9.7073,1.7948,6.7378,11.0811,0.7803,12.3259,13.0375,0.6522,0.7391272,1.1628,0.0470616,0.4637038,0.0864872,0.1889356,0.0559334,1.715473,4.0700198,5.752506,7.2379774,8.0131814,8.1361366,8.1987242,8.26,8.3219
"5",70.4178,54.4377,70.062027,-0.355749,35.8522448,34.2098,27.6069,1.8825,4.7204,10.6778824,0.7553806,15.499466,8.1700432,0.7494702,152.5085,80.0399,161.5272,311.908,268.2317,467.9053,82113.2578,72486.8516,10.2894,1.7624,6.5663,24.7806,1.753,26.976,28.4394,1.423,1.8228706,2.66,0.3794062,0.495385,0.634756,0.6927304,0.0229296,1.032828,3.417392,4.7077906,6.3590538,8.143838,8.410908,8.5435036,8.6447,8.7235
"6",110.9403,53.0439,111.5280542,0.5877436,54.636932,56.8911,44.9031,3.4157,8.5724,15.7845776,1.160394,23.9659864,12.5721356,1.1538386,172.0247,82.3359,171.0578,295.0024,267.0109,469.9676,82081.0859,72501.8047,13.1815,1.7734,6.7459,37.0997,2.728,42.2603,44.3371,2.2195,2.7175202,4.7003,0.586175,0.8744722,0.8925178,0.9505338,0.162872,1.4033908,3.5929194,4.642687,6.1840152,8.308722,8.678742,8.8662098,9.016,9.1351
"7",152.5251,61.5349,162.191796,9.6667156,85.0522264,77.1396,59.2004,5.1025,12.8367,23.110467,1.8431726,38.264128,19.9977956,1.836665,188.5362,86.6029,188.2198,260.9873,264.1468,470.4323,82029.4531,72516.9062,14.256,1.8865,7.4525,56.0091,4.4678,69.5638,72.7117,3.6426,6.4567246,9.9575,0.6402838,3.1394456,1.7176026,1.5996788,0.2769682,2.2767866,4.9024956,5.6804718,6.7296264,9.0334212,9.4046728,9.58805,9.743903,9.8749
"8",149.134,56.2197,161.7483902,12.6142484,80.5325496,81.2159,64.1177,5.2411,11.8571,19.86864,1.7578974,37.4689002,19.6324898,1.8046246,201.1943,90.2456,202.5765,236.5785,261.5574,467.2796,81978.7734,72531.3359,15.4517,1.9791,8.1314,48.2871,4.2709,68.2666,71.5369,3.5867,7.3835064,9.8511,0.5467434,3.1597542,2.4316036,1.792148,0.0162024,1.8017728,4.7912296,5.560328,6.5750666,9.117334,9.498502,9.6756084,9.8327858,9.9712
"9",97.5093,27.1127,122.1039572,24.5946756,49.7750306,72.3289,60.9318,4.1808,7.2163,11.5563982,1.0779706,23.5691906,12.4282922,1.1431778,198.8024,91.1734,205.9408,233.7257,260.5967,464.3398,81947.9453,72543.6328,15.9482,1.7837,7.4807,26.5493,2.4764,40.5968,42.8135,2.148,2.9122848,3.6605,0.9499372,0.1811042,1.6906826,1.040494,0.0098228,0.5663544,3.532948,4.4196032,5.6879814,8.2177156,8.6312882,8.8280018,9.0037728,9.1602002
"10",56.1192,15.9938,88.8242866,32.7050698,32.3330454,56.4912,49.0862,2.8242,4.5809,7.5264978,0.6924462,15.2752218,8.0940392,0.7448416,191.2546,90.9485,204.6758,240.0605,260.5695,462.5595,81927.4297,72551.0625,15.5448,1.8243,7.6623,17.1457,1.5773,26.0983,27.6582,1.3883,1.5527992,2.1457,0.666644,0.1880582,0.6980276,0.6667134,0.0059896,0.669232,3.2352842,4.1798834,5.5229954,7.6248,8.0146994,8.2028892,8.3701,8.5175
