"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4624,0,14.28366,13.82126,14.01286,0.2708,0.2208,0.0081,0.0419,3.79048,0.29358,6.28362,3.33886,0.30628,149.6352,97.8096,178.8429,294.3309,268.6111,463.3339,82122.8516,72483.6406,12.3063,1.9024,7.5369,8.7456,0.6773,10.8736,11.5556,0.5782,0.1863,4.9963,0.38492,0.8206,0.1519,0.1236,0.12888,0.13242,0.00862,1.87028,4.05914,6.03004,7.19444,7.7333,7.8384,7.89928,7.9632,8.0288
"2",4.346,0.0033,14.02982,9.68382,13.94502,0.0848,0.068,0.0028,0.014,3.88192,0.2909,6.18596,3.2849,0.30136,138.2657,95.95,171.6355,304.2194,269.5205,463.6816,82117.2266,72483.6406,11.3712,1.86,7.2086,8.9729,0.6724,10.7236,11.3891,0.5699,0.1849,5.12,0.43388,0.8136,0.11784,0.16912,0.12874,0.136,0.01102,1.90578,4.11988,6.02432,7.27878,7.85088,7.9491,8.0038,8.062,8.1218
"3",11.0292,0,14.24612,3.21702,14.04772,0.1984,0.159,0.0067,0.0327,4.00142,0.29196,6.17688,3.27686,0.30066,127.7586,94.1391,164.7694,312.6644,270.3876,464.1797,82111.6016,72483.6406,10.5071,1.8107,6.8661,9.1981,0.6712,10.6494,11.299,0.5654,0.1846,5.2436,0.45394,0.7701,0.14884,0.10806,0.20834,0.1375,0.00618,1.95378,4.19838,5.981,7.29578,7.91462,8.01918,8.0755,8.1333,8.1922
"4",30.9225,1.3652,22.79158,-8.13094,16.07,6.7216,5.5394,0.3004,0.8818,4.70224,0.33576,6.98954,3.7027,0.33974,118.7221,92.4708,158.6185,318.29,271.1323,464.9778,82104.5859,72484.9844,9.7191,1.8047,6.6972,11.0548,0.7893,12.3222,13.0552,0.6534,0.2171,6.2972,0.7501,1.1653,0.04584,0.46782,0.09188,0.19038,0.05846,1.7022,4.09052,5.78528,7.24582,8.0147,8.13682,8.1993,8.2606,8.3224
"5",70.4879,54.6154,70.04526,-0.44264,35.87878,34.1665,27.4948,1.9425,4.7291,10.66328,0.76484,15.51008,8.18906,0.75154,152.86,92.7296,160.2243,310.624,270.8635,466.9795,82084.2109,72493.2812,10.3056,1.7761,6.5326,24.7657,1.7763,27.0153,28.5274,1.428,0.4885,14.1096,1.83776,2.696,0.38326,0.52278,0.62012,0.69484,0.02662,1.01342,3.4323,4.69274,6.35582,8.14626,8.41344,8.54598,8.6472,8.726
"6",111.0942,53.0956,111.84816,0.754,54.80076,57.0474,45.0366,3.4303,8.5805,15.79482,1.1776,24.03828,12.63036,1.1597,172.4248,95.0054,169.7462,293.6804,269.6111,469.049,82051.7734,72508.3594,13.214,1.7874,6.7317,37.159,2.7711,42.4279,44.5845,2.2329,0.762,21.1995,2.77692,4.7815,0.6005,0.91918,0.90466,0.95308,0.16224,1.40426,3.58006,4.6336,6.18652,8.31446,8.68462,8.87196,9.0216,9.1407
"7",152.7026,61.5229,162.24376,9.54116,84.91394,77.3298,59.3438,5.1218,12.8642,23.01438,1.8617,38.20274,19.9977,1.8375,188.9003,99.2744,186.9443,259.8144,266.6941,469.5122,82000.0312,72523.4766,14.2862,1.8833,7.4112,55.8502,4.5186,69.5422,72.8055,3.6489,1.2426,31.9602,6.59876,10.0355,0.60212,3.23574,1.75554,1.60746,0.27712,2.27482,4.89348,5.67498,6.72874,9.03548,9.40714,9.59058,9.7465,9.8775
"8",149.2716,56.2078,161.74124,12.4697,80.35568,81.3856,64.2607,5.2618,11.8632,19.77472,1.77418,37.38358,19.619,1.80418,201.525,102.9325,201.3411,235.5636,264.048,466.3732,81949.2031,72537.9062,15.4791,1.9625,8.0863,48.1105,4.315,68.1838,71.5642,3.5897,1.1866,27.6474,7.4495,9.9004,0.5133,3.23632,2.4158,1.79742,0.01844,1.8098,4.7901,5.56002,6.57536,9.11682,9.4983,9.6756,9.8328,9.9713
"9",97.5866,27.1,122.57724,24.99056,50.1146,72.4626,61.038,4.199,7.2257,11.60384,1.09772,23.72778,12.53204,1.15324,199.102,103.8602,204.6568,232.5846,263.033,463.4081,81918.2031,72550.2656,15.9731,1.7824,7.5243,26.7436,2.5298,41.0045,43.313,2.1741,0.6957,15.4047,3.0693,3.7716,0.83308,0.12844,1.85316,1.0877,0.00572,0.74878,3.5627,4.43434,5.69924,8.23024,8.64344,8.8398,9.015,9.1709
"10",56.1615,15.9824,89.393,33.23152,32.828,56.5649,49.1466,2.8369,4.5814,7.61818,0.71092,15.50916,8.2319,0.75788,191.5259,103.6132,203.2476,238.7785,262.9728,461.5907,81897.4922,72557.8984,15.5673,1.8452,7.8025,17.4522,1.6286,26.6479,28.2884,1.4206,0.4479,10.0466,1.73502,2.2796,0.54834,0.15338,0.86526,0.7164,0.00716,0.67972,3.2606,4.20578,5.54396,7.64844,8.03816,8.2258,8.3927,8.5398
