"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4624,0,14.283145,13.82073,14.012338,0.2708,0.2208,0.0081,0.0419,3.790359,0.293547,6.28342,3.338745,0.306274,149.6352,97.8096,178.8429,294.3309,268.6111,463.3339,82122.8516,72483.6406,12.3063,1.9024,7.5369,8.7456,0.6773,10.8736,11.5556,0.5782,0.1863,4.9963,0,0,0,0,0.385656,0.8206,0.151511,0.123253,0.130109,0.132299,0.00865,1.87169,4.053085,6.015114,7.19009,7.732805,7.838375,7.899292,7.9632,8.0288
"2",4.346,0.0033,14.028909,9.68292,13.944109,0.0848,0.068,0.0028,0.014,3.881664,0.290889,6.18553,3.284692,0.301334,138.2657,95.95,171.6355,304.2194,269.5205,463.6816,82117.2266,72483.6406,11.3712,1.86,7.2086,8.9729,0.6724,10.7236,11.3891,0.5699,0.1849,5.12,0,0,0,0,0.43153,0.8136,0.117155,0.168436,0.127355,0.135745,0.009742,1.905796,4.11985,5.998287,7.274225,7.850406,7.949014,8.0038,8.062,8.1218
"3",11.0292,0,14.246519,3.217366,14.048131,0.1984,0.159,0.0067,0.0327,4.001517,0.291985,6.177047,3.276937,0.300646,127.7586,94.1391,164.7694,312.6644,270.3876,464.1797,82111.6016,72483.6406,10.5071,1.8107,6.8661,9.1981,0.6712,10.6494,11.299,0.5654,0.1846,5.2436,0,0,0,0,0.452513,0.7701,0.149412,0.108402,0.206794,0.137324,0.006475,1.958143,4.189847,5.950664,7.288177,7.913971,8.019121,8.075491,8.1333,8.1922
"4",30.9225,1.3652,22.792117,-8.130416,16.070523,6.7216,5.5394,0.3004,0.8818,4.702423,0.335776,6.98978,3.702807,0.339744,118.7221,92.4708,158.6185,318.29,271.1323,464.9778,82104.5859,72484.9844,9.7191,1.8047,6.6972,11.0548,0.7893,12.3222,13.0552,0.6534,0.2171,6.2972,0,0,0,0,0.743993,1.1653,0.046469,0.466996,0.086709,0.19029,0.055529,1.711605,4.07122,5.752824,7.237264,8.013876,8.136749,8.199301,8.2606,8.3224
"5",70.4879,54.6154,70.048871,-0.439031,35.882386,34.1665,27.4948,1.9425,4.7291,10.664345,0.764926,15.511623,8.189871,0.751623,152.86,92.7296,160.2243,310.624,270.8635,466.9795,82084.2109,72493.2812,10.3056,1.7761,6.5326,24.7657,1.7763,27.0153,28.5274,1.428,0.4885,14.1096,0.0334,0.0267,0.0067,0.0649,1.846527,2.696,0.383528,0.520208,0.628131,0.698186,0.026346,1.032257,3.408292,4.693165,6.354279,8.1457,8.413388,8.54598,8.647199,8.726
"6",111.0942,53.0956,111.853163,0.758959,54.805731,57.0474,45.0366,3.4303,8.5805,15.796247,1.177706,24.040456,12.631515,1.159809,172.4248,95.0054,169.7462,293.6804,269.6111,469.049,82051.7734,72508.3594,13.214,1.7874,6.7317,37.159,2.7711,42.4279,44.5845,2.2329,0.762,21.1995,0.0496,0.0397,0.0099,0,2.771639,4.7815,0.60282,0.919044,0.896887,0.955704,0.162663,1.410812,3.602809,4.641819,6.186922,8.314265,8.684554,8.87193,9.0216,9.1407
"7",152.7026,61.5229,162.2472,9.544628,84.917396,77.3298,59.3438,5.1218,12.8642,23.015298,1.861771,38.204288,19.998477,1.83756,188.9003,99.2744,186.9443,259.8144,266.6941,469.5122,82000.0312,72523.4766,14.2862,1.8833,7.4112,55.8502,4.5186,69.5422,72.8055,3.6489,1.2426,31.9602,0,0,0,0,6.571748,10.0355,0.60387,3.238366,1.724186,1.60919,0.276559,2.27756,4.90446,5.681798,6.730911,9.035595,9.407118,9.59058,9.7465,9.8775
"8",149.2716,56.2078,161.742189,12.470614,80.3566,81.3856,64.2607,5.2618,11.8632,19.774962,1.774177,37.384001,19.619235,1.80422,201.525,102.9325,201.3411,235.5636,264.048,466.3732,81949.2031,72537.9062,15.4791,1.9625,8.0863,48.1105,4.315,68.1838,71.5642,3.5897,1.1866,27.6474,0,0,0,0,7.465275,9.9004,0.513741,3.234906,2.432456,1.797915,0.018487,1.80555,4.792351,5.561493,6.575957,9.11694,9.498306,9.6756,9.8328,9.9713
"9",97.5866,27.1,122.569004,24.982343,50.106382,72.4626,61.038,4.199,7.2257,11.601939,1.097527,23.723897,12.529976,1.153049,199.102,103.8602,204.6568,232.5846,263.033,463.4081,81918.2031,72550.2656,15.9731,1.7824,7.5243,26.7436,2.5298,41.0045,43.313,2.1741,0.6957,15.4047,0,0,0,0,3.059351,3.7716,0.826301,0.124467,1.848581,1.086289,0.006049,0.746853,3.572515,4.433692,5.699319,8.230296,8.643456,8.839797,9.015,9.1709
"10",56.1615,15.9824,89.394728,33.233272,32.829778,56.5649,49.1466,2.8369,4.5814,7.618581,0.710961,15.509983,8.232329,0.757912,191.5259,103.6132,203.2476,238.7785,262.9728,461.5907,81897.4922,72557.8984,15.5673,1.8452,7.8025,17.4522,1.6286,26.6479,28.2884,1.4206,0.4479,10.0466,0,0,0,0,1.733264,2.2796,0.552466,0.153709,0.865558,0.71399,0.008685,0.684815,3.273566,4.204671,5.543994,7.648473,8.038143,8.2258,8.3927,8.5398
