"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4727,0,14.416075,13.943404,14.145283,0.2708,0.2178,0.0128,0.0402,3.869621,0.288472,6.338092,3.342359,0.30674,154.776,164.2445,179.9394,300.1427,263.655,466.7827,82108.6719,72504.6484,12.7291,1.9125,7.5959,8.932,0.6659,10.9726,11.5727,0.5793,0.1831,5.0957,0.389705,0.8306,0.152096,0.125626,0.133246,0.130833,0.008795,1.856935,3.992961,5.941268,7.17382,7.734597,7.843148,7.904548,7.9686,8.0343
"2",4.4378,0.0033,14.15326,9.715508,14.07042,0.0828,0.0654,0.0043,0.0131,3.961214,0.285738,6.235638,3.28623,0.30162,143.0157,162.3609,172.6776,310.2885,264.596,467.142,82103.0469,72504.6484,11.7618,1.8838,7.263,9.164,0.661,10.819,11.4034,0.5709,0.1818,5.222,0.441859,0.8261,0.114045,0.177119,0.129893,0.134849,0.01007,1.894823,4.071581,5.916698,7.257759,7.852611,7.953579,8.0088,8.067,8.1269
"3",11.2603,0,14.437544,3.177251,14.240673,0.1969,0.1551,0.0107,0.031,4.102492,0.288141,6.254798,3.292988,0.302256,132.1477,160.5043,165.7308,318.9479,265.5104,467.6589,82097.4219,72504.6484,10.8681,1.8559,6.9467,9.4367,0.6628,10.7908,11.3621,0.5689,0.1823,5.3725,0.458407,0.7869,0.150165,0.113557,0.208234,0.136612,0.007199,1.953215,4.14962,5.890233,7.275423,7.917755,8.025062,8.081767,8.1397,8.1987
"4",31.5927,1.1591,21.895357,-9.697356,16.245329,5.65,4.5109,0.3702,0.769,4.807241,0.330447,7.057123,3.709954,0.340552,122.6755,158.7632,159.4419,324.7341,266.3126,468.4831,82090.4062,72505.9922,10.0516,1.8576,6.752,11.3018,0.7769,12.4417,13.0813,0.655,0.2136,6.4296,0.765411,1.1825,0.046362,0.475201,0.093739,0.196482,0.055054,1.656479,4.033995,5.701832,7.216597,8.017832,8.142645,8.205516,8.2669,8.3288
"5",72.0956,57.708,70.697148,-1.398516,36.352366,34.3448,26.8665,2.4954,4.9829,10.925602,0.754604,15.6946,8.222588,0.754975,159.414,158.9814,161.0731,316.8997,266.1229,470.5529,82070,72514.4062,10.6866,1.838,6.5937,25.3968,1.754,27.3602,28.6688,1.4358,0.4824,14.4506,1.940048,2.7983,0.381058,0.573791,0.620921,0.745329,0.033882,0.936996,3.2273,4.48059,6.237943,8.152295,8.42697,8.559916,8.661127,8.7401
"6",113.8627,55.8771,113.955846,0.093079,55.70413,58.2517,45.0201,3.9606,9.271,16.235381,1.165959,24.409264,12.724628,1.168906,180.2571,161.3779,171.2068,299.5745,264.9478,472.7074,82037.2109,72529.8438,13.8133,1.8471,6.8419,38.2608,2.7484,43.1556,44.9934,2.2545,0.7558,21.7992,2.941233,4.9949,0.61526,1.027218,0.915678,0.998327,0.161567,1.316674,3.440735,4.459172,6.091905,8.329933,8.71039,8.898027,9.047428,9.1664
"7",156.2705,62.7699,164.120641,7.85013,85.599832,78.5208,59.7818,5.3707,13.3683,23.469145,1.828636,38.481885,19.983145,1.837018,196.7341,165.7486,188.8203,265.1728,262.1184,473.2227,81985.5391,72545.0234,14.9079,1.906,7.4947,57.0894,4.4487,70.2127,72.9213,3.6565,1.2234,32.6226,6.796342,10.2929,0.530607,3.441242,1.700135,1.65497,0.27694,2.212551,4.818943,5.591269,6.69011,9.059244,9.438482,9.62179,9.7771,9.9076
"8",152.203,56.3627,163.922866,11.719871,80.948284,82.9746,65.6639,5.3807,11.93,20.16719,1.741959,37.640851,19.595413,1.802879,208.838,169.4317,203.1909,240.5473,259.532,470.0674,81934.8359,72559.4688,16.0775,1.9535,8.1745,49.1715,4.2458,68.8002,71.6312,3.5948,1.1676,28.2119,7.680946,10.1135,0.446335,3.409273,2.4406,1.831081,0.024148,1.794766,4.761168,5.529609,6.564694,9.144074,9.530244,9.707114,9.8635,10.0013
"9",99.2849,27.2149,126.106833,26.821997,51.698574,74.4082,62.7731,4.3455,7.2898,12.116676,1.10412,24.473777,12.823373,1.180612,205.9139,170.3479,206.2692,237.1187,258.5123,466.9802,81903.5703,72572.1875,16.5315,1.8056,7.8077,28.0387,2.5549,42.468,44.5029,2.2349,0.7026,16.1239,3.270527,4.0701,0.766172,0.0979,1.998066,1.174561,0.00552,0.850232,3.61674,4.441135,5.715102,8.282904,8.69886,8.893658,9.066995,9.2207
"10",57.1184,16.0787,92.050285,34.931837,33.998078,58.0522,50.1903,3.0933,4.7685,7.978634,0.718131,16.062489,8.459607,0.779222,197.866,170.0767,204.5609,243.2055,258.4517,465.0653,81882.4219,72580.3828,16.0873,1.8791,8.1398,18.4211,1.658,27.8128,29.2964,1.4719,0.4559,10.5875,2.05044,2.5617,0.419159,0.172762,1.058778,0.818906,0.013997,0.67669,3.277724,4.181742,5.539507,7.700763,8.093605,8.279794,8.4446,8.5908
