"","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1"
"6",37.1549606666667,0.0781093749999968,-8.85079202083332,-44.6893664166667,9.81447414583334,-66.1457152083333,-156.192618208341,64.6440735000069,0.0281686666666667,0.189359895833333,0.598877187499999,0.364580166666666,-0.0406718750000001,-0.0285380000000011,-0.0234723750000008,-0.0205138541666674,-0.0197005833333339,-0.0181142083333334,713.51823325,276.03988475,809.7430345,96.22480525,374.4781865,435.26484125,356.93852625,23.84075675,54.4855695,107.61035525,3.93878875,181.0834705,72.2141445,9.63140825,31.24088125,46.70903475,6.29748825,16.460461,6.56896975,8.211444
"7",18.1979326666667,-1.5965393125,-10.7641013541667,-6.87966002083334,10.1706914791666,-36.1467675208333,-184.562527687493,63.8600339166587,-0.00301108333333334,0.0999019583333332,0.0183660000000003,-0.0787617083333334,-0.179053083333334,-0.208889770833334,-0.182187104166667,-0.163303562499999,-0.152733062499999,-0.1457654375,690.299899,251.053682,795.322867,105.02297275,352.4850965,442.83777175,367.35476325,23.94784325,51.53516625,104.11380925,3.97190325,162.5126905,72.231484,9.65520325,21.31973125,36.508821,8.09246175,8.37674725,5.802713,7.1402985
"8",6.19352091666664,0.256204562500002,0.0640908125000124,4.92418577083336,9.16638227083337,-13.1737387083334,-177.609959645837,56.6927927500074,-0.0106557916666667,0.00868389583333329,0.1047759375,0.167113645833334,0.156090125,0.077390354166667,0.0388212916666664,0.0189241041666666,0.00871254166666624,0.00133216666666591,671.253425,261.727319,741.310713,70.057285,332.27179775,409.038919,333.148095,22.09258775,53.7982355,101.016653,3.86478375,149.29855325,68.8556405,9.2361295,24.0372115,38.23241025,6.7320535,11.25023325,5.55820175,7.228783
"61",-6.68377220833335,2.59605175,-12.8497977083333,-15.7751697083334,4.20234322916667,-87.4420420625,-25.3013217916741,51.4459160833212,0.0076795,-0.2245945,-0.504857208333334,-0.529117979166667,-0.5672884375,-0.300812270833334,-0.214613979166667,-0.188491479166666,-0.177216895833333,-0.169608416666666,631.15136,298.375502,662.10740575,30.956044,328.59891875,333.508513,252.321736,19.61663275,61.570142,124.82101825,6.43075775,152.389822,37.286911,7.67040025,16.85200325,28.6024555,4.05298775,5.8187795,2.6571215,8.37608225
"71",-5.14471574999999,2.810914,-4.61419187499999,1.01439127083336,4.68094339583337,-34.7082958333334,-44.2327141249843,40.9686078750092,-0.00124514583333333,-0.0275596875,-0.214545541666666,-0.2032719375,-0.214552708333333,-0.169332791666666,-0.142850541666666,-0.137215875,-0.136630791666667,-0.137547583333333,582.97042525,266.55127075,594.30890925,11.3384795,274.1417985,320.167108,238.177899,18.5605055,63.428695,109.88786025,5.59264425,119.07397475,32.854121,6.73320275,10.60159475,20.52905975,4.30624675,2.62609075,1.92206975,6.05342525
"81",-10.6908449166667,3.22159802083333,-2.97922260416667,8.18610899999999,5.62899064583331,-10.1819199166667,-43.0567505625077,32.2943407916755,-0.008035,-0.0603974791666667,-0.189177645833333,-0.1969674375,-0.1605789375,-0.0551974375000004,-0.0241923958333334,-0.0186257083333334,-0.0196203124999998,-0.0218614166666669,509.84724225,241.11580725,506.26095225,-3.58629375,236.928935,269.33202175,185.652176,17.09553425,66.58429275,98.26716375,4.89061425,99.5826325,28.364566,5.8239435,8.943041,16.58362875,3.04792025,2.52710225,1.4337985,4.98208225
"62",10.8213747291666,4.74173714583333,4.77745283333331,-16.3127481041666,1.95123766666666,78.7647649791666,-813.519893812496,259.931483145832,0.0324285833333333,-0.00223358333333312,-0.00232681249999978,-0.194196458333334,-0.35804325,0.159238083333333,0.235012979166667,0.236231979166668,0.228609562500001,0.221273375000001,608.22304275,333.799627,1069.24968025,461.0266285,797.790702,271.4590015,177.994497,27.758824,65.7056695,131.89300875,8.349978,352.35841875,294.2230635,10.966224,32.149592,54.5100335,8.6992265,12.068677,7.070088,13.010865
"72",6.00716941666667,7.17742377083331,6.56639116666668,8.87855187500003,2.70606306250005,36.1071662708333,-805.991460791673,266.097267333331,-0.0221843125,0.0552143749999998,0.0249417916666665,0.0233351458333342,-0.0222083333333334,-0.190048958333334,-0.176799062500001,-0.155551916666667,-0.143292333333335,-0.135232145833333,596.8209745,328.67945975,1002.474502,405.65351875,734.5282165,267.9462915,177.233755,27.6158085,63.09671575,123.41535325,7.337326,330.560375,263.2785275,9.936632,21.11956625,40.3526085,8.97389675,4.86940075,5.84642825,10.403755
"82",-1.149139875,7.06855304166669,3.66192949999999,20.7052241458333,4.43991958333328,18.2295555625,-693.865287458335,232.377617604172,-0.00264995833333334,-0.122439916666667,-0.0222029583333332,0.0935531041666664,0.129733791666666,0.0169762083333342,-0.0186311458333321,-0.0390525833333335,-0.0467356666666667,-0.053484520833333,550.2080915,303.22183375,920.8383015,370.630205,676.22741925,244.6108735,161.42026,25.8050055,57.3856085,119.8923985,6.594791,305.48470175,235.26467175,8.990868,21.217049,37.66722625,6.81535725,6.873426,4.6139345,9.729668
"63",12.6654589166667,7.68600660416666,1.8202883125,-28.59428,6.16264904166667,12.5999506458334,-420.358237541659,175.601061854177,0.0327159166666667,-0.291140895833333,-0.289447854166667,-0.280553104166666,-0.270035666666667,0.213955520833334,0.29146175,0.293673416666667,0.282524104166669,0.271982187500001,743.61446625,382.5767725,915.2075275,171.593049,558.26274825,356.9447825,251.15186475,25.487354,80.3055525,133.17687425,5.91518125,240.02503925,169.6980635,9.44759175,38.08596775,71.48339275,18.1870695,7.59523575,15.1021105,15.38862175
"73",7.47007274999999,9.01017597916666,10.559531,15.728482875,7.59646102083332,3.68554389583329,-411.833063062499,170.694332208324,-0.0310011666666667,-0.0101781458333333,-0.030487645833333,-0.153300395833333,-0.2185579375,-0.438834354166667,-0.425859166666666,-0.393522666666666,-0.364681875,-0.341980875000001,721.617304,365.034946,851.85023675,130.232951,495.65725775,356.19299925,251.51063125,25.43549775,79.2468785,125.65127825,5.1648355,208.81229225,147.7523575,8.2764695,25.15224775,49.03716225,12.67231375,2.135364,11.18283175,11.83405275
"83",-4.85401885416667,7.03401416666668,5.18308239583334,22.2222135625,9.26401956250004,12.1858967291667,-355.575860770841,147.22642022917,0.000138812499999998,-0.0735656875,-0.0439676874999999,0.148603125,0.158160208333333,0.00792683333333333,-0.0598540833333336,-0.0901046666666678,-0.102015020833334,-0.109975437499999,665.85982,334.0905435,807.5842535,141.72444025,477.9269805,329.65724575,227.15762225,23.77979175,78.71983825,127.00175525,4.940467,200.62086275,137.60376875,7.760158,26.337376,52.48703675,14.1819575,6.2752185,8.3418645,11.720326
"64",0.195947770833357,9.44438258333335,4.32901150000001,-5.48648804166669,5.135892625,144.4462670625,-1040.11388618749,320.925318791662,0.0712369375,-0.317881375,-0.0193721458333336,0.149227291666667,0.213015895833333,1.01915722916667,1.12597679166667,1.1136895625,1.07335670833333,1.03669127083333,683.77586975,385.9320765,1206.30343725,522.52756425,912.147539,294.155908,194.8932345,24.25124475,75.011428,139.64925325,6.106054,400.56942675,355.357048,10.465755,78.18009125,130.77106725,27.236468,18.1218575,34.69421525,25.3640265
"74",4.29594989583333,12.8319245625,14.8099591458333,19.0488923541667,6.37789524999999,54.43766375,-967.512167624998,316.920892270835,-0.0594341875,-0.919834166666667,-1.70506225,-0.89894475,-0.553419375000001,-0.845392562499999,-0.821372395833333,-0.773439770833333,-0.728961666666667,-0.692523541666667,669.8596915,378.84614625,1118.574295,448.714596,830.30709325,288.26718575,190.84173575,24.9969015,72.428532,132.14173775,5.34010175,374.30085575,309.279684,9.2447265,25.68282575,72.6574265,36.44207625,4.56232375,9.11020975,12.01030625
"84",-6.69280966666668,11.2410121041667,4.952432375,20.0112142083333,8.24412143750004,25.722290625,-842.332481791673,282.089091729169,-0.0093539375,0.2056738125,0.621587854166667,0.4827840625,0.326645750000001,0.230208687499999,0.124687812499999,0.0604457499999995,0.0296628749999996,0.00808712499999942,605.012556,346.17783525,1099.0757925,494.063237,841.08687575,257.98890325,169.766404,23.88378225,64.3387385,138.8195305,5.38809675,383.89028575,303.765515,9.223438,44.48953625,94.2480795,31.16633425,10.470567,16.15851725,17.8604565
"65",-3.37773660416667,17.6009884791667,6.26447018750002,-15.9662443333333,6.5671364166667,111.822402916667,-894.872721395848,279.500755770845,0.142502541666667,-0.275229166666667,0.0661591458333337,0.3961761875,0.577669333333334,1.3920084375,1.48000825,1.45657314583333,1.40429010416667,1.35605625,685.34622925,388.9910145,1060.19323725,374.84700925,766.53121775,293.66202275,190.6984775,34.215401,68.7481345,131.83211325,5.18694,339.5855625,278.28100075,11.64559275,155.43877275,189.75094625,5.8714715,54.06520475,71.84137775,29.532197
"75",0.118739062499998,23.6534903958333,8.66669468749998,12.3496330416667,8.27390856249997,37.7709683750001,-831.720812187486,273.432761687494,0.0364247291666667,-1.814964875,-2.14317070833333,-1.125079375,-0.824457312500001,-1.197058375,-1.17296804166667,-1.11408145833333,-1.05557602083333,-1.0056659375,669.1968945,380.5265465,1001.12587225,331.928975,715.050345,286.0755405,185.31998875,34.50241675,66.25314025,125.89525775,4.73485,323.06023625,250.712255,10.647723,76.62133825,105.39045075,11.85309425,36.666772,21.54532225,18.40924225
"85",-10.7446405416667,20.3629437708333,-1.33312093749998,14.563524625,9.96228233333335,19.0464343333333,-716.527858604168,239.616739104167,-0.104109541666667,0.423777520833333,0.6650855625,0.376167645833333,0.287400520833334,0.131407895833332,0.000951416666666205,-0.0800613333333331,-0.122055520833333,-0.152584687499999,572.9649415,329.98523175,946.69809975,373.73316025,702.822968,243.87514725,156.419813,32.3716065,55.083707,127.33340625,4.69226175,320.634592,239.84078725,10.3219245,99.38624275,129.98577875,8.914338,41.51668275,36.5193445,21.3502075
