"","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1"
"6",37.1549606666667,0.0781093749999968,-8.85079202083332,-44.6893664166667,9.81447414583334,-66.1457152083333,-156.192618208341,64.6440735000069,0.0281686666666667,0.189359895833333,0.598877187499999,0.364580166666666,-0.0406718750000001,-0.0285380000000011,-0.0234723750000008,-0.0205138541666674,-0.0197005833333339,-0.0181142083333334,713.51823325,276.03988475,809.7430345,96.22480525,374.4781865,435.26484125,356.93852625,23.84075675,54.4855695,107.61035525,3.93878875,181.0834705,72.2141445,9.63140825,31.24088125,46.70903475,6.29748825,16.460461,6.56896975,8.211444
"7",18.1979326666667,-1.5965393125,-10.7641013541667,-6.87966002083334,10.1706914791666,-36.1467675208333,-184.562527687493,63.8600339166587,-0.00301108333333334,0.0999019583333332,0.0183660000000003,-0.0787617083333334,-0.179053083333334,-0.208889770833334,-0.182187104166667,-0.163303562499999,-0.152733062499999,-0.1457654375,690.299899,251.053682,795.322867,105.02297275,352.4850965,442.83777175,367.35476325,23.94784325,51.53516625,104.11380925,3.97190325,162.5126905,72.231484,9.65520325,21.31973125,36.508821,8.09246175,8.37674725,5.802713,7.1402985
"8",6.19352091666664,0.256204562500002,0.0640908125000124,4.92418577083336,9.16638227083337,-13.1737387083334,-177.609959645837,56.6927927500074,-0.0106557916666667,0.00868389583333329,0.1047759375,0.167113645833334,0.156090125,0.077390354166667,0.0388212916666664,0.0189241041666666,0.00871254166666624,0.00133216666666591,671.253425,261.727319,741.310713,70.057285,332.27179775,409.038919,333.148095,22.09258775,53.7982355,101.016653,3.86478375,149.29855325,68.8556405,9.2361295,24.0372115,38.23241025,6.7320535,11.25023325,5.55820175,7.228783
"61",-6.73739247916666,3.97545125000001,-8.18163052083332,-16.5366058958333,9.69494045833335,-33.3317562916667,-230.068383958336,108.155034916679,0.00481395833333333,-0.1915871875,-0.224507645833333,-0.2807168125,-0.345726770833334,-0.189061458333334,-0.148462833333333,-0.133408270833333,-0.124474875000001,-0.117528708333333,590.91494975,295.563922,721.55949325,130.64453475,424.926358,296.63313425,203.8167815,27.567489,65.24885375,121.02475175,4.04457925,191.134312,100.3833095,8.339405,19.32925825,30.124799,3.752436,6.95117825,4.798331,7.57973175
"71",-4.14561189583335,4.89811962499999,-2.74341879166667,1.52557677083331,10.0890682916666,-12.253579125,-228.781884854165,97.0440879791568,0.000859458333333334,-0.012211375,-0.170992041666667,-0.161614291666667,-0.197504979166666,-0.107236979166666,-0.0944424791666663,-0.0962182500000006,-0.0995269374999994,-0.103173083333333,546.24942775,267.69125,655.4941445,109.244713,372.735218,282.758926,192.8733375,27.1464245,62.73915225,108.219449,3.64487175,163.77862275,89.6189655,7.4733315,13.7064615,23.56870975,4.18251375,3.9403545,3.799438,5.9666615
"81",-5.93520304166665,5.23187489583334,0.802304458333339,9.51919264583336,10.2713826875,-1.26265577083331,-199.670369416664,81.3761728124955,-0.00865027083333333,-0.0724970833333333,-0.1694720625,-0.154093833333333,-0.115171833333333,-0.0231755833333338,-0.0159280625000005,-0.0211513333333331,-0.0252378750000002,-0.029003354166667,498.71852,254.39629375,566.92823325,68.209713,323.17938675,243.748851,158.997058,22.8312105,61.9205715,96.81346875,3.214211,139.91980175,76.8029595,6.42893275,11.79783425,19.46497025,2.99930175,3.8505795,2.90668125,5.04053725
"62",10.8213747291666,4.74173714583333,4.77745283333331,-16.3127481041666,1.95123766666666,78.7647649791666,-813.519893812496,259.931483145832,0.0324285833333333,-0.00223358333333312,-0.00232681249999978,-0.194196458333334,-0.35804325,0.159238083333333,0.235012979166667,0.236231979166668,0.228609562500001,0.221273375000001,608.22304275,333.799627,1069.24968025,461.0266285,797.790702,271.4590015,177.994497,27.758824,65.7056695,131.89300875,8.349978,352.35841875,294.2230635,10.966224,32.149592,54.5100335,8.6992265,12.068677,7.070088,13.010865
"72",6.00716941666667,7.17742377083331,6.56639116666668,8.87855187500003,2.70606306250005,36.1071662708333,-805.991460791673,266.097267333331,-0.0221843125,0.0552143749999998,0.0249417916666665,0.0233351458333342,-0.0222083333333334,-0.190048958333334,-0.176799062500001,-0.155551916666667,-0.143292333333335,-0.135232145833333,596.8209745,328.67945975,1002.474502,405.65351875,734.5282165,267.9462915,177.233755,27.6158085,63.09671575,123.41535325,7.337326,330.560375,263.2785275,9.936632,21.11956625,40.3526085,8.97389675,4.86940075,5.84642825,10.403755
"82",-1.149139875,7.06855304166669,3.66192949999999,20.7052241458333,4.43991958333328,18.2295555625,-693.865287458335,232.377617604172,-0.00264995833333334,-0.122439916666667,-0.0222029583333332,0.0935531041666664,0.129733791666666,0.0169762083333342,-0.0186311458333321,-0.0390525833333335,-0.0467356666666667,-0.053484520833333,550.2080915,303.22183375,920.8383015,370.630205,676.22741925,244.6108735,161.42026,25.8050055,57.3856085,119.8923985,6.594791,305.48470175,235.26467175,8.990868,21.217049,37.66722625,6.81535725,6.873426,4.6139345,9.729668
"63",34.6987872083333,7.54426725,3.52634052083334,-19.4751981875,8.47058495833335,52.2554202708333,-587.293071124994,228.052307874997,0.0304734375,-0.147482,-0.212361833333333,-0.255150520833333,-0.258471791666667,0.2577935,0.348378270833333,0.360823,0.357627020833332,0.353110708333334,702.85986025,378.75724175,916.002892,213.143011,597.5721905,318.43069175,208.1297975,29.236975,81.0639295,124.940582,4.686586,239.96053975,220.93461375,7.04986625,44.51637875,80.250213,17.817859,8.01890575,18.405608,18.09187375
"73",23.0411757083333,9.38048072916666,13.1459638333333,23.0187034583333,9.78682818749996,25.02796375,-566.411869833333,226.327806041663,-0.0330937291666667,0.0214277291666667,0.0197738958333336,-0.0811759999999997,-0.1366585625,-0.324899208333333,-0.330324812500001,-0.316734666666667,-0.302572020833333,-0.2910846875,706.89833925,368.45754825,886.6877385,179.789397,549.5593505,337.128391,223.8185325,31.4604595,81.84939825,123.0014725,4.23591075,220.8389025,195.1914705,6.29158975,33.917574,62.60171425,13.76274825,3.15003675,15.372672,15.39486625
"83",3.30573520833335,7.3767423125,8.05797900000002,31.1206274583333,11.0500185833333,20.8988189375,-487.091598020837,197.710841291671,0.00257829166666667,-0.0759369166666668,0.0246282083333331,0.185484708333333,0.183979750000001,-0.0252681666666668,-0.0881836041666659,-0.115503916666666,-0.126674729166666,-0.134354833333333,667.35846725,338.58794675,851.7766375,184.418179,526.917829,324.85880625,214.56495475,30.2321605,80.0616985,126.9361155,4.0415545,211.24990125,178.87139975,5.81886,32.96111075,62.44504675,14.340542,6.43648125,11.795838,14.72882825
"64",0.195947770833357,9.44438258333335,4.32901150000001,-5.48648804166669,5.135892625,144.4462670625,-1040.11388618749,320.925318791662,0.0712369375,-0.317881375,-0.0193721458333336,0.149227291666667,0.213015895833333,1.01915722916667,1.12597679166667,1.1136895625,1.07335670833333,1.03669127083333,683.77586975,385.9320765,1206.30343725,522.52756425,912.147539,294.155908,194.8932345,24.25124475,75.011428,139.64925325,6.106054,400.56942675,355.357048,10.465755,78.18009125,130.77106725,27.236468,18.1218575,34.69421525,25.3640265
"74",4.29594989583333,12.8319245625,14.8099591458333,19.0488923541667,6.37789524999999,54.43766375,-967.512167624998,316.920892270835,-0.0594341875,-0.919834166666667,-1.70506225,-0.89894475,-0.553419375000001,-0.845392562499999,-0.821372395833333,-0.773439770833333,-0.728961666666667,-0.692523541666667,669.8596915,378.84614625,1118.574295,448.714596,830.30709325,288.26718575,190.84173575,24.9969015,72.428532,132.14173775,5.34010175,374.30085575,309.279684,9.2447265,25.68282575,72.6574265,36.44207625,4.56232375,9.11020975,12.01030625
"84",-6.69280966666668,11.2410121041667,4.952432375,20.0112142083333,8.24412143750004,25.722290625,-842.332481791673,282.089091729169,-0.0093539375,0.2056738125,0.621587854166667,0.4827840625,0.326645750000001,0.230208687499999,0.124687812499999,0.0604457499999995,0.0296628749999996,0.00808712499999942,605.012556,346.17783525,1099.0757925,494.063237,841.08687575,257.98890325,169.766404,23.88378225,64.3387385,138.8195305,5.38809675,383.89028575,303.765515,9.223438,44.48953625,94.2480795,31.16633425,10.470567,16.15851725,17.8604565
"65",-3.37773660416667,17.6009884791667,6.26447018750002,-15.9662443333333,6.5671364166667,111.822402916667,-894.872721395848,279.500755770845,0.142502541666667,-0.275229166666667,0.0661591458333337,0.3961761875,0.577669333333334,1.3920084375,1.48000825,1.45657314583333,1.40429010416667,1.35605625,685.34622925,388.9910145,1060.19323725,374.84700925,766.53121775,293.66202275,190.6984775,34.215401,68.7481345,131.83211325,5.18694,339.5855625,278.28100075,11.64559275,155.43877275,189.75094625,5.8714715,54.06520475,71.84137775,29.532197
"75",0.118739062499998,23.6534903958333,8.66669468749998,12.3496330416667,8.27390856249997,37.7709683750001,-831.720812187486,273.432761687494,0.0364247291666667,-1.814964875,-2.14317070833333,-1.125079375,-0.824457312500001,-1.197058375,-1.17296804166667,-1.11408145833333,-1.05557602083333,-1.0056659375,669.1968945,380.5265465,1001.12587225,331.928975,715.050345,286.0755405,185.31998875,34.50241675,66.25314025,125.89525775,4.73485,323.06023625,250.712255,10.647723,76.62133825,105.39045075,11.85309425,36.666772,21.54532225,18.40924225
"85",-10.7446405416667,20.3629437708333,-1.33312093749998,14.563524625,9.96228233333335,19.0464343333333,-716.527858604168,239.616739104167,-0.104109541666667,0.423777520833333,0.6650855625,0.376167645833333,0.287400520833334,0.131407895833332,0.000951416666666205,-0.0800613333333331,-0.122055520833333,-0.152584687499999,572.9649415,329.98523175,946.69809975,373.73316025,702.822968,243.87514725,156.419813,32.3716065,55.083707,127.33340625,4.69226175,320.634592,239.84078725,10.3219245,99.38624275,129.98577875,8.914338,41.51668275,36.5193445,21.3502075
