"","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1"
"6",39.3206621666667,-0.0376786833333256,-8.28899203333333,-43.2685833833334,9.81903731666665,-66.2548750333333,-159.489975666671,66.8162630833394,0.02841905,0.183908633333333,0.593209333333333,0.372139333333333,-0.0414314166666667,-0.0291123666666682,-0.023388866666668,-0.0197368999999998,-0.0182610499999996,-0.0161264833333341,713.7232082,274.24447,808.4433862,94.7201848,371.418607,437.0247752,358.7405256,23.7312454,54.55302,106.3018562,3.9273928,178.5405184,73.4529464,9.1958736,30.692707,46.2124194,6.288393,16.023406,6.4943556,8.1749288
"7",19.6529879166666,-1.65576316666667,-10.1900130833333,-6.58389918333333,10.1688578166667,-35.6476639,-187.753763066663,66.0828541833325,-0.00237798333333333,0.107293916666667,0.0388221166666671,-0.0661734666666662,-0.180532933333334,-0.205104616666667,-0.179427333333333,-0.161579583333333,-0.151689533333334,-0.145213166666666,691.1193602,249.2027492,795.2242314,104.104872,349.8920346,445.3321968,369.6689264,23.8578054,51.8054566,102.9220964,3.9544256,160.3233418,73.471268,9.2208988,21.1129624,36.3458134,8.0962632,8.18702,5.7993704,7.1266078
"8",6.90145755000003,0.321965816666676,1.04407024999998,5.33530066666665,9.17119533333334,-12.8811693833333,-180.623630083341,58.7656897499983,-0.0104284166666667,0.0101685999999996,0.101221316666666,0.167584216666667,0.155621283333334,0.0780330666666664,0.0405451499999998,0.0210773999999994,0.010978016666666,0.00362711666666549,672.6550566,260.5478924,741.5338844,68.878825,330.0958758,411.4380076,334.494659,22.1180398,54.825305,100.0356948,3.8435228,147.3668384,70.0300766,8.8197096,23.744549,37.9487376,6.7390942,10.9757912,5.561523,7.2072478
"61",-6.56202286666667,4.03089573333334,-8.59395093333333,-16.6698089333333,10.1944469333334,-38.3940362,-227.870106083341,111.780155449989,0.00489795,-0.189831183333333,-0.2699368,-0.340748166666667,-0.404183883333333,-0.20855195,-0.159922466666667,-0.143257866666667,-0.134118783333333,-0.127206216666667,592.6672514,299.1762948,720.9913798,128.324121,426.0320932,294.959286,201.6122966,27.610442,65.7365346,120.9613612,3.8707182,192.8546206,100.5928444,7.7525354,19.1209898,30.218926,3.8837134,6.6947988,4.6625322,7.7636456
"71",-4.20400138333335,4.77999294999999,-2.72134196666667,1.67742225000001,10.5093048666666,-12.7583464166667,-228.099830749998,99.5682316500024,0.000923966666666665,-0.0140988333333333,-0.1696953,-0.160782,-0.194970233333334,-0.11228375,-0.0997363999999994,-0.1012372,-0.104299916666667,-0.107726533333333,548.1376756,270.9577772,654.9059508,106.7682802,373.3265212,281.5794376,190.7368456,27.1595418,63.6830448,108.282692,3.5041168,164.780826,89.80828,6.9506254,13.5020992,23.6189756,4.3055112,3.7457478,3.6723228,6.0840336
"81",-6.69820744999998,5.03613263333334,0.35967526666667,9.30480288333337,10.5818725333334,-1.18340698333333,-199.233291516663,83.3849670000054,-0.00822945,-0.0679974666666667,-0.16140155,-0.147674366666667,-0.1126843,-0.0286564833333331,-0.0205057833333333,-0.0254741166666665,-0.0294064333333335,-0.0330341499999998,495.545465,254.2176102,564.5902936,69.0448244,323.6380416,240.9522526,155.9454034,22.6473898,62.359452,96.7777796,3.0984166,140.827991,76.9542742,5.9795784,11.6390988,19.5006486,3.075735,3.70359,2.8008836,5.1345846
"62",11.35529995,4.76911841666666,4.19846164999998,-14.1441177,1.81785511666669,83.11429445,-812.308118333327,256.196289616666,0.0340494166666667,0.0124373,0.0141526000000001,-0.1832671,-0.379484533333334,0.163872483333334,0.242986616666668,0.243850716666666,0.235949383333333,0.2284399,609.0983778,335.3380634,1067.0979478,457.999561,796.2940022,270.8039598,176.3748206,27.9454228,66.483698,130.1385412,8.3843602,352.7416694,294.3753334,10.6540956,31.9257114,55.1758022,9.1521164,12.0018984,6.711385,13.2124752
"72",6.40857131666667,7.19391364999998,6.50531095000002,9.83655149999998,2.59772729999997,38.1511784833333,-803.777915933329,262.428868899995,-0.0234162333333333,0.0736735333333334,0.0686159499999999,0.0699770666666666,0.0175267999999997,-0.187057916666667,-0.174385033333333,-0.153268949999999,-0.140930450000001,-0.132758666666668,598.1168054,330.4480282,1002.5095522,404.3927404,734.9605738,267.5489786,175.8872968,27.8203096,63.8413606,122.2790422,7.3639796,332.137712,263.5249084,9.6549432,20.831327,40.7185152,9.4150286,4.680932,5.574531,10.5758868
"82",-0.801780166666674,7.11785515000003,3.83950594999999,21.3926147333333,4.36493281666668,19.3621174333333,-691.636132366664,229.097256533336,-0.00183696666666667,-0.118985533333333,-0.0133450000000002,0.105776566666667,0.141280950000001,0.0210281999999999,-0.0133228333333335,-0.0335472499999998,-0.041793049999999,-0.0488429999999997,553.7778622,305.9406044,922.530714,368.7528438,677.1620954,245.3686038,160.9452976,26.056967,58.3663394,118.9919508,6.615414,307.3459954,235.4738186,8.7349278,21.122264,38.102082,7.1409898,6.7995098,4.3962432,9.926494
"63",34.7671396333333,7.57848473333334,3.32452058333334,-15.55076035,8.74691906666669,46.8042106,-578.581032150003,225.445261716668,0.0291282,-0.174197383333333,-0.285295133333333,-0.3345831,-0.32527895,0.209477183333334,0.303340016666667,0.318142533333333,0.317406316666666,0.315062283333333,706.2031074,379.4889946,917.141806,210.9386876,596.266271,320.875532,209.9967694,29.6680934,81.2106762,123.8001914,4.5856616,240.888149,219.9908146,7.0014466,40.6134734,73.6296186,16.543837,7.410751,16.5550294,16.6477012
