"","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1"
"6",19.5474281225298,1.77810190277341,7.60557377998769,36.4815916468324,7.67615185769884,48.8395724426025,73.6489365164759,28.9911451096941,-0.00491792320179565,0.0163485387472184,0.0204266110371742,0.0472817158093157,0.0759422701375047,0.0260749400345373,0.0324260802077565,0.0334421007520671,0.03379551409834,0.034784579682413,31.589754033978,26.8845684452402,48.9217377146655,53.0162231293607,51.3374802846633,39.225012716648,43.481941074765,7.32197295501844,9.69838957751624,21.1906002888115,3.15187390951183,28.4374961828751,23.0814950019815,7.84484578323322,13.6896045484666,19.0772647952342,3.1071248496293,7.14065639195308,5.15407036410971,4.44088755080064
"7",13.0043156369347,1.66935214698195,3.77054798300279,6.12382772750129,7.36403860366704,7.41098205746795,70.7664269394048,30.5926208841135,-0.00326525139191168,0.0519430593867285,-0.00314121323274086,0.0270401127280036,0.0423538521364345,-0.0510670098325298,-0.041198802387763,-0.0326376231827293,-0.027743145730605,-0.0249059230370173,33.0841280106263,32.5532155661414,48.2953047732999,52.8808634595352,49.9467955480345,44.3110610046343,50.1171354054382,7.92297358463964,11.1913229528091,19.218400569009,2.89733452577712,25.7762843908272,23.0124905318597,7.85552240896872,9.60108098045769,14.8733534627128,3.81239877079346,4.37859466040452,4.35601202336523,3.56437031537756
"8",6.47408062850935,1.01051016135431,2.74388209590324,2.15578166327904,6.26766115594551,1.01587819356692,65.8597289814784,27.8017953990057,-0.00304619536128314,0.0504363335527325,0.0839469993161441,0.0461946881725941,0.0282504108888115,0.0352356140384061,0.0257282271166257,0.0214750278794904,0.0198132386796472,0.0190139014147673,37.0863888229803,20.8913471631277,49.9819018309929,54.1293356134261,49.6128724335151,42.4898986532218,45.4807898029323,6.40263450195517,10.4607873317843,18.608987004624,2.60583327146851,25.3625402210196,21.9207851334727,7.50689850557337,10.6941755714014,15.8879543227577,3.23935321960711,5.5192891883693,4.13466691332915,3.7967231791795
"61",11.1679754490269,1.49538100079278,7.87953303321302,46.6006147323508,11.2579051688438,50.6706492548795,109.69761420651,37.5558874350111,0.00102862531165073,-0.0958204666188273,0.0778998394030015,0.236393682658236,0.234404469139738,0.0190350531386775,0.0473287221452345,0.0584586773181497,0.0618408118472145,0.0635188604688121,42.2144126864216,18.368738971707,60.2077288599842,72.6618762536362,65.6672043726269,37.3571574764422,35.3928895619964,5.18872888998152,10.4346416676657,26.707078763173,4.57937799986255,31.79540104475,33.4496632131062,6.59544141652607,9.13013676630995,15.3642022526195,2.42969909668297,3.41514650844402,3.09857958864844,4.27099024126285
"71",4.76567461797514,1.93226904368316,3.73609247241517,11.8706200492619,9.57457770627974,10.3397981692753,96.0436555222352,33.8794312240213,-0.00151398557861782,-0.00743605340588782,-0.00547044952193332,0.0481425646993732,0.0817344778685243,-0.014595510929497,-0.0172666843099049,-0.00711148172746945,-0.00210294989576676,0.000772561101440639,42.7840479777606,19.5328395898525,56.4713111007903,65.5885162850794,58.8492768827893,39.9207626422968,36.6753994877332,5.40299776344976,13.1884134373396,20.9265795363182,3.63608832226269,29.2737469434322,29.6385901089191,5.73409084527344,5.93634747889574,11.1373633247699,2.57868367156078,1.60971526772267,2.37467501758376,3.08624487016449
"81",0.924330480936952,2.0973012804917,2.45806735958028,5.78719515350421,7.49128371713093,3.26052466419142,79.930923312256,29.7010134942419,-0.00483432913942752,-0.046640562957714,-0.0608312963042725,-0.0184524592258442,0.0372864336865224,0.0235469806848085,0.00806003712068515,0.0173638488384171,0.0215703378681915,0.0230326259246862,47.831440248042,24.6802049648895,55.4103277694258,65.244757012864,52.3302118436132,36.1487224683308,30.9805103414791,4.66985030727125,14.2991338806275,18.3467564435353,2.96576755638649,26.5105724409128,25.5184397508411,4.95041818196263,5.07888737574694,9.10202469005155,1.88075078108025,1.49639246109503,1.87154389107882,2.60343798570634
"62",11.6757286566763,4.73562817210517,8.19857688869934,38.4206496380556,14.0054902547222,109.215964699871,156.313501907057,56.4102151054055,0.0114218428974402,0.0660258660724298,0.272668645694078,0.355791456587378,0.279937006711096,0.124445401073116,0.138994454135751,0.135099573865906,0.130395813247769,0.126664881436308,68.7217828763637,50.4942716079573,82.4483931331116,108.950842111016,88.2897657872919,41.5387688531453,35.9988886901146,9.15278716396469,15.4405216842044,21.2967663953056,5.78914426717471,50.3863542075699,53.5007042010659,11.2987845590525,17.9741987674604,26.7652856444528,4.93518386103402,7.95440417981384,7.26710699395582,7.4108683198535
"72",6.61914891431043,6.51983505018218,4.07654102755665,12.0475527585505,12.0879098414849,34.9663897538277,143.176538766816,58.9800546030526,-0.00837944506540891,0.0876169786394125,0.0195432313762951,-0.020343799255405,-0.0218396930505442,-0.0321926239175767,-0.0397266746160858,-0.0335753528355243,-0.0281657355276743,-0.0250917826892734,72.0405366917198,40.2702859620069,77.4139419349251,100.423196779394,80.6012593982885,44.1847070768556,38.8758055050038,9.20519854142994,14.4926730351879,19.1291205419918,4.53476439126419,43.6195331965913,47.7414537553237,10.2031266962379,12.3675002053418,19.5788855257798,4.94656300374401,4.38615920121334,6.24151648216329,5.39782155000151
"82",3.77861365671064,4.15201702804507,2.97047227478902,9.57831451225854,9.32874223484975,14.115980458486,121.370741267197,53.0543899778548,-0.00736288002813203,-0.0946888554694321,0.0477068217194296,0.0665064212646622,0.0486944395417317,0.0368177358694166,0.0265040019074858,0.0230040236395659,0.0232590136401267,0.0233506321028967,75.6898921217963,41.0685890572207,75.978896494881,98.7939494346107,75.497451219473,43.8963205945819,37.4429533541856,8.30171016926,13.6049186861306,19.5849044300582,3.71494671612464,40.8055362059832,42.7195766841277,9.244553889684,11.8387084374122,18.3187151247803,3.8825356135861,5.04741841220725,5.10290281432887,5.2997259381196
"63",11.2890262607945,1.17516394989361,7.95658898044385,41.3790924895959,10.2303464881509,72.9940060661083,171.144712349846,64.4056912905539,0.0137623638137122,-0.18165434659357,-0.00114883962039691,0.0821670811549509,0.0408675107943426,0.12208491389216,0.128126587386773,0.113343346918719,0.100250728408379,0.0903494959375419,43.8409248826069,20.2561322653788,81.3067310866212,90.152234378157,84.023231608433,39.6222968113688,39.3347200789922,5.84046132330721,10.0911998685263,25.0487937339053,4.28596791811336,36.3655602423843,56.3988633807594,9.21504602627437,19.3439661507837,32.4035134798213,9.28233313556791,5.05526640224532,11.2464044578449,7.17784010890196
"73",5.79971087493784,1.02336251454963,4.41186165856057,9.80966443901275,8.86472598940889,26.2682619819275,152.048289431876,66.2280539003603,-0.0207041910451428,-0.0309945832230614,0.0295412355536804,-0.016656799317279,-0.02285173251632,-0.108708617324982,-0.0940256119882075,-0.0710084606629575,-0.0518408316441992,-0.038029080756945,49.2943843267504,23.8744392997207,77.0382767222658,88.9665082183258,79.8715015836352,44.7442111566272,43.4104764582646,6.41749470660721,11.4640733424044,22.0659015442299,3.37237084165367,34.0835836759095,49.8254613315072,8.10310329685161,13.3120534392112,22.4807149522405,6.66927804003441,2.03518114043969,9.37799243223723,5.23339345126858
"83",1.34473410895454,0.78301303050729,2.87054363640442,9.54495751421047,7.0777975712711,9.73297664842073,128.922862423988,59.3467023626845,0.00589972544106265,-0.0221715307903334,0.0528476551199404,0.0836931769768399,0.0691780446734158,0.0730528372863883,0.0619002925318557,0.0533724605407009,0.0523133068926684,0.0521288059347944,51.4837709693011,24.7805753023633,79.4983738222761,90.9688135071577,77.89748807537,45.8445977626435,43.51681527088,6.10323582843944,12.4597307531568,23.0814611411671,2.971058597349,34.5434672055782,46.1814293739179,7.57215162808778,13.377297741199,23.7482901446207,7.58103449040004,4.03334645715363,7.32158972014121,5.60344481041656
"64",7.00055666177485,2.36694079339605,7.91569404128492,35.4729299994416,10.5915392320375,104.514953732817,193.692685132488,66.6160729370687,0.0267019282452311,-0.205176381378044,-0.0438763625705347,0.0976480811504323,0.0773820963772891,0.221249697419023,0.230836556423001,0.210488806409936,0.188324707232001,0.172028117720062,52.3461657950514,32.482271842896,110.387690741938,124.147869035494,114.284758570793,31.885532329509,28.7160239881847,5.63583804833177,10.8405238638376,25.4898183812838,4.22606294726402,62.2866600738367,65.2577695719747,9.35160104075404,33.9043018326344,47.7974558978125,15.2378560513998,12.819331686019,19.3654795285273,11.6261486991982
"74",4.03589380257012,4.92033424126489,3.96079163938575,10.2406575067534,9.05417266669884,40.1139386056065,164.733601625422,68.3001058099708,0.0215356698048194,-0.643239881955162,-0.33037735389692,-0.202353421305086,-0.147819419447783,-0.195853008827958,-0.186344160531889,-0.160938127042882,-0.138445991088827,-0.122013062516396,58.7261536667757,36.7807675177067,103.030601832199,116.760641318835,105.074327333315,35.0411703105871,30.1081442183906,7.24528022736591,13.6938471721143,23.1952735613357,3.31693794394418,57.4833743007507,57.7435177061637,8.25000921454568,18.8496892632694,28.1179965171464,19.9927174953998,10.0325364651996,8.22177376989555,6.69014951212709
"84",2.0355582130428,5.09788491310545,3.36287814828672,9.43678218604845,7.45757759232789,16.9247287878918,140.404429468674,63.8534353730288,0.0127756517634375,0.268408854279901,0.365585188698024,0.143362905086159,0.112001422853148,0.131492217570877,0.106701157850692,0.0926623696185573,0.0888073559547291,0.0876237635654225,63.0055132610023,42.4314735778487,111.25631234837,125.722167008939,112.719510958825,35.1176884547566,29.3728381739475,7.61416023434595,13.7670696334821,26.5456446981987,3.07050262313487,62.324879806925,56.8172415380189,8.25822004464721,26.4266196276459,36.1903640291172,17.387327300937,13.1766556357392,12.6892383322619,9.26537515494833
"65",4.77408835002963,16.6758371719963,7.52700134757218,38.6101402831167,9.31585623158229,90.838155686897,217.438998393994,72.7031834927194,0.0645253247694482,-0.0927797801210264,0.0304422622971385,0.1331693835887,0.100044977568336,0.169901024485724,0.172841888555407,0.155083366354947,0.135977558816827,0.123908039517328,56.7232106906672,41.1731281797785,107.96843183466,119.396756068698,108.905890282239,31.997692275929,28.3552106392665,15.4914158197916,22.6405534196765,27.3658225899173,3.3838608524715,54.7951644509885,66.4874721537857,10.3328535873288,35.5678902103243,42.6185253533935,4.72281901384138,16.085662884083,22.1620562761331,13.0627223248643
