"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.3337,0,14.02824125,13.6945685,13.8082855,0.22,0.1652,0.0068,0.048,3.6669335,0.2794885,6.20348025,3.3510495,0.30733525,143.4662,68.888,173.2539,283.7015,254.8439,455.7938,82129.0547,72473.4141,0.38005375,0.8138,0.149743,0.1261865,0.12167025,0.13220125,0.00900425,1.864137,4.05491225,6.03534325,7.19309025,7.7279245,7.83163975,7.8921,7.95591975,8.0215
"2",3.2918,0.0027,13.75919225,10.46744325,13.716999,0.0422,0.031,0.0015,0.0097,3.748997,0.2765705,6.09766,3.291844,0.30192575,132.5651,67.1029,166.2512,293.1977,255.7218,456.1311,82123.4297,72473.4141,0.4399475,0.8093,0.109893,0.1802095,0.12410875,0.135633,0.00993725,1.89623325,4.11615775,6.0225805,7.2775605,7.846408,7.94369075,7.9981,8.0561,8.1159
"3",8.2374,0,13.88409175,5.64672475,13.82507475,0.059,0.0434,0.002,0.0137,3.86687725,0.27779375,6.09290775,3.286078,0.3014165,122.4912,65.3776,159.5826,301.3109,256.5509,456.6155,82117.8047,72473.4141,0.4505595,0.7612,0.14797825,0.1097915,0.20379975,0.13696675,0.00660525,1.944776,4.18412475,5.9619245,7.28983375,7.909796,8.013863,8.06996175,8.1276,8.1864
"4",24.8494,0.943,19.56348525,-5.285962,15.77943275,3.7841,2.9101,0.1775,0.6965,4.534575,0.31880625,6.8804705,3.70564875,0.33992625,113.6471,63.7672,153.4684,306.7165,257.2507,457.3799,82110.7891,72474.7578,0.7323445,1.1459,0.045741,0.46151225,0.08554625,0.185286,0.055009,1.722946,4.06943,5.762177,7.2416125,8.00789825,8.129857,8.192152,8.2533,8.315
"5",60.5984,50.2522,62.9516485,2.35327,35.1546735,27.797,21.5434,1.7668,4.4868,10.2619475,0.72480225,15.237537,8.17985275,0.75053625,144.9837,63.9201,154.4441,299.2496,256.9822,459.3004,82090.3438,72482.9219,1.8046155,2.6346,0.37557775,0.5087765,0.62483075,0.6710095,0.024475,1.069646,3.47974525,4.7789435,6.398691,8.1328435,8.39717775,8.5296245,8.63070025,8.7094
"6",99.9487,50.5757,102.68250425,2.733839,53.586281,49.0962,37.2794,3.4421,8.3747,15.16403075,1.1135465,23.56330825,12.589686,1.155712,163.5444,66.1357,163.5729,282.8331,255.7926,461.2736,82057.9297,72497.9219,2.6844785,4.6362,0.58480775,0.8811245,0.88246625,0.92088725,0.161347,1.45276425,3.66978325,4.7363135,6.23200575,8.28807125,8.653344,8.8410785,8.9912,9.1105
"7",138.7103,59.8396,150.38282975,11.67254625,83.2781685,67.1047,49.3684,5.1411,12.5953,22.1464035,1.7652195,37.54382275,19.9866515,1.83606925,179.8845,70.3186,180.3733,250.1267,253.0434,461.6908,82005.9453,72512.9297,6.35067525,9.7558,0.63338525,3.10561425,1.70733925,1.5377195,0.2749775,2.36664375,4.98822175,5.772101,6.76911125,8.98890275,9.35532025,9.54019875,9.6975,9.8293
"8",137.9487,54.7826,149.74392875,11.795208,78.91547775,70.8285,53.6577,5.3968,11.7739,19.0369925,1.68373525,36.76727125,19.62327825,1.80419775,192.5115,73.8897,194.4886,226.7104,250.5738,458.639,81954.75,72527.3125,7.23491125,9.6383,0.54974175,3.10624675,2.39809875,1.73056975,0.01545775,1.86300975,4.8728815,5.645246,6.61230575,9.06541375,9.44063775,9.6196,9.7787,9.9185
"9",90.0078,26.5496,111.64577575,21.63805175,48.7313935,62.9144,50.2041,4.5606,8.1496,11.0577765,1.03105275,23.09696125,12.40435125,1.1412505,190.5121,74.8206,197.9427,224.0409,249.674,455.8139,81923.7031,72539.4219,2.81032625,3.5616,0.98639525,0.212466,1.587132,1.01073125,0.0107115,0.53363275,3.5842535,4.4854195,5.721708,8.178281,8.58489825,8.78249525,8.9596,9.1172
"10",50.0037,15.7491,81.4255715,31.42184,31.7270715,49.6985,40.7515,3.1776,5.7694,7.21882675,0.6637835,15.00330225,8.0959625,0.74519475,183.4783,74.6245,196.8727,230.1489,249.668,454.0988,81903.0547,72546.7031,1.49664175,2.1032,0.67758325,0.188183,0.66227075,0.64618575,0.0060615,0.67875375,3.28113425,4.234996,5.5525035,7.6006675,7.98399075,8.1721,8.34,8.488
"11",10.2183,0.0239,40.733218,30.51487075,16.98102425,23.7522,19.6579,0.9506,3.1437,3.917939,0.34663225,7.99335075,4.32490575,0.39819275,169.5467,72.8744,189.6659,242.5901,250.3629,453.2855,81894.6797,72549.3672,0.906836,1.0385,0.15629075,0.0487735,0.51004225,0.3480215,0.0035315,0.9673815,3.75458825,5.03471475,6.17552275,7.32289875,7.59273225,7.7308,7.8638,7.9902
"12",2.2429,0,26.60044475,24.3575295,15.50697725,11.0935,8.4619,0.3322,2.2994,3.776841,0.31614125,7.1712885,3.88498725,0.35772675,154.6123,70.8309,181.3755,257.4136,251.3714,452.898,81888.1172,72549.3672,0.41341625,0.8888,0.1542565,0.07083425,0.192827,0.14975175,0.00517375,1.779993,4.2372205,5.997323,6.92571025,7.45848475,7.594635,7.672,7.7557,7.8424
"13",1.6746,0,13.24978925,11.57523275,12.33868775,0.9111,0.6828,0.0282,0.2002,3.14891075,0.25121175,5.61518075,3.043151,0.2802295,142.8629,69.1482,174.6504,268.9212,252.2258,452.8394,81881.9375,72549.3672,0.26700525,0.6325,0.10996975,0.04942,0.08552275,0.13206,0.004097,1.8127635,4.14688075,6.19559325,7.1704455,7.631517,7.71891725,7.7699745,7.8295,7.8942
"14",3.1898,0,12.640906,9.45111725,12.6363715,0.0045,0.0034,1e-04,0.001,3.3383025,0.25659425,5.6801605,3.07787325,0.283449,132.0065,67.45,167.9576,279.0844,253.0813,452.9716,81876.3125,72549.3672,0.25154575,0.6045,0.08803025,0.0458325,0.07316575,0.13254075,0.00470975,1.82221475,4.13946375,6.2303615,7.28712125,7.77835225,7.85479475,7.89655775,7.9462,8.001
"15",24.7385,1.1255,16.9388845,-7.79959725,13.47096875,3.4679,2.633,0.1655,0.6694,3.66287725,0.2731215,5.99145025,3.2446805,0.29882275,122.5208,65.8049,161.5791,287.6853,253.9382,453.3,81870.6875,72549.3672,0.43904525,0.8455,0.048173,0.27745775,0.02592375,0.1356665,0.03008775,1.85260475,4.1353655,6.21283075,7.37299775,7.912081,7.992725,8.0342,8.08312525,8.1377
"16",31.1108,41.2914,27.87739625,-3.23341,14.967641,12.9097,10.6391,0.5319,1.7388,4.189347,0.3044095,6.58395275,3.5618635,0.328068,151.9652,64.3108,155.8912,295.3904,254.6866,453.8696,81864.0156,72550.375,0.7865875,1.0844,0.03342575,0.463133,0.156954,0.16650225,0.051311,1.832972,4.19234975,6.11154575,7.363237,8.01600525,8.11429525,8.1626065,8.2154,8.2729
"17",79.7752,30.8762,76.99481,-2.78038025,36.2492075,40.7456,31.9887,2.6517,6.1052,10.4284505,0.7536805,15.7744605,8.5087295,0.7838885,157.2386,65.2719,160.0332,290.0726,254.3706,455.6953,81842.2188,72558.4297,2.00893175,2.9442,0.29310325,0.7568885,0.48591225,0.766131,0.1081805,0.988925,3.348472,4.715568,6.37126625,8.178874,8.433005,8.55399,8.6471,8.7218
"18",120.9769,47.6769,117.3936795,-3.5832945,57.714505,59.6792,44.8627,4.4841,10.3324,16.04463975,1.207017,25.50559275,13.694936,1.262324,168.2738,68.2746,172.2134,271.6175,252.9806,457.5175,81807.5,72573.3438,4.12540075,5.9888,0.44901075,1.873218,1.18475575,1.0674285,0.14091275,1.6217715,3.811443,4.82618675,6.29034975,8.42549175,8.7891465,8.97080375,9.11659125,9.2334
"19",147.8298,61.6121,154.58111375,6.751393,80.090294,74.4908,55.4908,5.9241,13.0759,20.8331315,1.69974575,36.31588625,19.447671,1.79385775,185.1273,72.5784,189.368,243.617,250.5026,457.3663,81757.5234,72587.4062,4.9508605,8.4897,1.124127,1.85064175,1.656573,1.44364475,0.122056,2.091672,4.73529125,5.533161,6.602723,8.911727,9.287879,9.473404,9.6318,9.7658
"20",134.6144,51.4928,146.2153785,11.600901,70.5060575,75.7093,58.114,5.9306,11.6647,16.876404,1.4985045,32.8577475,17.64460225,1.6287975,195.7704,75.7692,201.842,227.3366,248.6335,454.7384,81712.7734,72601.4141,4.50310425,6.9864,1.263674,0.93229475,2.1583895,1.41241825,0.01294375,1.5265565,4.345658,5.159461,6.271077,8.73367625,9.12762825,9.31639175,9.4827,9.629
