"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.3344,0,14.05148,13.7170586,13.8300936,0.2214,0.1655,0.008,0.0479,3.6744574,0.2851658,6.2120788,3.351071,0.3073186,143.8878,81.7272,173.1028,284.2967,260.0237,456.4522,82135.0781,72474.4219,0.3806896,0.8151,0.1498072,0.1262316,0.122474,0.1319848,0.0089946,1.862751,4.0468334,6.0249068,7.1910542,7.7282922,7.8323608,7.8928642,7.9567,8.0223
"2",3.2988,0.0028,13.7820264,10.4832126,13.7388152,0.0432,0.0316,0.0017,0.0099,3.7566222,0.2821704,6.1061668,3.2919426,0.3019136,132.9548,79.9316,166.1065,293.8009,260.8979,456.7845,82129.4531,72474.4219,0.4399164,0.8105,0.1100622,0.1803736,0.1240374,0.1355016,0.009963,1.8974546,4.1110822,6.0117042,7.2754428,7.846742,7.9443312,7.9988,8.0568,8.1166
"3",8.2547,0,13.9029168,5.6481792,13.8466296,0.0563,0.0411,0.0023,0.0129,3.8745152,0.283391,6.1012108,3.2861104,0.3014032,122.8513,78.189,159.4439,301.9212,261.7264,457.2638,82123.8281,72474.4219,0.4510984,0.7623,0.1480478,0.1098562,0.204351,0.1368944,0.0066056,1.9420486,4.180757,5.9496556,7.2873388,7.9100802,8.014447,8.0705868,8.1282,8.187
"4",24.9035,0.9017,19.436921,-5.4665232,15.8055986,3.6313,2.7622,0.193,0.6761,4.5438768,0.3252412,6.8904806,3.7060546,0.3399438,113.9593,76.5506,153.3192,307.3299,262.4306,458.0289,82116.8125,72475.7656,0.7343764,1.1477,0.0456562,0.4618106,0.086079,0.1864852,0.0551422,1.7117636,4.0624268,5.7514176,7.2373194,8.00822,8.1305076,8.1928436,8.254,8.3157
"5",60.7627,50.5829,62.9337006,2.1709652,35.2140846,27.7196,21.4176,1.8221,4.48,10.2831734,0.7394288,15.2599706,8.1809228,0.7505914,145.6997,76.6554,154.216,299.8555,262.1493,459.9482,82096.3672,72483.9375,1.8088346,2.6387,0.3766074,0.508543,0.6262308,0.6740614,0.0244968,1.065793,3.4610594,4.7592904,6.3903504,8.1331766,8.3984252,8.5309394,8.6320888,8.7107
"6",100.3239,50.7577,103.0666282,2.7427272,53.6728626,49.3938,37.5319,3.4711,8.3907,15.1950258,1.1358934,23.5959076,12.5903338,1.155702,164.4124,78.8443,163.3236,283.4279,260.9251,461.9195,82063.9609,72498.9375,2.6863298,4.6434,0.5858834,0.882102,0.8822032,0.922024,0.1615408,1.4540386,3.6632992,4.7266714,6.2282056,8.28957,8.65551,8.8432742,8.9933202,9.1126
"7",139.1656,59.862,150.9131912,11.747611,83.4147614,67.4985,49.6986,5.1854,12.6144,22.1936452,1.8005702,37.596269,19.9881772,1.836098,180.6972,83.0227,180.1427,250.6656,258.0962,462.3305,82011.9844,72513.9453,6.3587928,9.7717,0.6338628,3.1097178,1.7080026,1.5410704,0.2753516,2.3637044,4.9850454,5.7685386,6.768238,8.9924586,9.3592662,9.5440004,9.7012,9.833
"8",138.3227,54.7979,150.267546,11.944814,79.0426162,71.2249,53.9863,5.4441,11.7946,19.078225,1.717236,36.8180916,19.6248236,1.8042338,193.2699,86.6046,194.2733,227.2005,255.5359,459.2667,81960.8516,72528.3438,7.2481576,9.6538,0.550372,3.1107036,2.4034668,1.733987,0.0155136,1.8615536,4.8708136,5.6432778,6.612115,9.0696852,9.445196,9.624,9.782951,9.9226
"9",90.2255,26.5527,112.0539774,21.8284232,48.8086844,63.2454,50.471,4.6043,8.17,11.081801,1.0514056,23.1287466,12.4054468,1.1412794,191.2142,87.5525,197.7367,224.523,254.5753,456.4317,81929.8203,72540.4688,2.8150704,3.5673,0.9882378,0.213598,1.5891576,1.0123128,0.0106554,0.5323262,3.5811524,4.4826686,5.720876,8.1813564,8.5883082,8.7858,8.9628904,9.1204
"10",50.1208,15.7449,81.7078738,31.5871018,31.772917,49.9349,40.906,3.206,5.823,7.2335002,0.6766832,15.021934,8.0956772,0.7451258,184.1249,87.3742,196.6727,230.6384,254.5237,454.7111,81909.1875,72547.7656,1.4981604,2.1063,0.6768622,0.1876064,0.66409,0.6464652,0.0061572,0.6797596,3.2770728,4.2325608,5.5517134,7.6026606,7.9863,8.1744,8.3422,8.4902
