"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.385,0,14.3636448,13.9786842,14.1788816,0.1848,0.1377,0.0139,0.0331,3.8738076,0.3090404,6.3427616,3.3463712,0.306901,113.5701,210.8233,175.8664,299.9287,282.2836,466.7962,82147.0547,72488.3984,12.2895,2.1165,7.4309,8.9433,0.7135,10.9826,11.5886,0.5797,0.3894792,0.8342,0.1520272,0.1268994,0.1320756,0.1305072,0.0089896,1.855994,3.9822442,5.9268452,7.1710592,7.734986,7.843747,7.9052,7.9693,8.0349
"2",3.593,0.0024,14.1352632,10.542218,14.0905374,0.0447,0.0323,0.0042,0.0083,3.9550836,0.3060818,6.2385466,3.2891508,0.3016728,102.4817,208.737,168.7632,309.2768,283.3503,467.1667,82141.4297,72488.3984,11.0896,2.0876,7.1032,9.152,0.7083,10.8267,11.4163,0.5711,0.4453496,0.8292,0.1128914,0.1801572,0.1304148,0.1347776,0.0102048,1.8995206,4.064167,5.897461,7.25408,7.8531116,7.9543756,8.0096,8.0679,8.1278
"3",8.9796,0,14.2827256,5.3031328,14.2151222,0.0676,0.0482,0.0061,0.0133,4.075059,0.3079762,6.242583,3.2879218,0.301583,92.4749,206.683,161.9885,316.9937,284.3887,467.6812,82135.8047,72488.3984,10.0068,2.0541,6.7746,9.3718,0.7083,10.7676,11.3424,0.5675,0.4584324,0.7835,0.1506124,0.1126674,0.209158,0.1366004,0.0068082,1.9518902,4.1466546,5.8758066,7.2706172,7.9168838,8.0245506,8.0812796,8.1392,8.1982
"4",24.5753,0.403,18.3662444,-6.2090678,16.2222332,2.144,1.5015,0.2939,0.3486,4.7665468,0.353755,7.0524924,3.7091902,0.3402472,83.6412,204.8225,155.3991,321.7211,285.3098,468.4731,82128.7891,72489.7422,9.0352,2.062,6.5894,11.2042,0.8315,12.4316,13.0765,0.6543,0.76127,1.1786,0.0464778,0.4721658,0.0925612,0.1965392,0.055352,1.650886,4.0278104,5.6906718,7.212729,8.0165928,8.1416648,8.2045336,8.2659,8.3278
"5",57.2533,51.7055,61.2794272,4.0260824,36.1946286,25.0848,18.4115,4.0706,2.6027,10.777701,0.8064678,15.6522262,8.2053654,0.7528688,118.1846,207.302,151.9339,313.1025,285.1856,470.4281,82108.4375,72498.125,9.7953,2.0504,6.3011,25.0209,1.8722,27.2512,28.572,1.43,1.9022662,2.735,0.379629,0.5308392,0.632063,0.7393682,0.0272274,0.9325204,3.2198346,4.4704426,6.230904,8.1460946,8.421096,8.5540606,8.6553,8.7342
"6",96.8623,53.3086,103.790835,6.9285768,55.2112206,48.5796,35.4403,4.3209,8.8185,15.9316174,1.2412214,24.2330252,12.6446162,1.1607444,137.8755,209.2431,161.5119,295.9782,284.0089,472.3981,82076.0234,72513.2422,13.6508,2.0527,6.3958,37.476,2.9204,42.7659,44.6289,2.2346,2.8087364,4.8275,0.6033868,0.9253778,0.9036856,0.9796756,0.1615208,1.3205758,3.4221772,4.4478722,6.0843528,8.3143462,8.6950222,8.8829386,9.0326,9.1516
"7",135.511,65.4651,149.0108286,13.4999158,85.4862288,63.5246,44.1828,5.6092,13.7325,23.2086752,1.9617448,38.4725394,20.005497,1.8377772,155.4942,213.6688,180.581,262.2135,281.0535,472.7108,82024.3984,72528.4141,15.114,2.1208,7.1167,56.3109,4.7605,70.0194,72.8196,3.6488,6.5467544,10.0966,0.6073594,3.2315832,1.686209,1.6289626,0.2763672,2.213263,4.8103732,5.5832368,6.6829916,9.0441562,9.4232278,9.6069014,9.7625,9.8932
"8",134.7627,58.7488,145.5013454,10.7386302,80.9159776,64.5853,46.7896,5.4205,12.3753,19.9836808,1.86992,37.6336674,19.624437,1.8042794,168.1773,217.3815,196.2349,238.466,278.3438,469.4693,81973.7344,72542.8516,16.6913,2.1621,7.8451,48.6119,4.5473,68.6311,71.5746,3.5894,7.4647732,9.9564,0.5214974,3.231947,2.4287716,1.8040536,0.0181938,1.8134162,4.77379,5.5432758,6.5693886,9.1316398,9.517245,9.6944006,9.8510362,9.9891
"9",88.5699,28.207,107.4289728,18.8589966,50.4099206,57.0191,45.5206,4.316,7.1825,11.7457104,1.1552066,23.8436686,12.5140182,1.1513182,164.975,218.2666,200.1812,236.3325,277.3259,466.4869,81942.875,72555.2656,17.3058,1.9354,7.3364,27.0661,2.6619,41.1977,43.2435,2.1701,3.0492138,3.7784,0.8458168,0.146693,1.8228278,1.0796904,0.0065588,0.7272008,3.5778408,4.445903,5.7113582,8.2424474,8.656855,8.853,9.0279,9.1836
"10",50.6069,16.632,78.3733892,27.7664938,33.0817154,45.2917,36.7668,3.3838,5.141,7.7455482,0.7490704,15.601334,8.2283832,0.7573754,156.591,217.9309,199.2066,243.2404,277.3108,464.6909,81922.2891,72562.9844,16.7,1.9986,7.6274,17.7194,1.7136,26.7688,28.2368,1.4177,1.7234042,2.2843,0.587708,0.1601562,0.8417522,0.7214928,0.0082894,0.6552294,3.2180002,4.14503,5.5100612,7.6557934,8.0474662,8.2351168,8.4018,8.5488
