"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.3984,0,14.61746,14.21908,14.42372,0.1938,0.1423,0.0176,0.0339,4.0443,0.28556,6.44354,3.34372,0.30662,119.118,271.8656,182.7206,313.4076,261.1053,474.6516,82156.3906,72491.0312,12.8899,2.0259,7.7168,9.341,0.6596,11.162,11.5845,0.5795,0.1814,5.3189,0.39242,0.8483,0.15258,0.12694,0.13756,0.12792,0.0088,1.82266,3.86746,5.7167,7.12738,7.73714,7.85138,7.9136,7.978,8.0437
"2",3.7128,0.0024,14.38724,10.67444,14.34094,0.0463,0.0328,0.0052,0.0083,4.1299,0.28294,6.3393,3.28728,0.3015,107.4879,269.8656,175.3434,323.1595,262.15,475.0453,82150.7656,72491.0312,11.6313,2.0036,7.3773,9.5595,0.6549,11.0049,11.4133,0.5709,0.1801,5.4378,0.4493,0.8431,0.11406,0.17946,0.1373,0.13256,0.01028,1.88974,3.97678,5.70446,7.20798,7.85454,7.96122,8.0173,8.0757,8.1357
"3",9.2777,0,14.5421,5.26446,14.46768,0.0744,0.0521,0.0081,0.0143,4.25402,0.28474,6.34228,3.2853,0.30134,96.9923,267.89,168.3086,331.2023,263.1743,475.5886,82145.1406,72491.0312,10.4956,1.9761,7.0349,9.7866,0.655,10.9432,11.3373,0.5672,0.1801,5.5628,0.46498,0.7971,0.1519,0.11336,0.21654,0.1351,0.00706,1.9469,4.08412,5.76384,7.23838,7.91858,8.0311,8.0885,8.1467,8.2058
"4",25.4256,0.3336,18.46276,-6.96282,16.52846,1.9343,1.3163,0.2933,0.3247,4.97984,0.32738,7.1716,3.70942,0.34024,87.6828,266.0647,161.4633,336.1249,264.093,476.4303,82138.125,72492.375,9.4763,1.9894,6.8451,11.704,0.7694,12.6399,13.0756,0.6542,0.2116,6.6488,0.77486,1.2003,0.04728,0.47846,0.09436,0.20202,0.05546,1.60868,3.97334,5.61618,7.1849,8.0204,8.14922,8.2127,8.2744,8.3364
"5",59.2807,54.5603,61.56918,2.28844,36.90418,24.665,17.6489,4.1391,2.8769,11.26584,0.74696,15.92756,8.21048,0.75326,124.8787,268.1343,157.9363,327.1371,264.0414,478.4985,82117.9297,72500.9141,10.2984,1.9761,6.5479,26.1362,1.7329,27.7115,28.5702,1.4297,0.4765,14.8515,1.94878,2.7842,0.38528,0.53436,0.63664,0.7778,0.02794,0.85382,3.03606,4.2723,6.11998,8.15382,8.43624,8.56968,8.67108,8.7501
"6",100.2901,55.7793,106.80588,6.5158,56.26864,50.5373,36.2536,4.9516,9.3321,16.65252,1.14958,24.65674,12.64878,1.16106,145.6792,270.2694,167.7249,309.3606,263.0153,480.6008,82085.7891,72516.0312,14.4398,1.9726,6.6426,39.1576,2.7038,43.4977,44.6274,2.2344,0.7436,22.2802,2.87266,4.9158,0.61096,0.92566,0.92692,1.02004,0.16026,1.213,3.21246,4.2219,5.96076,8.32894,8.72102,8.9092,9.0586,9.1774
"7",139.9502,68.082,152.81402,12.86388,87.11594,65.6981,44.8597,6.2602,14.5782,24.2748,1.8179,39.16574,20.01866,1.83882,163.7713,275.046,187.5639,274.1435,260.3315,481.0033,82034.5625,72531.2969,15.9489,2.0334,7.3936,58.8669,4.4091,71.2438,72.8294,3.649,1.2125,33.5893,6.61842,10.2841,0.61086,3.24206,1.66336,1.713,0.27434,2.0536,4.61102,5.37418,6.57624,9.07776,9.4685,9.6516,9.806,9.9359
"8",138.7284,61.5095,148.73198,10.00358,82.39478,66.3373,47.1707,6.0785,13.0881,20.90516,1.73314,38.3139,19.63726,1.8053,176.9583,279.129,204.016,249.3432,257.8752,477.6884,81984.2969,72545.7812,17.5679,2.0668,8.152,50.8278,4.2126,69.8366,71.5855,3.5896,1.1585,29.1138,7.50384,10.1357,0.5221,3.23656,2.37902,1.88824,0.01848,1.67906,4.58634,5.34456,6.46174,9.1703,9.56842,9.74472,9.8998,10.0366
"9",91.0919,29.4975,109.10202,18.0101,51.2935,57.8085,45.1471,4.9552,7.7062,12.28554,1.07064,24.26666,12.519,1.15168,173.5015,280.2308,208.1831,247.1459,256.9789,474.616,81953.7812,72558.3281,18.2057,1.848,7.6321,28.3125,2.4673,41.9327,43.2648,2.171,0.6785,16.2503,3.13046,3.8481,0.83804,0.13064,1.8802,1.11962,0.00632,0.6863,3.4218,4.26452,5.60452,8.26722,8.6952,8.8914,9.0652,9.22
"10",52.0709,17.3277,79.61594,27.54502,33.65676,45.9592,36.4313,3.9336,5.5943,8.1009,0.69422,15.87408,8.23014,0.75748,164.6069,280.0538,207.179,254.3895,257.0133,472.7673,81933.3281,72566.1875,17.5585,1.9088,7.9353,18.5364,1.5884,27.2426,28.2487,1.4181,0.4368,10.6318,1.76706,2.326,0.5792,0.1577,0.86216,0.74722,0.00794,0.606,3.06978,3.9702,5.41374,7.66936,8.074,8.2625,8.4287,8.5752
