"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4727,0,14.41638875,13.94372675,14.1455985,0.2708,0.2178,0.0128,0.0402,3.86970875,0.28847275,6.3382355,3.342432,0.30675175,154.776,164.2445,179.9394,300.1427,263.655,466.7827,82108.6719,72504.6484,12.7291,1.9125,7.5959,8.932,0.6659,10.9726,11.5727,0.5793,0.38943625,0.8306,0.1521005,0.12564875,0.13263625,0.13114575,0.0089165,1.8624045,4.0046185,5.95806875,7.17729875,7.7349055,7.84316975,7.90455275,7.9686,8.0343
"2",4.4378,0.0033,14.1535285,9.71576425,14.070682,0.0828,0.0654,0.0043,0.0131,3.961283,0.28573675,6.2357545,3.286288,0.30161875,143.0157,162.3609,172.6776,310.2885,264.596,467.142,82103.0469,72504.6484,11.7618,1.8838,7.263,9.164,0.661,10.819,11.4034,0.5709,0.4421965,0.8261,0.11397575,0.17704625,0.12997375,0.135177,0.01006825,1.90310875,4.08743575,5.93660925,7.2622075,7.8530145,7.953616,8.0088,8.067,8.1269
"3",11.2603,0,14.43878125,3.178486,14.24191075,0.1969,0.1551,0.0107,0.031,4.1028525,0.28816425,6.2553395,3.29327475,0.3022795,132.1477,160.5043,165.7308,318.9479,265.5104,467.6589,82097.4219,72504.6484,10.8681,1.8559,6.9467,9.4367,0.6628,10.7908,11.3621,0.5689,0.45822125,0.7869,0.1510015,0.114331,0.20687875,0.13701025,0.007184,1.9573325,4.159347,5.90292775,7.27890425,7.91817625,8.025101,8.08177475,8.1397,8.1987
"4",31.5927,1.1591,21.89576925,-9.6969395,16.24573875,5.65,4.5109,0.3702,0.769,4.80736475,0.3304615,7.05730175,3.71005125,0.34056225,122.6755,158.7632,159.4419,324.7341,266.3126,468.4831,82090.4062,72505.9922,10.0516,1.8576,6.752,11.3018,0.7769,12.4417,13.0813,0.655,0.76617675,1.1825,0.04645975,0.47548075,0.09390025,0.196795,0.055626,1.65751675,4.0397605,5.70942175,7.219012,8.018177,8.14269225,8.205521,8.2669,8.3288
"5",72.0956,57.708,70.69806725,-1.3976045,36.353278,34.3448,26.8665,2.4954,4.9829,10.9258765,0.7546235,15.69499675,8.2227905,0.75499125,159.414,158.9814,161.0731,316.8997,266.1229,470.5529,82070,72514.4062,10.6866,1.838,6.5937,25.3968,1.754,27.3602,28.6688,1.4358,1.9436435,2.7983,0.381495,0.57412025,0.62372225,0.7458065,0.03385125,0.9364955,3.228899,4.47858175,6.2382505,8.15248925,8.4270085,8.559921,8.661132,8.7401
"6",113.8627,55.8771,113.9547655,0.09199825,55.70305125,58.2517,45.0201,3.9606,9.271,16.23506725,1.16593675,24.4087845,12.724381,1.16888175,180.2571,161.3779,171.2068,299.5745,264.9478,472.7074,82037.2109,72529.8438,13.8133,1.8471,6.8419,38.2608,2.7484,43.1556,44.9934,2.2545,2.9414875,4.9949,0.61524675,1.026961,0.917266,0.99726075,0.161556,1.317012,3.433972,4.45622875,6.0914455,8.3299635,8.710412,8.89802925,9.04743275,9.1664
"7",156.2705,62.7699,164.12074975,7.85022075,85.59992275,78.5208,59.7818,5.3707,13.3683,23.469166,1.82864375,38.4819305,19.98317,1.8370145,196.7341,165.7486,188.8203,265.1728,262.1184,473.2227,81985.5391,72545.0234,14.9079,1.906,7.4947,57.0894,4.4487,70.2127,72.9213,3.6565,6.7954215,10.2929,0.5304195,3.4410685,1.69910125,1.65525325,0.27682775,2.2144,4.81892625,5.59044325,6.68973275,9.05921825,9.438489,9.621791,9.77709925,9.9076
"8",152.203,56.3627,163.923387,11.72039275,80.948811,82.9746,65.6639,5.3807,11.93,20.1673185,1.7419665,37.6410935,19.5955355,1.80289,208.838,169.4317,203.1909,240.5473,259.532,470.0674,81934.8359,72559.4688,16.0775,1.9535,8.1745,49.1715,4.2458,68.8002,71.6312,3.5948,7.67970825,10.1135,0.4464915,3.4090465,2.43921525,1.8314495,0.024201,1.79448575,4.76103425,5.529508,6.56462525,9.144055,9.5302465,9.70711425,9.8635,10.0013
"9",99.2849,27.2149,126.10942675,26.8245825,51.701168,74.4082,62.7731,4.3455,7.2898,12.117279,1.1041805,24.47500875,12.824021,1.18067375,205.9139,170.3479,206.2692,237.1187,258.5123,466.9802,81903.5703,72572.1875,16.5315,1.8056,7.8077,28.0387,2.5549,42.468,44.5029,2.2349,3.26097,4.0701,0.76847275,0.09838,1.987736,1.17485475,0.0056535,0.85262625,3.61663525,4.44261875,5.715234,8.28290275,8.698863,8.8936545,9.06699625,9.2207
"10",57.1184,16.0787,92.0507235,34.932271,33.998512,58.0522,50.1903,3.0933,4.7685,7.97873575,0.71813775,16.0626905,8.4597165,0.77923125,197.866,170.0767,204.5609,243.2055,258.4517,465.0653,81882.4219,72580.3828,16.0873,1.8791,8.1398,18.4211,1.658,27.8128,29.2964,1.4719,2.05329325,2.5617,0.41754275,0.171707,1.06063225,0.820953,0.0137135,0.68010225,3.276566,4.1849845,5.53997075,7.7007885,8.09360825,8.279795,8.4446005,8.5908
"11",13.4874,0.025,48.747922,35.26054025,18.65337725,30.0946,26.4287,1.3668,2.299,4.43670075,0.38453375,8.7717935,4.63344075,0.42691125,182.8415,168.1761,196.5127,256.375,259.1853,464.1414,81872.3672,72584.0625,15.037,1.9031,8.0583,10.2112,0.885,15.1413,15.9959,0.8039,1.071351,1.2547,0.20256725,0.1085815,0.57626475,0.38650725,0.0073825,1.03690825,3.71908725,4.9682795,6.157492,7.39253525,7.67350325,7.8121945,7.944,8.0686
