"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.3337,0,14.0282832,13.6946094,13.8083256,0.22,0.1652,0.0068,0.048,3.6669432,0.2794896,6.2034986,3.3510594,0.3073358,143.4662,68.888,173.2539,283.7015,254.8439,455.7938,82129.0547,72473.4141,0.3803118,0.8138,0.1497538,0.1262034,0.1218828,0.13223,0.0090102,1.8644268,4.05514,6.0360702,7.193299,7.7279426,7.8316414,7.8921,7.9559204,8.0215
"2",3.2918,0.0027,13.7591302,10.467381,13.7169364,0.0422,0.031,0.0015,0.0097,3.748981,0.2765688,6.097633,3.2918296,0.3019248,132.5651,67.1029,166.2512,293.1977,255.7218,456.1311,82123.4297,72473.4141,0.4400048,0.8093,0.109832,0.1801574,0.1242188,0.135632,0.009888,1.896055,4.1163322,6.0232526,7.2777234,7.8464272,7.9436912,7.9981,8.0561,8.1159
"3",8.2374,0,13.884133,5.6467674,13.8251168,0.059,0.0434,0.002,0.0137,3.8668886,0.2777964,6.0929262,3.2860892,0.3014168,122.4912,65.3776,159.5826,301.3109,256.5509,456.6155,82117.8047,72473.4141,0.4503458,0.7612,0.148013,0.1098216,0.2035488,0.1369738,0.0066362,1.9450926,4.1851576,5.9617998,7.2899128,7.9098116,8.0138646,8.0699622,8.1276,8.1864
"4",24.8494,0.943,19.5635236,-5.2859248,15.7794698,3.7841,2.9101,0.1775,0.6965,4.5345868,0.318807,6.8804872,3.7056584,0.3399268,113.6471,63.7672,153.4684,306.7165,257.2507,457.3799,82110.7891,72474.7578,0.7324234,1.1459,0.0457558,0.461548,0.0855648,0.1853084,0.0550074,1.72319,4.0699054,5.7618932,7.2415672,8.0079006,8.129858,8.1921528,8.2533,8.315
"5",60.5984,50.2522,62.9520058,2.353626,35.1550296,27.797,21.5434,1.7668,4.4868,10.2620516,0.7248108,15.2376906,8.1799356,0.7505428,144.9837,63.9201,154.4441,299.2496,256.9822,459.3004,82090.3438,72482.9219,1.8046562,2.6346,0.3757464,0.508841,0.6246186,0.6711966,0.0244602,1.0696698,3.4801532,4.7794536,6.3987632,8.1328458,8.3971784,8.5296248,8.6307002,8.7094
"6",99.9487,50.5757,102.682897,2.7342318,53.5866752,49.0962,37.2794,3.4421,8.3747,15.164142,1.1135554,23.5634792,12.5897772,1.1557206,163.5444,66.1357,163.5729,282.8331,255.7926,461.2736,82057.9297,72497.9219,2.6847572,4.6362,0.5849716,0.8811602,0.8824802,0.9211154,0.1612976,1.4530896,3.6700762,4.7359946,6.2320134,8.2880756,8.6533454,8.8410782,8.9912,9.1105
"7",138.7103,59.8396,150.3827446,11.6724632,83.2780866,67.1047,49.3684,5.1411,12.5953,22.146381,1.765218,37.5437854,19.9866316,1.8360664,179.8845,70.3186,180.3733,250.1267,253.0434,461.6908,82005.9453,72512.9297,6.3510538,9.7558,0.6332858,3.1053964,1.70792,1.5377362,0.2749992,2.366702,4.988018,5.7719262,6.7690488,8.9889006,9.3553208,9.540199,9.6975,9.8293
"8",137.9487,54.7826,149.7439682,11.7952484,78.9155184,70.8285,53.6577,5.3968,11.7739,19.0370018,1.6837362,36.7672906,19.623289,1.8041982,192.5115,73.8897,194.4886,226.7104,250.5738,458.639,81954.75,72527.3125,7.2342012,9.6383,0.5497746,3.1063304,2.3972954,1.7305772,0.0154588,1.8629646,4.8728688,5.6452386,6.6122962,9.0654108,9.4406384,9.6196,9.7787,9.9185
"9",90.0078,26.5496,111.6458576,21.638134,48.7314764,62.9144,50.2041,4.5606,8.1496,11.057795,1.0310542,23.0970014,12.404372,1.1412528,190.5121,74.8206,197.9427,224.0409,249.674,455.8139,81923.7031,72539.4219,2.8102996,3.5616,0.9865392,0.2125602,1.587073,1.01067,0.0106954,0.5330922,3.583993,4.48555,5.7217172,8.1782796,8.5848986,8.7824958,8.9596,9.1172
"10",50.0037,15.7491,81.4250124,31.4212828,31.7265134,49.6985,40.7515,3.1776,5.7694,7.2187006,0.6637718,15.003039,8.0958208,0.7451816,183.4783,74.6245,196.8727,230.1489,249.668,454.0988,81903.0547,72546.7031,1.4960622,2.1032,0.6772616,0.1880686,0.6620428,0.64595,0.0060676,0.6793016,3.2806212,4.2354452,5.5525608,7.6006694,7.983991,8.1721,8.34,8.488
