"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4608,0,14.31686,13.85602,14.04546,0.2714,0.2226,0.006,0.0428,3.8043,0.28686,6.29976,3.3476,0.30696,148.8578,71.68,180.2411,294.6993,261.9012,463.4355,82145.3438,72476,12.2424,1.9058,7.5876,8.7476,0.6596,10.8644,11.5464,0.5775,0.1814,4.9926,0.33904,0.8185,0.199,0.07686,0.13066,0.13154,0.00626,1.86284,4.01446,5.94614,7.17634,7.73098,7.83736,7.89828,7.96222,8.0278
"2",4.3319,0.0033,14.0598,9.72792,13.97396,0.0858,0.0693,0.0022,0.0144,3.8948,0.28424,6.20026,3.2927,0.30194,137.5473,69.8297,172.9836,304.5749,262.8194,463.7804,82139.7188,72476,11.3121,1.8507,7.2589,8.9761,0.6551,10.7168,11.3825,0.5694,0.1802,5.117,0.38434,0.8103,0.15818,0.1252,0.12504,0.13408,0.00674,1.89194,4.06178,5.88186,7.25132,7.84794,7.948,8.0029,8.0611,8.1209
"3",10.9936,0,14.24218,3.24862,14.04768,0.1945,0.157,0.0048,0.0327,4.00604,0.28474,6.1784,3.27786,0.3006,127.0948,68.0444,166.0845,313.0133,263.6846,464.2766,82134.0938,72476,10.4525,1.7853,6.899,9.1799,0.6525,10.6185,11.267,0.5636,0.1794,5.2284,0.4047,0.7648,0.19058,0.06312,0.20552,0.13606,0.00426,1.94234,4.13902,5.84428,7.26182,7.91008,8.01734,8.07386,8.1317,8.1906
"4",30.8205,1.4499,23.21244,-7.60806,16.05606,7.1564,5.9883,0.2542,0.9138,4.70366,0.3272,6.9852,3.70064,0.33942,118.1505,66.4198,159.9262,318.6346,264.4199,465.0727,82127.0781,72477.3438,9.6691,1.7695,6.7382,11.0487,0.7685,12.304,13.0368,0.6522,0.2113,6.2882,0.72438,1.1606,0.0608,0.44872,0.0897,0.18592,0.05556,1.70578,4.02318,5.68962,7.21956,8.00996,8.13506,8.19782,8.2591,8.321
"5",70.2,53.9225,70.145,-0.055,35.88814,34.2568,27.6807,1.8478,4.7283,10.67854,0.74616,15.51792,8.19382,0.75172,151.5089,66.7504,161.6179,310.9951,264.168,467.0678,82106.7812,72485.6094,10.2389,1.7349,6.5685,24.7088,1.7264,26.9281,28.4377,1.423,0.4748,14.0646,1.72054,2.655,0.49274,0.40452,0.63226,0.68378,0.01162,1.042,3.40344,4.68892,6.35418,8.14098,8.40908,8.54182,8.6431,8.7219
"6",110.4841,52.7032,111.22014,0.73596,54.64854,56.5716,44.6224,3.3928,8.5564,15.77238,1.14532,23.97572,12.59874,1.15634,170.7933,69.0641,171.1354,294.1,262.972,469.132,82074.5859,72500.5625,13.0852,1.7531,6.7495,36.9893,2.6868,42.1854,44.3341,2.2195,0.7389,21.083,2.58216,4.6912,0.72144,0.75128,0.89912,0.9318,0.16348,1.40406,3.58964,4.64268,6.18338,8.30548,8.6758,8.86342,9.0133,9.1324
"7",151.9648,61.468,161.81506,9.85026,85.10086,76.7143,58.8352,5.0687,12.8103,23.09838,1.82,38.29388,20.04726,1.84132,187.3662,73.3316,188.2675,260.1664,260.1699,469.6029,82022.9297,72515.6641,14.1611,1.8793,7.455,55.8348,4.4003,69.4401,72.7055,3.6425,1.2101,31.9192,6.20306,9.9374,0.873,2.94602,1.6767,1.58036,0.2767,2.28184,4.90894,5.68488,6.73064,9.02846,9.39966,9.58328,9.7393,9.8704
"8",148.6814,56.1607,161.36664,12.68528,80.57282,80.7939,63.7522,5.2057,11.8359,19.85384,1.7358,37.49502,19.67912,1.809,200.0849,76.9594,202.5992,235.8247,257.6533,466.4659,81972.2031,72530.0859,15.3616,1.9882,8.1328,48.1337,4.2068,68.1465,71.5308,3.5866,1.1569,27.6304,7.1778,9.8315,0.76124,2.97366,2.43408,1.77004,0.00414,1.8027,4.79388,5.56302,6.57538,9.11188,9.49282,9.67014,9.8275,9.966
"9",97.2458,27.0896,121.80242,24.5566,49.82022,71.9822,60.6314,4.1507,7.2,11.55146,1.0649,23.59498,12.46252,1.1464,197.7662,77.8684,205.9541,232.977,256.7441,463.5384,81941.3203,72542.3516,15.8634,1.7999,7.4805,26.4617,2.4393,40.522,42.8054,2.1478,0.6708,15.2248,2.75428,3.6526,1.10832,0.05544,1.67588,1.02298,0.00686,0.56262,3.53364,4.42392,5.6891,8.2137,8.627,8.8238,8.9996,9.1562
"10",55.9706,15.9809,88.61796,32.64734,32.38488,56.2331,48.8618,2.8023,4.5691,7.52872,0.68464,15.3023,8.12172,0.74744,190.291,77.6248,204.6845,239.2927,256.7559,461.7646,81920.7891,72549.75,15.4657,1.8418,7.6618,17.0888,1.5539,26.0504,27.6528,1.3881,0.4273,9.8262,1.42122,2.1409,0.79616,0.06838,0.70202,0.65082,0.00284,0.68922,3.2384,4.189,5.5249,7.62218,8.01162,8.1998,8.3671,8.5146
