"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.461,0,14.2733328,13.8123262,14.0026316,0.2707,0.222,0.006,0.0427,3.7946848,0.2849256,6.2808288,3.336268,0.3059304,148.9371,71.7151,180.3568,294.9485,261.0116,463.6118,82144.9844,72475.8828,12.2489,1.9067,7.5924,8.755,0.6574,10.8684,11.5462,0.5775,0.3826048,0.8187,0.1512536,0.1218246,0.1287896,0.131998,0.0086406,1.8682798,4.0406932,6.0105042,7.188593,7.7321348,7.837598,7.8984052,7.9624,8.028
"2",4.3333,0.0035,14.0280976,9.6947774,13.9402532,0.0878,0.0709,0.0022,0.0148,3.8873574,0.2825146,6.1856066,3.2836472,0.3011234,137.6206,69.8639,173.0948,304.8271,261.9326,463.9562,82139.3594,72475.8828,11.3181,1.8516,7.2635,8.9836,0.6529,10.7208,11.3824,0.5694,0.4266284,0.8106,0.1184616,0.1639686,0.1270838,0.1355738,0.0098168,1.906219,4.1136648,5.9967858,7.2732872,7.8496826,7.9482766,8.0030222,8.0612,8.121
"3",10.9973,0,14.2099002,3.2126358,14.0112626,0.1986,0.1603,0.0049,0.0334,3.9976146,0.2829554,6.1626778,3.2682788,0.2997358,127.1624,68.0777,166.1914,313.2682,262.8003,464.4519,82133.7344,72475.8828,10.4581,1.7862,6.9034,9.1873,0.6503,10.6225,11.2669,0.5636,0.45339,0.765,0.1485406,0.1053588,0.2107806,0.1372514,0.006275,1.954284,4.18464,5.9426726,7.285557,7.9124898,8.0176896,8.074069,8.1318,8.1907
"4",30.831,1.4483,23.190461,-7.6405832,16.0488236,7.1416,5.9761,0.2538,0.9118,4.7037932,0.3258322,6.9823348,3.6977162,0.3391468,118.2123,66.4523,160.0284,318.8905,263.5389,465.247,82126.7188,72477.2266,9.6743,1.7703,6.7425,11.0576,0.7659,12.3086,13.0367,0.6522,0.7363064,1.1609,0.0469344,0.4630636,0.08589,0.1873494,0.0559576,1.7244852,4.070972,5.7562202,7.240116,8.0125322,8.1354326,8.198003,8.2593,8.3211
"5",70.2384,54.0734,70.0548488,-0.1835786,35.7928916,34.262,27.6849,1.8477,4.7294,10.6552138,0.7414654,15.4774078,8.1693506,0.7494544,151.7099,66.7822,161.7188,311.2445,263.2932,467.2417,82106.4453,72485.5156,10.2478,1.7357,6.5726,24.7284,1.7207,26.9381,28.4375,1.423,1.818237,2.6558,0.3794352,0.4957984,0.6320084,0.690432,0.022925,1.0325862,3.4309512,4.7183264,6.3636482,8.1430444,8.409577,8.5421468,8.6433018,8.7222
"6",110.5754,52.7766,111.1557448,0.5803664,54.5473968,56.6083,44.6531,3.3936,8.5616,15.75057,1.1390772,23.9325708,12.571342,1.153841,171.0382,69.0968,171.2408,294.3436,262.1074,469.3043,82074.2578,72500.4688,13.1044,1.7539,6.7537,37.0193,2.6779,42.2009,44.3338,2.2195,2.7118108,4.6926,0.585648,0.873201,0.8893818,0.9492268,0.162627,1.4052262,3.60024,4.6477036,6.186192,8.3068452,8.6764476,8.8639084,9.0137,9.1329
"7",152.0779,61.4944,161.6822492,9.6043658,84.9105156,76.7717,58.8834,5.0708,12.8175,23.0580474,1.8093978,38.2103116,19.9961292,1.8366354,187.6049,73.3662,188.3788,260.3866,259.3195,469.7726,82022.6094,72515.5703,14.1803,1.8802,7.4595,55.8817,4.3859,69.4655,72.7053,3.6425,6.4491594,9.9407,0.6398042,3.1350534,1.71746,1.5966448,0.2767678,2.28061,4.9053722,5.682587,6.7297446,9.0295182,9.4005706,9.5840504,9.7400818,9.8711
"8",148.7757,56.1901,161.2696932,12.4940308,80.4010802,80.8686,63.8168,5.2095,11.8423,19.8227172,1.725911,37.4168488,19.6309982,1.804605,200.3198,76.9961,202.7168,236.028,256.8173,466.6299,81971.8906,72529.9922,15.3803,1.9891,8.1375,48.1748,4.1931,68.1708,71.5306,3.5866,7.3711198,9.8346,0.5465324,3.1555532,2.426354,1.7892112,0.0161662,1.804232,4.7929664,5.5619002,6.5749094,9.1127712,9.493744,9.6710004,9.8283,9.9668
"9",97.3019,27.1025,121.7385224,24.4366068,49.6930042,72.0455,60.6882,4.1535,7.2039,11.5290186,1.0584692,23.5356264,12.426774,1.1431162,197.9897,77.9055,206.0729,233.1793,255.9162,463.6983,81941.0156,72542.2578,15.8815,1.8008,7.485,26.4851,2.4315,40.537,42.8062,2.1478,2.9113798,3.6539,0.9498524,0.1812758,1.6909216,1.0391776,0.009899,0.5655302,3.5340478,4.4203172,5.6882904,8.21434,8.6276664,8.824483,9.0003,9.1568
"10",56.0028,15.9898,88.5723922,32.5695954,32.2797782,56.2926,48.9156,2.8049,4.5721,7.5085596,0.680028,15.253432,8.0929654,0.7447912,190.5018,77.6618,204.8026,239.5013,255.9337,461.9241,81920.5,72549.6719,15.4829,1.8427,7.6664,17.1041,1.549,26.06,27.6534,1.3881,1.5498262,2.1417,0.6665216,0.1880602,0.696183,0.66558,0.0060278,0.6683728,3.2349742,4.1792452,5.5231026,7.6225062,8.0121014,8.2003,8.3676,8.5151
