"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.385,0,14.363741,13.97878775,14.1789835,0.1848,0.1377,0.0139,0.0331,3.87383625,0.3090445,6.34280675,3.346399,0.3069035,113.5701,210.8233,175.8664,299.9287,282.2836,466.7962,82147.0547,72488.3984,12.2895,2.1165,7.4309,8.9433,0.7135,10.9826,11.5886,0.5797,0.389908,0.8342,0.15198625,0.12685425,0.13240775,0.1306495,0.0089755,1.857557,3.98398525,5.92796275,7.171416,7.735032,7.8437495,7.90519975,7.9693,8.0349
"2",3.593,0.0024,14.13568075,10.542635,14.09095475,0.0447,0.0323,0.0042,0.0083,3.95520275,0.306092,6.23873,3.28924825,0.3016825,102.4817,208.737,168.7632,309.2768,283.3503,467.1667,82141.4297,72488.3984,11.0896,2.0876,7.1032,9.152,0.7083,10.8267,11.4163,0.5711,0.446017,0.8292,0.1132005,0.1805165,0.1306175,0.13488175,0.01026,1.902349,4.06818525,5.89856075,7.2545715,7.8531595,7.954374,8.0096,8.0679,8.1278
"3",8.9796,0,14.2827515,5.30315625,14.21514675,0.0676,0.0482,0.0061,0.0133,4.07506475,0.30797775,6.24259475,3.28792575,0.30158275,92.4749,206.683,161.9885,316.9937,284.3887,467.6812,82135.8047,72488.3984,10.0068,2.0541,6.7746,9.3718,0.7083,10.7676,11.3424,0.5675,0.45782575,0.7835,0.150558,0.112572,0.20857325,0.136679,0.00679475,1.95431625,4.146168,5.87759875,7.2709195,7.916917,8.0245565,8.0812825,8.1392,8.1982
"4",24.5753,0.403,18.36642775,-6.208885,16.2224165,2.144,1.5015,0.2939,0.3486,4.766596,0.3537555,7.05257425,3.709232,0.34024875,83.6412,204.8225,155.3991,321.7211,285.3098,468.4731,82128.7891,72489.7422,9.0352,2.062,6.5894,11.2042,0.8315,12.4316,13.0765,0.6543,0.76082325,1.1786,0.04659025,0.4722805,0.09193625,0.1966115,0.05567225,1.65084475,4.029053,5.6937585,7.2134485,8.01664225,8.141668,8.20453225,8.2659,8.3278
"5",57.2533,51.7055,61.279707,4.0263595,36.19490475,25.0848,18.4115,4.0706,2.6027,10.77778125,0.80647125,15.65234475,8.20542575,0.75287325,118.1846,207.302,151.9339,313.1025,285.1856,470.4281,82108.4375,72498.125,9.7953,2.0504,6.3011,25.0209,1.8722,27.2512,28.572,1.43,1.90205275,2.735,0.37961925,0.5305425,0.6318575,0.73965425,0.027281,0.93349725,3.21894275,4.47107625,6.23120875,8.1461465,8.42110325,8.55406175,8.6553,8.7342
"6",96.8623,53.3086,103.7903145,6.92805225,55.21069675,48.5796,35.4403,4.3209,8.8185,15.93146825,1.241207,24.232797,12.644496,1.16073,137.8755,209.2431,161.5119,295.9782,284.0089,472.3981,82076.0234,72513.2422,13.6508,2.0527,6.3958,37.476,2.9204,42.7659,44.6289,2.2346,2.8063825,4.8275,0.60302375,0.92495875,0.901908,0.97951575,0.16139675,1.3195685,3.4260605,4.4501865,6.0846475,8.31438,8.69502725,8.88293775,9.0326,9.1516
"7",135.511,65.4651,149.01061875,13.49971275,85.48602375,63.5246,44.1828,5.6092,13.7325,23.20862025,1.96173875,38.4724415,20.005449,1.83777525,155.4942,213.6688,180.581,262.2135,281.0535,472.7108,82024.3984,72528.4141,15.114,2.1208,7.1167,56.3109,4.7605,70.0194,72.8196,3.6488,6.548424,10.0966,0.607113,3.230568,1.6888525,1.6290065,0.276367,2.213373,4.81152075,5.58432125,6.68316,9.0441915,9.42323225,9.60690125,9.7625,9.8932
"8",134.7627,58.7488,145.5010625,10.73835075,80.915698,64.5853,46.7896,5.4205,12.3753,19.983612,1.869914,37.63353675,19.62436875,1.80427225,168.1773,217.3815,196.2349,238.466,278.3438,469.4693,81973.7344,72542.8516,16.6913,2.1621,7.8451,48.6119,4.5473,68.6311,71.5746,3.5894,7.461378,9.9564,0.5212785,3.231208,2.42618025,1.80399025,0.01814925,1.813354,4.774367,5.54346675,6.56945725,9.131661,9.51724725,9.69440125,9.85103625,9.9891
"9",88.5699,28.207,107.4281545,18.858172,50.40910125,57.0191,45.5206,4.316,7.1825,11.7455165,1.15518675,23.843279,12.51381375,1.15130075,164.975,218.2666,200.1812,236.3325,277.3259,466.4869,81942.875,72555.2656,17.3058,1.9354,7.3364,27.0661,2.6619,41.1977,43.2435,2.1701,3.048937,3.7784,0.8448075,0.1473435,1.82171725,1.079874,0.0064905,0.7268605,3.57928975,4.447471,5.7115425,8.24246175,8.65685675,8.853,9.0279,9.1836
"10",50.6069,16.632,78.371284,27.76438,33.079603,45.2917,36.7668,3.3838,5.141,7.74505,0.749022,15.600336,8.2278595,0.7573265,156.591,217.9309,199.2066,243.2404,277.3108,464.6909,81922.2891,72562.9844,16.7,1.9986,7.6274,17.7194,1.7136,26.7688,28.2368,1.4177,1.7245565,2.2843,0.58550375,0.159138,0.84383325,0.72158475,0.008201,0.65331,3.221245,4.14867775,5.51061575,7.65582575,8.0474725,8.23511975,8.4018,8.5488
"11",11.7076,0.0185,40.5213915,28.8138045,17.93574675,22.5856,18.4725,1.5612,2.5519,4.26217075,0.39617475,8.41644025,4.45114725,0.40981525,141.3093,215.9195,191.6984,256.5659,278.113,463.8427,81913.25,72566.0938,15.291,2.0136,7.5157,9.7831,0.9093,14.4886,15.325,0.7696,0.994175,1.1395,0.17228275,0.065845,0.55093,0.37739425,0.00482175,1.004782,3.66923825,4.9313055,6.131709,7.358382,7.637942,7.7764,7.9083,8.0332
"12",2.622,0,26.89487375,24.2728775,16.39885225,10.496,7.9729,0.7492,1.7739,4.1117245,0.36163825,7.55595925,4.0011175,0.368415,125.3462,213.5295,183.0614,272.0275,279.3068,463.4547,81906.6875,72566.0938,15.9631,2.3894,8.6369,9.4983,0.8354,13.0915,13.8647,0.6964,0.460999,0.975,0.172851,0.095168,0.21238025,0.153451,0.00626225,1.8107005,4.195247,5.961429,6.92334625,7.48358025,7.6260275,7.7046,7.7888,7.8759
"13",1.9325,0,13.83012375,11.8975745,13.013845,0.8163,0.6077,0.0618,0.1468,3.41407875,0.286644,5.89997925,3.12534375,0.2877995,113.1068,211.5364,176.0858,283.711,280.3423,463.4077,81901.0625,72566.0938,12.2394,1.993,6.9756,7.8378,0.6581,10.1587,10.7626,0.5406,0.29693375,0.6835,0.11934725,0.06192575,0.101531,0.13348275,0.00471775,1.8510335,4.1543835,6.1823685,7.17755175,7.65365675,7.7450895,7.7973,7.8574,7.9225
"14",3.617,0,13.3021125,9.68508725,13.296153,0.006,0.0044,5e-04,0.0011,3.60399725,0.2922475,5.95535925,3.15408175,0.29046725,102.0625,209.4996,169.1684,293.7172,281.4015,463.5576,81895.4375,72566.0938,11.0443,2.0364,6.9173,8.2611,0.6699,10.2383,10.8448,0.5448,0.274113,0.6443,0.09101125,0.0551505,0.08449375,0.1344715,0.0054975,1.86928025,4.17448275,6.22904375,7.299044,7.800008,7.87892475,7.921532,7.9716,8.0268
"15",23.9637,0.9031,17.1075165,-6.8562155,13.87262075,3.2349,2.3291,0.4916,0.4141,3.86139925,0.3047095,6.1509615,3.255704,0.299844,92.5304,207.8532,162.2684,301.895,282.4699,463.9052,81889.8125,72566.0938,9.9836,2.0971,6.9002,9.0132,0.7112,10.767,11.3979,0.5726,0.483011,0.879,0.04338625,0.2998615,0.04536725,0.13778475,0.031119,1.89377125,4.1755395,6.205954,7.3807985,7.92825125,8.0105285,8.052598,8.1018,8.1565
"16",31.9335,46.3251,24.93066025,-7.00283775,15.35995925,9.5707,7.4683,0.8617,1.2406,4.39191,0.33872,6.73831225,3.562861,0.3281585,127.09,205.9927,156.1223,309.5598,283.443,464.4893,81883.1406,72567.1016,11.0654,2.0812,6.627,10.3361,0.7971,11.893,12.5767,0.6318,0.82232275,1.1138,0.03320475,0.47621775,0.171812,0.17429225,0.05237075,1.81764175,4.21376075,6.082067,7.35822125,8.02851875,8.12819675,8.1769145,8.2299,8.2877
"17",78.4014,31.5831,77.56318725,-0.83823975,37.28010325,40.2831,30.4392,3.5156,6.3282,10.953928,0.84056425,16.17367625,8.52641975,0.7855145,131.9031,206.6006,160.2711,304.2301,283.2255,466.3781,81861.4609,72575.3125,13.4392,2.0585,6.5153,25.5897,1.9638,28.3422,29.8825,1.5016,2.0978555,3.039,0.294463,0.7755605,0.49272725,0.8295655,0.1080805,0.89501475,3.16665625,4.47696975,6.24396,8.19502425,8.45726975,8.5786015,8.6719,8.7468
"18",117.5444,51.5969,117.010948,-0.53347825,59.16987275,57.8411,41.5752,5.1166,11.1493,16.8156995,1.342468,26.07031875,13.68040675,1.26097825,143.6178,209.6709,173.9763,285.2452,281.7817,468.2655,81827.0703,72590.2188,14.0836,2.0901,6.9335,40.3098,3.2186,46.8804,49.2006,2.4737,4.31337225,6.2049,0.40647675,1.980387,1.20142425,1.13156375,0.1632565,1.523722,3.6399145,4.61853425,6.18529925,8.45527125,8.830532,9.01215,9.15731525,9.2739
