"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","QCt11_mean1","QCt12_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.385,0,14.3636088,13.9786542,14.1788524,0.1848,0.1377,0.0139,0.0331,3.8737996,0.3090434,6.342745,3.346365,0.3069,113.5701,210.8233,175.8664,299.9287,282.2836,466.7962,82147.0547,72488.3984,12.2895,2.1165,7.4309,8.9433,0.7135,10.9826,11.5886,0.5797,0.1962,5.115,6.0552,4.393,0,0,0,0,0.389859,0.8342,0.1519908,0.1268492,0.1324952,0.13051,0.0090258,1.8554834,3.9825056,5.921343,7.1700168,7.734894,7.843738,7.9051998,7.9693,8.0349
"2",3.593,0.0024,14.135273,10.5422282,14.0905488,0.0447,0.0323,0.0042,0.0083,3.9550892,0.3060798,6.2385522,3.2891532,0.301674,102.4817,208.737,168.7632,309.2768,283.3503,467.1667,82141.4297,72488.3984,11.0896,2.0876,7.1032,9.152,0.7083,10.8267,11.4163,0.5711,0.1948,5.2284,5.9652,4.3307,0.0012,0,0.0012,0,0.4450946,0.8292,0.1129166,0.1801066,0.1302236,0.1347634,0.0100454,1.9021212,4.0649758,5.8881386,7.2523436,7.8529758,7.9543596,8.0096,8.0679,8.1278
"3",8.9796,0,14.2827826,5.3031886,14.2151796,0.0676,0.0482,0.0061,0.0133,4.0750762,0.3079774,6.242609,3.2879326,0.3015826,92.4749,206.683,161.9885,316.9937,284.3887,467.6812,82135.8047,72488.3984,10.0068,2.0541,6.7746,9.3718,0.7083,10.7676,11.3424,0.5675,0.1948,5.3493,5.9266,4.307,0,0,0,0,0.4589142,0.7835,0.150647,0.11265,0.2096388,0.1366242,0.006886,1.9552296,4.1427942,5.870655,7.2691806,7.91671,8.0245382,8.081279,8.1392,8.1982
"4",24.5753,0.403,18.3662238,-6.2090918,16.2222098,2.144,1.5015,0.2939,0.3486,4.7665382,0.353754,7.052484,3.7091878,0.3402484,83.6412,204.8225,155.3991,321.7211,285.3098,468.4731,82128.7891,72489.7422,9.0352,2.062,6.5894,11.2042,0.8315,12.4316,13.0765,0.6543,0.2287,6.391,6.8327,4.9726,0.2015,0,0.2015,0,0.7609172,1.1786,0.0464942,0.4724038,0.092012,0.1965044,0.0555744,1.6505296,4.0242288,5.6888546,7.2118342,8.0164436,8.1416418,8.2045308,8.2659,8.3278
"5",57.2533,51.7055,61.2799728,4.0266296,36.1951744,25.0848,18.4115,4.0706,2.6027,10.7778626,0.8064788,15.6524588,8.2054912,0.7528804,118.1846,207.302,151.9339,313.1025,285.1856,470.4281,82108.4375,72498.125,9.7953,2.0504,6.3011,25.0209,1.8722,27.2512,28.572,1.43,0.5148,14.2763,14.9295,10.9005,7.3661,2.8358,4.5303,36.9732,1.9024574,2.735,0.379686,0.5306734,0.6319272,0.739857,0.0272084,0.9317208,3.22051,4.4718368,6.2309472,8.146031,8.421083,8.5540614,8.6553,8.7342
"6",96.8623,53.3086,103.7899236,6.927661,55.2103082,48.5796,35.4403,4.3209,8.8185,15.9313514,1.2411982,24.2326254,12.6444066,1.1607232,137.8755,209.2431,161.5119,295.9782,284.0089,472.3981,82076.0234,72513.2422,13.6508,2.0527,6.3958,37.476,2.9204,42.7659,44.6289,2.2346,0.8031,21.415,23.32,17.1063,19.9669,15.9735,3.9934,13.3748,2.8081998,4.8275,0.6029118,0.9249762,0.9039862,0.9792384,0.161449,1.3206234,3.4236082,4.4498106,6.0845852,8.3143406,8.6950142,8.8829346,9.0326,9.1516
"7",135.511,65.4651,149.0109234,13.5000234,85.4863276,63.5246,44.1828,5.6092,13.7325,23.2087026,1.9617442,38.4725826,20.0055196,1.8377792,155.4942,213.6688,180.581,262.2135,281.0535,472.7108,82024.3984,72528.4141,15.114,2.1208,7.1167,56.3109,4.7605,70.0194,72.8196,3.6488,1.3091,32.2801,38.0518,28.0077,32.7325,26.186,6.5465,0,6.5450534,10.0966,0.6073706,3.2312248,1.6847656,1.62906,0.276321,2.2129704,4.811354,5.583716,6.6831238,9.044174,9.4232264,9.6069008,9.7625,9.8932
"8",134.7627,58.7488,145.500841,10.7381326,80.9154852,64.5853,46.7896,5.4205,12.3753,19.9835578,1.8699064,37.6334312,19.6243146,1.804267,168.1773,217.3815,196.2349,238.466,278.3438,469.4693,81973.7344,72542.8516,16.6913,2.1621,7.8451,48.6119,4.5473,68.6311,71.5746,3.5894,1.2505,27.9871,37.4025,27.4524,29.3744,23.4995,5.8749,0,7.4649776,9.9564,0.5214088,3.2314362,2.429896,1.803643,0.0181816,1.8127522,4.773733,5.5433194,6.5694204,9.1316502,9.5172452,9.694401,9.8510368,9.9891
"9",88.5699,28.207,107.4279052,18.857926,50.408852,57.0191,45.5206,4.316,7.1825,11.745461,1.1551844,23.843162,12.513753,1.1512958,164.975,218.2666,200.1812,236.3325,277.3259,466.4869,81942.875,72555.2656,17.3058,1.9354,7.3364,27.0661,2.6619,41.1977,43.2435,2.1701,0.732,15.6184,22.5983,16.4791,14.1035,11.2828,2.8207,0,3.0501198,3.7784,0.8448872,0.1464214,1.8241426,1.0795536,0.0065318,0.7268752,3.5774818,4.4464948,5.7114288,8.2424548,8.6568558,8.853,9.0279,9.1836
"10",50.6069,16.632,78.3733456,27.766448,33.0816694,45.2917,36.7668,3.3838,5.141,7.7455408,0.7490722,15.6013082,8.2283748,0.7573734,156.591,217.9309,199.2066,243.2404,277.3108,464.6909,81922.2891,72562.9844,16.7,1.9986,7.6274,17.7194,1.7136,26.7688,28.2368,1.4177,0.4712,10.2169,14.7563,10.7075,8.316,6.6528,1.6632,0,1.7221472,2.2843,0.5876288,0.159977,0.8406434,0.7215258,0.0084,0.6541522,3.218104,4.1462026,5.5102538,7.6558082,8.047468,8.235118,8.4018,8.5488
