"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","QCt11_mean1","QCt12_mean1","QCt13_mean1","QCt14_mean1","QCt15_mean1","QCt16_mean1","QCt17_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.462,0,14.296003,13.833953,14.025028,0.271,0.2215,0.0071,0.0424,3.802864,0.29032,6.289541,3.33639,0.305921,149.4501,85.0757,180.2367,295.5945,265.9538,464.2734,82151.7969,72477.2188,12.2911,1.91,7.587,8.7739,0.6698,10.8835,11.5467,0.5775,0.1842,5.0098,6.0332,4.3534,11.5823,0.8842,19.021,10.09,0.9252,0,0,0,0,0.383738,0.82,0.151545,0.122056,0.129598,0.132077,0.008563,1.869433,4.04123,6.004472,7.187475,7.732596,7.838316,7.8992,7.9632,8.0288
"2",4.3426,0.0034,14.048972,9.706327,13.962898,0.0861,0.0692,0.0025,0.0144,3.895762,0.287845,6.19431,3.28385,0.301124,138.0947,83.2138,172.9795,305.4895,266.8719,464.6192,82146.1719,72477.2188,11.3571,1.8623,7.2584,9.0029,0.6652,10.7358,11.383,0.5693,0.1829,5.1345,5.9477,4.2943,11.9724,0.8846,18.9724,10.058,0.9223,0.0017,0.0013,3e-04,0,0.427264,0.8118,0.118994,0.164465,0.12727,0.135535,0.009859,1.903913,4.110576,5.986955,7.271524,7.850098,7.948929,8.0037,8.0619,8.1218
"3",11.0207,0,14.2323,3.211578,14.033625,0.1987,0.1597,0.0058,0.0332,4.006069,0.28827,6.171166,3.268388,0.299723,127.6006,81.4102,166.081,313.9437,267.7425,465.1132,82140.5469,72477.2188,10.4941,1.8037,6.8985,9.2068,0.6625,10.6371,11.2673,0.5636,0.1822,5.2459,5.8873,4.2549,12.2118,0.8788,18.8013,9.9576,0.9132,0,0,0,0,0.45253,0.7662,0.148873,0.105607,0.209621,0.137298,0.00641,1.955571,4.174476,5.941849,7.284686,7.912884,8.018292,8.074689,8.1325,8.1914
"4",30.8986,1.4049,22.988821,-7.909751,16.075932,6.9129,5.7397,0.2782,0.8949,4.714074,0.331967,6.992565,3.698161,0.339162,118.5957,79.7559,159.9052,319.571,268.4881,465.9107,82133.5312,72478.5625,9.7073,1.7948,6.7378,11.0811,0.7803,12.3259,13.0375,0.6522,0.2146,6.3092,6.8123,4.9304,12.7226,0.8965,19.1443,10.1256,0.9286,0.7024,0.5619,0.1405,0,0.739496,1.1628,0.046882,0.463435,0.087357,0.188701,0.055948,1.71166,4.065321,5.750818,7.237329,8.013038,8.136122,8.198722,8.26,8.3219
"5",70.4178,54.4377,70.060812,-0.356965,35.851032,34.2098,27.6069,1.8825,4.7204,10.677518,0.755353,15.498949,8.169772,0.749443,152.5085,80.0399,161.5272,311.908,268.2317,467.9053,82113.2578,72486.8516,10.2894,1.7624,6.5663,24.7806,1.753,26.976,28.4394,1.423,0.4821,14.1114,14.86,10.7904,12.6124,0.8908,19.057,10.0484,0.9218,10.2351,8.1881,2.047,33.9677,1.82216,2.66,0.379214,0.494684,0.635764,0.691709,0.023004,1.034475,3.417848,4.703946,6.358497,8.143753,8.410894,8.543501,8.6447,8.7235
"6",110.9403,53.0439,111.527616,0.587306,54.636492,56.8911,44.9031,3.4157,8.5724,15.784444,1.160382,23.965792,12.572032,1.153832,172.0247,82.3359,171.0578,295.0024,267.0109,469.9676,82081.0859,72501.8047,13.1815,1.7734,6.7459,37.0997,2.728,42.2603,44.3371,2.2195,0.7502,21.155,23.1673,16.9041,11.9403,0.8772,18.9119,9.9215,0.9106,20.346,16.2768,4.0692,12.3519,2.715799,4.7003,0.585444,0.873773,0.8912,0.950821,0.162723,1.403386,3.594954,4.639588,6.183292,8.308642,8.678734,8.866207,9.016,9.1351
"7",152.5251,61.5349,162.192089,9.667011,85.052515,77.1396,59.2004,5.1025,12.8367,23.110539,1.843176,38.264265,19.997863,1.836669,188.5362,86.6029,188.2198,260.9873,264.1468,470.4323,82029.4531,72516.9062,14.256,1.8865,7.4525,56.0091,4.4678,69.5638,72.7117,3.6426,1.2286,32.0337,37.995,27.8255,11.1801,0.89,19.396,10.1373,0.931,30.7675,24.614,6.1535,0,6.454539,9.9575,0.640187,3.138574,1.71589,1.600078,0.277178,2.278306,4.904278,5.680087,6.729136,9.033348,9.404668,9.588054,9.743902,9.8749
"8",149.134,56.2197,161.749651,12.615514,80.533814,81.2159,64.1177,5.2411,11.8571,19.868946,1.757928,37.469486,19.6328,1.804652,201.1943,90.2456,202.5765,236.5785,261.5574,467.2796,81978.7734,72531.3359,15.4517,1.9791,8.1314,48.2871,4.2709,68.2666,71.5369,3.5867,1.1745,27.7324,37.3825,27.3066,9.9461,0.8812,19.352,10.1406,0.9321,28.1099,22.4879,5.622,0,7.37666,9.8511,0.547224,3.161983,2.421745,1.792931,0.016345,1.803509,4.792161,5.560459,6.575045,9.117304,9.498497,9.675604,9.83279,9.9712
"9",97.5093,27.1127,122.109981,24.600702,49.781061,72.3289,60.9318,4.1808,7.2163,11.557788,1.078101,23.572057,12.429801,1.143321,198.8024,91.1734,205.9408,233.7257,260.5967,464.3398,81947.9453,72543.6328,15.9482,1.7837,7.4807,26.5493,2.4764,40.5968,42.8135,2.148,0.681,15.2831,22.3734,16.2387,8.2164,0.7668,16.8382,8.8824,0.817,13.5563,10.8451,2.7113,0,2.909335,3.6605,0.954616,0.18299,1.684499,1.041844,0.010046,0.568807,3.53405,4.419959,5.688022,8.217708,8.631292,8.828003,9.003782,9.160201
"10",56.1192,15.9938,88.826088,32.706866,32.334843,56.4912,49.0862,2.8242,4.5809,7.526922,0.692486,15.276065,8.094492,0.74488,191.2546,90.9485,204.6758,240.0605,260.5695,462.5595,81927.4297,72551.0625,15.5448,1.8243,7.6623,17.1457,1.5773,26.0983,27.6582,1.3883,0.4338,9.8639,14.4538,10.4393,8.486,0.7798,17.0658,9.0442,0.8323,7.9969,6.3975,1.5994,0,1.555868,2.1457,0.667983,0.188314,0.700382,0.667166,0.006011,0.660586,3.235382,4.180835,5.523136,7.624802,8.0147,8.202886,8.3701,8.5175
