"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4624,0,14.282392,13.819974,14.011581,0.2708,0.2208,0.0081,0.0419,3.79015,0.293525,6.283075,3.338571,0.306255,149.6352,97.8096,178.8429,294.3309,268.6111,463.3339,82122.8516,72483.6406,12.3063,1.9024,7.5369,8.7456,0.6773,10.8736,11.5556,0.5782,0.1863,4.9963,0.384008,0.8206,0.151003,0.122714,0.129251,0.132045,0.008678,1.872987,4.04395,6.005313,7.187515,7.732553,7.838346,7.899292,7.9632,8.0288
"2",4.346,0.0033,14.028591,9.682598,13.943794,0.0848,0.068,0.0028,0.014,3.881573,0.290886,6.18539,3.28461,0.301324,138.2657,95.95,171.6355,304.2194,269.5205,463.6816,82117.2266,72483.6406,11.3712,1.86,7.2086,8.9729,0.6724,10.7236,11.3891,0.5699,0.1849,5.12,0.431038,0.8136,0.116822,0.16818,0.127102,0.135761,0.009767,1.909723,4.110923,5.986773,7.272026,7.850155,7.948984,8.0038,8.062,8.1218
"3",11.0292,0,14.246399,3.217242,14.048017,0.1984,0.159,0.0067,0.0327,4.001474,0.291986,6.176991,3.276913,0.300639,127.7586,94.1391,164.7694,312.6644,270.3876,464.1797,82111.6016,72483.6406,10.5071,1.8107,6.8661,9.1981,0.6712,10.6494,11.299,0.5654,0.1846,5.2436,0.456751,0.7701,0.149346,0.108288,0.211196,0.13727,0.006617,1.952453,4.175825,5.934152,7.285047,7.913681,8.019095,8.075488,8.1333,8.1922
"4",30.9225,1.3652,22.791648,-8.130872,16.070059,6.7216,5.5394,0.3004,0.8818,4.702285,0.335763,6.989578,3.702702,0.339736,118.7221,92.4708,158.6185,318.29,271.1323,464.9778,82104.5859,72484.9844,9.7191,1.8047,6.6972,11.0548,0.7893,12.3222,13.0552,0.6534,0.2171,6.2972,0.743873,1.1653,0.046551,0.466924,0.087195,0.189753,0.055628,1.702254,4.061999,5.739413,7.233536,8.013501,8.136705,8.19929,8.2606,8.3224
"5",70.4879,54.6154,70.047048,-0.44085,35.880564,34.1665,27.4948,1.9425,4.7291,10.663809,0.764889,15.51083,8.189451,0.751582,152.86,92.7296,160.2243,310.624,270.8635,466.9795,82084.2109,72493.2812,10.3056,1.7761,6.5326,24.7657,1.7763,27.0153,28.5274,1.428,0.4885,14.1096,1.842983,2.696,0.383112,0.520118,0.62609,0.696772,0.026418,1.034084,3.404005,4.689748,6.353016,8.145419,8.413347,8.545979,8.647198,8.726
"6",111.0942,53.0956,111.852943,0.758744,54.80551,57.0474,45.0366,3.4303,8.5805,15.796193,1.177698,24.040359,12.631467,1.1598,172.4248,95.0054,169.7462,293.6804,269.6111,469.049,82051.7734,72508.3594,13.214,1.7874,6.7317,37.159,2.7711,42.4279,44.5845,2.2329,0.762,21.1995,2.771123,4.7815,0.603268,0.919647,0.896427,0.955042,0.162344,1.407882,3.595378,4.644059,6.187056,8.314157,8.684532,8.87191,9.0216,9.1407
"7",152.7026,61.5229,162.245358,9.542789,84.915551,77.3298,59.3438,5.1218,12.8642,23.014799,1.861735,38.203462,19.998046,1.837512,188.9003,99.2744,186.9443,259.8144,266.6941,469.5122,82000.0312,72523.4766,14.2862,1.8833,7.4112,55.8502,4.5186,69.5422,72.8055,3.6489,1.2426,31.9602,6.569225,10.0355,0.603399,3.235599,1.725807,1.60781,0.276475,2.275896,4.905514,5.682392,6.731032,9.035573,9.407104,9.590585,9.7465,9.8775
"8",149.2716,56.2078,161.741687,12.470131,80.356106,81.3856,64.2607,5.2618,11.8632,19.774841,1.77417,37.383776,19.61912,1.804205,201.525,102.9325,201.3411,235.5636,264.048,466.3732,81949.2031,72537.9062,15.4791,1.9625,8.0863,48.1105,4.315,68.1838,71.5642,3.5897,1.1866,27.6474,7.466175,9.9004,0.513747,3.233772,2.434991,1.797415,0.018516,1.805854,4.792434,5.561515,6.575984,9.11694,9.498302,9.6756,9.8328,9.9713
"9",97.5866,27.1,122.571681,24.985021,50.109067,72.4626,61.038,4.199,7.2257,11.602554,1.097583,23.725169,12.53065,1.153118,199.102,103.8602,204.6568,232.5846,263.033,463.4081,81918.2031,72550.2656,15.9731,1.7824,7.5243,26.7436,2.5298,41.0045,43.313,2.1741,0.6957,15.4047,3.061174,3.7716,0.828323,0.125214,1.849022,1.086936,0.006047,0.747156,3.570927,4.434534,5.6994,8.230295,8.643455,8.839796,9.015,9.1709
"10",56.1615,15.9824,89.396455,33.234998,32.831498,56.5649,49.1466,2.8369,4.5814,7.618983,0.710992,15.510791,8.232764,0.757961,191.5259,103.6132,203.2476,238.7785,262.9728,461.5907,81897.4922,72557.8984,15.5673,1.8452,7.8025,17.4522,1.6286,26.6479,28.2884,1.4206,0.4479,10.0466,1.737563,2.2796,0.553318,0.153889,0.868816,0.714866,0.008428,0.690028,3.270672,4.205509,5.544048,7.648485,8.038148,8.2258,8.3927,8.5398
