"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4727,0,14.4159715,13.9433055,14.145178,0.2708,0.2178,0.0128,0.0402,3.8695945,0.288464,6.338048,3.342333,0.3067435,154.776,164.2445,179.9394,300.1427,263.655,466.7827,82108.6719,72504.6484,12.7291,1.9125,7.5959,8.932,0.6659,10.9726,11.5727,0.5793,0.1831,5.0957,0.389563,0.8306,0.15187,0.1254075,0.1332025,0.1309535,0.0088985,1.862604,3.996931,5.94729,7.1751775,7.734716,7.84315,7.9045475,7.9686,8.0343
"2",4.4378,0.0033,14.153368,9.7156125,14.070529,0.0828,0.0654,0.0043,0.0131,3.9612435,0.285736,6.2356845,3.2862495,0.3016135,143.0157,162.3609,172.6776,310.2885,264.596,467.142,82103.0469,72504.6484,11.7618,1.8838,7.263,9.164,0.661,10.819,11.4034,0.5709,0.1818,5.222,0.441585,0.8261,0.113959,0.1770895,0.1294605,0.1350365,0.0100675,1.9020855,4.0807625,5.9160965,7.258439,7.852734,7.9535865,8.0088,8.067,8.1269
"3",11.2603,0,14.438301,3.178007,14.241432,0.1969,0.1551,0.0107,0.031,4.102712,0.288154,6.2551305,3.2931605,0.3022725,132.1477,160.5043,165.7308,318.9479,265.5104,467.6589,82097.4219,72504.6484,10.8681,1.8559,6.9467,9.4367,0.6628,10.7908,11.3621,0.5689,0.1823,5.3725,0.456979,0.7869,0.150646,0.114026,0.206077,0.136877,0.0069895,1.9546395,4.157431,5.889128,7.2750935,7.917775,8.0250695,8.081771,8.1397,8.1987
"4",31.5927,1.1591,21.895591,-9.6971155,16.2455695,5.65,4.5109,0.3702,0.769,4.807312,0.330459,7.0572285,3.7100095,0.340559,122.6755,158.7632,159.4419,324.7341,266.3126,468.4831,82090.4062,72505.9922,10.0516,1.8576,6.752,11.3018,0.7769,12.4417,13.0813,0.655,0.2136,6.4296,0.764306,1.1825,0.046436,0.4753005,0.0923615,0.196648,0.0554385,1.659135,4.039739,5.7016495,7.216585,8.017824,8.142654,8.205514,8.2669,8.3288
"5",72.0956,57.708,70.6975335,-1.398137,36.352753,34.3448,26.8665,2.4954,4.9829,10.9257205,0.7546105,15.6947645,8.222674,0.754985,159.414,158.9814,161.0731,316.8997,266.1229,470.5529,82070,72514.4062,10.6866,1.838,6.5937,25.3968,1.754,27.3602,28.6688,1.4358,0.4824,14.4506,1.9424585,2.7983,0.381689,0.574185,0.6231915,0.745079,0.0339675,0.9337225,3.2270185,4.4804955,6.2379735,8.1522965,8.426973,8.559916,8.6611255,8.7401
"6",113.8627,55.8771,113.954067,0.0912985,55.7023485,58.2517,45.0201,3.9606,9.271,16.234861,1.165917,24.408485,12.724224,1.1688715,180.2571,161.3779,171.2068,299.5745,264.9478,472.7074,82037.2109,72529.8438,13.8133,1.8471,6.8419,38.2608,2.7484,43.1556,44.9934,2.2545,0.7558,21.7992,2.942326,4.9949,0.6145735,1.026547,0.918545,0.9972335,0.1613895,1.3205105,3.436193,4.4585645,6.09186,8.329926,8.7103955,8.898024,9.0474245,9.1664
"7",156.2705,62.7699,164.1212945,7.850777,85.600479,78.5208,59.7818,5.3707,13.3683,23.4693175,1.8286495,38.4821725,19.9833035,1.837027,196.7341,165.7486,188.8203,265.1728,262.1184,473.2227,81985.5391,72545.0234,14.9079,1.906,7.4947,57.0894,4.4487,70.2127,72.9213,3.6565,1.2234,32.6226,6.7966085,10.2929,0.530711,3.4412875,1.6998055,1.6555165,0.2767015,2.214733,4.8194365,5.590812,6.689874,9.059229,9.438479,9.621793,9.7770995,9.9076
"8",152.203,56.3627,163.9240385,11.7210425,80.9494555,82.9746,65.6639,5.3807,11.93,20.167478,1.7419815,37.6414,19.595692,1.8029055,208.838,169.4317,203.1909,240.5473,259.532,470.0674,81934.8359,72559.4688,16.0775,1.9535,8.1745,49.1715,4.2458,68.8002,71.6312,3.5948,1.1676,28.2119,7.675186,10.1135,0.446554,3.408424,2.4347305,1.8320275,0.0242295,1.796418,4.761344,5.5296175,6.5646645,9.144061,9.5302475,9.7071105,9.8635,10.0013
"9",99.2849,27.2149,126.1116205,26.8267835,51.703368,74.4082,62.7731,4.3455,7.2898,12.117791,1.1042285,24.4760505,12.82457,1.180724,205.9139,170.3479,206.2692,237.1187,258.5123,466.9802,81903.5703,72572.1875,16.5315,1.8056,7.8077,28.0387,2.5549,42.468,44.5029,2.2349,0.7026,16.1239,3.264189,4.0701,0.7700065,0.09859,1.9900765,1.1755235,0.0056785,0.852939,3.6161815,4.4425365,5.7152365,8.2829085,8.698863,8.8936525,9.0669925,9.2207
"10",57.1184,16.0787,92.0520695,34.9336125,33.9998565,58.0522,50.1903,3.0933,4.7685,7.9790425,0.718169,16.0633285,8.460054,0.77926,197.866,170.0767,204.5609,243.2055,258.4517,465.0653,81882.4219,72580.3828,16.0873,1.8791,8.1398,18.4211,1.658,27.8128,29.2964,1.4719,0.4559,10.5875,2.05337,2.5617,0.4186325,0.1728425,1.0593255,0.821201,0.0138405,0.682467,3.2755375,4.1840255,5.539855,7.7007855,8.0936065,8.2797965,8.444602,8.5908
