"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4727,0,14.41467,13.94201,14.14387,0.2708,0.2178,0.0128,0.0402,3.86923,0.28844,6.33746,3.34203,0.30672,154.776,164.2445,179.9394,300.1427,263.655,466.7827,82108.6719,72504.6484,12.7291,1.9125,7.5959,8.932,0.6659,10.9726,11.5727,0.5793,0.1831,5.0957,0,0,0,0,0.39203,0.8306,0.15105,0.12455,0.137,0.13047,0.00888,1.85031,3.98962,5.93125,7.17206,7.73447,7.84311,7.90454,7.9686,8.0343
"2",4.4378,0.0033,14.15379,9.71604,14.07096,0.0828,0.0654,0.0043,0.0131,3.96134,0.28574,6.23589,3.28636,0.30162,143.0157,162.3609,172.6776,310.2885,264.596,467.142,82103.0469,72504.6484,11.7618,1.8838,7.263,9.164,0.661,10.819,11.4034,0.5709,0.1818,5.222,0.0016,0.0013,3e-04,0,0.43869,0.8261,0.11441,0.17769,0.12597,0.13502,0.01025,1.91889,4.0558,5.88889,7.25347,7.85235,7.95355,8.0088,8.067,8.1269
"3",11.2603,0,14.43853,3.17823,14.24166,0.1969,0.1551,0.0107,0.031,4.10277,0.28816,6.25523,3.29323,0.30227,132.1477,160.5043,165.7308,318.9479,265.5104,467.6589,82097.4219,72504.6484,10.8681,1.8559,6.9467,9.4367,0.6628,10.7908,11.3621,0.5689,0.1823,5.3725,0,0,0,0,0.45605,0.7869,0.15041,0.11387,0.20482,0.13735,0.00715,1.98336,4.14252,5.85579,7.26762,7.91718,8.025,8.08176,8.1397,8.1987
"4",31.5927,1.1591,21.89519,-9.69754,16.24513,5.65,4.5109,0.3702,0.769,4.80719,0.33046,7.05704,3.70991,0.34056,122.6755,158.7632,159.4419,324.7341,266.3126,468.4831,82090.4062,72505.9922,10.0516,1.8576,6.752,11.3018,0.7769,12.4417,13.0813,0.655,0.2136,6.4296,0.5795,0.4636,0.1159,0,0.76671,1.1825,0.04607,0.4743,0.09582,0.19659,0.05457,1.6506,4.0288,5.68801,7.21071,8.0171,8.14259,8.2055,8.2669,8.3288
"5",72.0956,57.708,70.69809,-1.39758,36.35329,34.3448,26.8665,2.4954,4.9829,10.92589,0.75462,15.69501,8.22281,0.75499,159.414,158.9814,161.0731,316.8997,266.1229,470.5529,82070,72514.4062,10.6866,1.838,6.5937,25.3968,1.754,27.3602,28.6688,1.4358,0.4824,14.4506,10.2816,8.2253,2.0563,37.1449,1.93614,2.7983,0.38197,0.57317,0.61761,0.74534,0.0339,0.94283,3.23592,4.49398,6.23872,8.15194,8.42693,8.55991,8.66112,8.7401
"6",113.8627,55.8771,113.9543,0.09155,55.70259,58.2517,45.0201,3.9606,9.271,16.23494,1.16593,24.40859,12.72429,1.16886,180.2571,161.3779,171.2068,299.5745,264.9478,472.7074,82037.2109,72529.8438,13.8133,1.8471,6.8419,38.2608,2.7484,43.1556,44.9934,2.2545,0.7558,21.7992,21.2201,16.9761,4.244,13.4368,2.9471,4.9949,0.61557,1.02604,0.92459,0.9965,0.16085,1.31664,3.44272,4.47003,6.09376,8.32995,8.71037,8.89801,9.04741,9.1664
"7",156.2705,62.7699,164.11929,7.84878,85.59849,78.5208,59.7818,5.3707,13.3683,23.46877,1.82862,38.4813,19.98283,1.837,196.7341,165.7486,188.8203,265.1728,262.1184,473.2227,81985.5391,72545.0234,14.9079,1.906,7.4947,57.0894,4.4487,70.2127,72.9213,3.6565,1.2234,32.6226,31.3849,25.108,6.277,0,6.77173,10.2929,0.53051,3.43682,1.6812,1.65372,0.2765,2.21543,4.81882,5.59692,6.69203,9.05941,9.43851,9.6218,9.7771,9.9076
"8",152.203,56.3627,163.92544,11.72246,80.95088,82.9746,65.6639,5.3807,11.93,20.16781,1.74201,37.64206,19.59603,1.80292,208.838,169.4317,203.1909,240.5473,259.532,470.0674,81934.8359,72559.4688,16.0775,1.9535,8.1745,49.1715,4.2458,68.8002,71.6312,3.5948,1.1676,28.2119,28.1814,22.5451,5.6363,0,7.67943,10.1135,0.44679,3.41332,2.43289,1.83322,0.02435,1.79746,4.76159,5.52999,6.565,9.14419,9.53027,9.7071,9.8635,10.0013
"9",99.2849,27.2149,126.11683,26.832,51.70858,74.4082,62.7731,4.3455,7.2898,12.119,1.10432,24.47853,12.82586,1.18084,205.9139,170.3479,206.2692,237.1187,258.5123,466.9802,81903.5703,72572.1875,16.5315,1.8056,7.8077,28.0387,2.5549,42.468,44.5029,2.2349,0.7026,16.1239,13.6074,10.886,2.7215,0,3.26558,4.0701,0.77433,0.09951,1.98968,1.1764,0.00589,0.85748,3.61758,4.44358,5.71542,8.28297,8.69888,8.89365,9.06698,9.2207
"10",57.1184,16.0787,92.05766,34.93923,34.00545,58.0522,50.1903,3.0933,4.7685,7.98037,0.71828,16.06596,8.46143,0.7794,197.866,170.0767,204.5609,243.2055,258.4517,465.0653,81882.4219,72580.3828,16.0873,1.8791,8.1398,18.4211,1.658,27.8128,29.2964,1.4719,0.4559,10.5875,8.0393,6.4315,1.6079,0,2.0378,2.5617,0.42243,0.17435,1.04044,0.82302,0.01396,0.68906,3.28025,4.18661,5.54044,7.70084,8.0936,8.2798,8.4446,8.5908
"11",13.4874,0.025,48.74601,35.2586,18.65146,30.0946,26.4287,1.3668,2.299,4.43624,0.3845,8.77088,4.63296,0.42688,182.8415,168.1761,196.5127,256.375,259.1853,464.1414,81872.3672,72584.0625,15.037,1.9031,8.0583,10.2112,0.885,15.1413,15.9959,0.8039,0.2434,5.8596,0.0125,0.01,0.0025,0,1.07438,1.2547,0.20144,0.10768,0.58101,0.38571,0.00748,1.02084,3.72101,4.97097,6.15874,7.39261,7.67351,7.8122,7.944,8.0686
