 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
      1,         0.0000,         0.6339,         0.6339,         0.0000,         0.2928,       145.7156,        63.9457,       199.7332,       119.5409,       300.0215,       350.0107,         0.3411,     86557.6250,     71120.0000
      2,         0.0047,         0.5426,         0.5473,         0.0000,         0.1941,       145.3322,        63.8890,       199.4551,       120.0878,       300.0441,       350.0222,         0.3532,     86557.2500,     71120.0000
      3,         0.0005,         0.4630,         0.4636,         0.0000,         0.1139,       144.9498,        63.8324,       199.1774,       120.6345,       300.0673,       350.0337,         0.3497,     86556.8750,     71120.0000
      4,         0.0079,         0.4893,         0.4972,         0.0000,         0.1462,       144.5685,        63.7758,       198.9001,       121.1787,       300.0901,       350.0455,         0.3510,     86556.5000,     71120.0000
      5,         0.0130,         0.6287,         0.6417,         0.0000,         0.2862,       144.1881,        63.7193,       198.6232,       121.7194,       300.1128,       350.0581,         0.3554,     86556.1250,     71120.0000
      6,         0.0031,         0.5483,         0.5514,         0.0000,         0.1980,       143.8087,        63.6628,       198.3468,       122.2590,       300.1354,       350.0706,         0.3534,     86555.7500,     71120.0000
      7,         0.0013,         0.6365,         0.6379,         0.0000,         0.2818,       143.4304,        63.6064,       198.0708,       122.7958,       300.1573,       350.0835,         0.3561,     86555.3750,     71120.0000
      8,         0.0067,         0.5474,         0.5541,         0.0000,         0.1997,       143.0530,        63.5501,       197.7952,       123.3313,       300.1793,       350.0969,         0.3544,     86555.0000,     71120.0000
      9,         0.0124,         0.5081,         0.5204,         0.0000,         0.1681,       142.6766,        63.4939,       197.5200,       123.8660,       300.2016,       350.1102,         0.3524,     86554.6250,     71120.0000
     10,         0.0135,         0.6407,         0.6541,         0.0000,         0.2990,       142.3013,        63.4376,       197.2452,       124.3977,       300.2236,       350.1241,         0.3551,     86554.2500,     71120.0000
     11,         0.0350,         0.7777,         0.8126,         0.0000,         0.4546,       141.9268,        63.3815,       196.9709,       124.9263,       300.2455,       350.1383,         0.3580,     86553.8750,     71120.0000
     12,         0.0331,         0.7595,         0.7926,         0.0000,         0.4346,       141.5534,        63.3254,       196.6971,       125.4532,       300.2674,       350.1528,         0.3581,     86553.5000,     71120.0000
     13,         0.0234,         0.7839,         0.8073,         0.0000,         0.4487,       141.1810,        63.2694,       196.4236,       125.9779,       300.2894,       350.1677,         0.3586,     86553.1250,     71120.0000
     14,         0.0074,         0.7321,         0.7395,         0.0000,         0.3815,       140.8096,        63.2134,       196.1506,       126.5010,       300.3114,       350.1829,         0.3580,     86552.7500,     71120.0000
     15,         0.0056,         0.5773,         0.5829,         0.0000,         0.2269,       140.4391,        63.1574,       195.8779,       127.0231,       300.3334,       350.1982,         0.3559,     86552.3750,     71120.0000
     16,         0.0037,         0.5357,         0.5394,         0.0000,         0.1847,       140.0696,        63.1016,       195.6057,       127.5439,       300.3555,       350.2136,         0.3547,     86552.0000,     71120.0000
     17,         0.0000,         0.7250,         0.7250,         0.0000,         0.3667,       139.7011,        63.0458,       195.3340,       128.0615,       300.3775,       350.2296,         0.3583,     86551.6250,     71120.0000
     18,         0.0045,         0.5461,         0.5505,         0.0000,         0.1945,       139.3335,        62.9900,       195.0627,       128.5780,       300.3995,       350.2457,         0.3561,     86551.2500,     71120.0000
