 day,simuCH4_d,pro_sum_d,oxi_sum_d,fdifu1_d,ebu_sum_sat_d,pla_sum_d,CH4V1,CH4V2,CH4V3,CH4V4,CH4V5,    CH4V6,CH4V7,CH4V8,CH4V9,CH4V10,ebu_sum_unsat_d,zwt
      1,         0.0083,         0.0281,         0.0047,         0.0042,         0.0000,         0.0040,         0.0089,         1.6304,         3.6405,         5.7329,         6.9590,         7.5589,         7.7082,         7.7925,         7.8727,         7.9471,         0.0000,       -48.0988
      2,         0.0219,         0.0277,         0.0049,         0.0045,         0.0134,         0.0040,         0.0094,         1.6355,         3.6464,         5.7428,         6.9696,         7.5650,         7.7118,         7.7947,         7.8741,         7.9483,         0.0000,       -48.4189
      3,         0.0077,         0.0256,         0.0040,         0.0036,         0.0000,         0.0040,         0.0078,         1.6396,         3.6520,         5.7522,         6.9805,         7.5715,         7.7157,         7.7974,         7.8761,         7.9500,         0.0000,       -48.6588
      4,         0.0104,         0.0271,         0.0047,         0.0043,         0.0020,         0.0041,         0.0090,         1.6435,         3.6583,         5.7612,         6.9908,         7.5778,         7.7197,         7.8002,         7.8781,         7.9518,         0.0000,       -48.8626
      5,         0.0136,         0.0278,         0.0049,         0.0044,         0.0051,         0.0041,         0.0093,         1.6480,         3.6680,         5.7697,         7.0001,         7.5837,         7.7234,         7.8027,         7.8799,         7.9532,         0.0000,       -49.0667
      6,         0.0085,         0.0275,         0.0049,         0.0044,         0.0000,         0.0041,         0.0092,         1.6523,         3.6836,         5.7780,         7.0092,         7.5897,         7.7272,         7.8054,         7.8818,         7.9548,         0.0000,       -49.2285
      7,         0.0085,         0.0277,         0.0049,         0.0044,         0.0000,         0.0041,         0.0092,         1.6567,         3.6925,         5.7860,         7.0177,         7.5954,         7.7309,         7.8080,         7.8838,         7.9564,         0.0000,       -49.3761
      8,         0.0198,         0.0274,         0.0053,         0.0049,         0.0108,         0.0041,         0.0107,         1.6637,         3.6977,         5.7937,         7.0261,         7.6012,         7.7348,         7.8108,         7.8858,         7.9581,         0.0000,       -49.6162
      9,         0.0144,         0.0257,         0.0055,         0.0051,         0.0052,         0.0041,         0.0116,         1.6852,         3.7029,         5.8009,         7.0346,         7.6073,         7.7389,         7.8139,         7.8883,         7.9602,         0.0000,       -49.8306
     10,         0.0089,         0.0273,         0.0050,         0.0045,         0.0003,         0.0042,         0.0094,         1.7063,         3.7085,         5.8076,         7.0425,         7.6131,         7.7429,         7.8169,         7.8906,         7.9622,         0.0000,       -50.0136
     11,         0.0086,         0.0276,         0.0050,         0.0043,         0.0001,         0.0042,         0.0092,         1.7123,         3.7144,         5.8140,         7.0496,         7.6184,         7.7465,         7.8197,         7.8927,         7.9639,         0.0000,       -50.1578
     12,         0.0113,         0.0275,         0.0050,         0.0043,         0.0028,         0.0042,         0.0091,         1.7137,         3.7208,         5.8201,         7.0565,         7.6238,         7.7502,         7.8224,         7.8948,         7.9657,         0.0000,       -50.3431
     13,         0.0113,         0.0275,         0.0050,         0.0043,         0.0028,         0.0042,         0.0091,         1.7151,         3.7291,         5.8258,         7.0631,         7.6290,         7.7538,         7.8252,         7.8970,         7.9675,         0.0000,       -50.5595
     14,         0.0115,         0.0273,         0.0050,         0.0043,         0.0030,         0.0042,         0.0091,         1.7187,         3.7353,         5.8312,         7.0697,         7.6343,         7.7576,         7.8280,         7.8992,         7.9695,         0.0000,       -50.6957
     15,         0.0171,         0.0270,         0.0049,         0.0043,         0.0086,         0.0042,         0.0090,         1.7300,         3.7427,         5.8364,         7.0762,         7.6397,         7.7614,         7.8311,         7.9017,         7.9716,         0.0000,       -50.8317
     16,         0.0142,         0.0263,         0.0047,         0.0040,         0.0060,         0.0042,         0.0085,         1.7467,         3.7480,         5.8414,         7.0831,         7.6454,         7.7656,         7.8344,         7.9045,         7.9741,         0.0000,       -51.0424
     17,         0.0085,         0.0271,         0.0050,         0.0042,         0.0001,         0.0042,         0.0090,         1.7510,         3.7535,         5.8462,         7.0891,         7.6506,         7.7695,         7.8375,         7.9071,         7.9763,         0.0000,       -51.2358
     18,         0.0199,         0.0266,         0.0049,         0.0041,         0.0115,         0.0042,         0.0089,         1.7503,         3.7589,         5.8506,         7.0950,         7.6558,         7.7734,         7.8407,         7.9097,         7.9787,         0.0000,       -51.4623
     19,         0.0146,         0.0267,         0.0048,         0.0041,         0.0063,         0.0042,         0.0087,         1.7493,         3.7640,         5.8547,         7.1010,         7.6611,         7.7775,         7.8441,         7.9126,         7.9812,         0.0000,       -51.6985
     20,         0.0082,         0.0257,         0.0047,         0.0039,         0.0000,         0.0042,         0.0084,         1.7484,         3.7690,         5.8587,         7.1068,         7.6664,         7.7815,         7.8475,         7.9155,         7.9838,         0.0000,       -51.9287
     21,         0.0066,         0.0227,         0.0030,         0.0024,         0.0000,         0.0042,         0.0056,         1.7466,         3.7735,         5.8625,         7.1132,         7.6721,         7.7861,         7.8514,         7.9190,         7.9870,         0.0000,       -52.1269
     22,         0.0158,         0.0231,         0.0037,         0.0029,         0.0086,         0.0042,         0.0067,         1.7452,         3.7786,         5.8659,         7.1190,         7.6775,         7.7905,         7.8552,         7.9222,         7.9899,         0.0000,       -52.3093
     23,         0.0067,         0.0231,         0.0032,         0.0025,         0.0000,         0.0042,         0.0058,         1.7439,         3.7870,         5.8693,         7.1247,         7.6829,         7.7949,         7.8590,         7.9256,         7.9930,         0.0000,       -52.5381
     24,         0.0095,         0.0266,         0.0050,         0.0041,         0.0012,         0.0042,         0.0088,         1.7446,         3.7915,         5.8726,         7.1292,         7.6876,         7.7987,         7.8623,         7.9284,         7.9954,         0.0000,       -52.7455
     25,         0.0110,         0.0266,         0.0053,         0.0044,         0.0024,         0.0043,         0.0096,         1.7490,         3.7972,         5.8755,         7.1334,         7.6922,         7.8024,         7.8654,         7.9311,         7.9978,         0.0000,       -52.8632
     26,         0.0159,         0.0267,         0.0053,         0.0043,         0.0073,         0.0043,         0.0094,         1.7511,         3.8130,         5.8785,         7.1374,         7.6966,         7.8059,         7.8684,         7.9337,         8.0001,         0.0000,       -52.9940
     27,         0.0120,         0.0267,         0.0054,         0.0044,         0.0033,         0.0043,         0.0099,         1.7564,         3.8275,         5.8815,         7.1412,         7.7009,         7.8094,         7.8713,         7.9362,         8.0023,         0.0000,       -53.1340
     28,         0.0098,         0.0266,         0.0056,         0.0046,         0.0009,         0.0043,         0.0101,         1.7618,         3.8333,         5.8843,         7.1450,         7.7052,         7.8129,         7.8743,         7.9388,         8.0047,         0.0000,       -53.2821
     29,         0.0126,         0.0265,         0.0050,         0.0040,         0.0043,         0.0043,         0.0086,         1.7632,         3.8388,         5.8869,         7.1488,         7.7095,         7.8164,         7.8774,         7.9415,         8.0071,         0.0000,       -53.3887
     30,         0.0117,         0.0262,         0.0049,         0.0039,         0.0034,         0.0043,         0.0085,         1.7684,         3.8523,         5.8893,         7.1529,         7.7139,         7.8201,         7.8806,         7.9444,         8.0098,         0.0000,       -53.5222
     31,         0.0082,         0.0260,         0.0049,         0.0039,         0.0000,         0.0043,         0.0084,         1.7677,         3.8713,         5.8918,         7.1570,         7.7184,         7.8240,         7.8840,         7.9474,         8.0126,         0.0000,       -53.7897
     32,         0.0243,         0.0239,         0.0039,         0.0030,         0.0170,         0.0043,         0.0067,         1.7677,         3.8872,         5.8942,         7.1612,         7.7230,         7.8279,         7.8876,         7.9507,         8.0155,         0.0000,       -54.1156
     33,         0.0143,         0.0228,         0.0034,         0.0025,         0.0075,         0.0043,         0.0059,         1.7693,         3.8994,         5.8968,         7.1654,         7.7277,         7.8320,         7.8913,         7.9541,         8.0187,         0.0000,       -54.5227
     34,         0.0082,         0.0259,         0.0049,         0.0037,         0.0001,         0.0043,         0.0081,         1.7689,         3.9035,         5.8992,         7.1688,         7.7319,         7.8357,         7.8946,         7.9571,         8.0214,         0.0000,       -55.1333
     35,         0.0117,         0.0261,         0.0049,         0.0037,         0.0037,         0.0043,         0.0081,         1.7693,         3.9044,         5.9012,         7.1717,         7.7357,         7.8391,         7.8977,         7.9598,         8.0239,         0.0000,       -55.4209
     36,         0.0119,         0.0261,         0.0049,         0.0037,         0.0039,         0.0043,         0.0081,         1.7719,         3.9054,         5.9031,         7.1743,         7.7394,         7.8423,         7.9006,         7.9624,         8.0262,         0.0000,       -55.5708
