 sdoy, GPP_d, NEE_d, Reco_d, QC1, GL_yr, QC2, GW_yr, QC3, GR_yr, QC678, pheno, LAI,NPP_d,Rh_d, Ra_d
      1,         0.0000,         0.5045,         0.5045,       110.4516,       443.4347,       188.2079,     82102.8594,       161.7119,       256.1041,    155025.6719,       136.0000,       265.1724,         0.0000,         0.4530,         0.0515
      2,         0.0038,         0.4728,         0.4766,       110.0740,       443.4373,       188.1445,     82102.6719,       161.4870,       256.4533,    155025.4844,       136.0000,       265.2031,         0.0000,         0.4497,         0.0268
      3,         0.0004,         0.4567,         0.4571,       109.6976,       443.4399,       188.0812,     82102.4844,       161.2624,       256.8044,    155025.2969,       136.0000,       265.2343,         0.0000,         0.4449,         0.0123
      4,         0.0065,         0.4519,         0.4584,       109.3226,       443.4424,       188.0179,     82102.2969,       161.0381,       257.1521,    155025.1250,       136.0000,       265.2653,         0.0000,         0.4462,         0.0122
      5,         0.0104,         0.4592,         0.4696,       108.9488,       443.4455,       187.9549,     82102.1094,       160.8141,       257.4951,    155024.9375,       136.0000,       265.2960,         0.0000,         0.4516,         0.0180
      6,         0.0024,         0.4544,         0.4569,       108.5763,       443.4487,       187.8919,     82101.9219,       160.5904,       257.8376,    155024.7500,       136.0000,       265.3269,         0.0000,         0.4488,         0.0081
      7,         0.0011,         0.4573,         0.4584,       108.2051,       443.4526,       187.8289,     82101.7344,       160.3671,       258.1766,    155024.5625,       136.0000,       265.3576,         0.0000,         0.4518,         0.0066
      8,         0.0053,         0.4458,         0.4511,       107.8351,       443.4563,       187.7659,     82101.5469,       160.1443,       258.5150,    155024.3750,       136.0000,       265.3884,         0.0000,         0.4496,         0.0016
      9,         0.0099,         0.4376,         0.4474,       107.4664,       443.4600,       187.7029,     82101.3594,       159.9218,       258.8539,    155024.1875,       136.0000,       265.4195,         0.0000,         0.4474,         0.0000
     10,         0.0107,         0.4386,         0.4493,       107.0990,       443.4639,       187.6399,     82101.1719,       159.6998,       259.1886,    155024.0000,       136.0000,       265.4504,         0.0000,         0.4493,         0.0000
     11,         0.0280,         0.4244,         0.4525,       106.7328,       443.4684,       187.5770,     82100.9844,       159.4783,       259.5192,    155023.8281,       136.0000,       265.4811,         0.0000,         0.4525,         0.0000
     12,         0.0264,         0.4258,         0.4522,       106.3679,       443.4731,       187.5141,     82100.7969,       159.2572,       259.8481,    155023.6562,       136.0000,       265.5119,         0.0000,         0.4522,         0.0000
     13,         0.0187,         0.4338,         0.4525,       106.0042,       443.4781,       187.4515,     82100.6094,       159.0365,       260.1748,    155023.4688,       136.0000,       265.5427,         0.0000,         0.4525,         0.0000
     14,         0.0058,         0.4455,         0.4513,       105.6418,       443.4834,       187.3888,     82100.4219,       158.8162,       260.5004,    155023.2812,       136.0000,       265.5734,         0.0000,         0.4513,         0.0000
     15,         0.0045,         0.4439,         0.4484,       105.2806,       443.4886,       187.3262,     82100.2344,       158.5963,       260.8256,    155023.0938,       136.0000,       265.6042,         0.0000,         0.4484,         0.0000
     16,         0.0029,         0.4435,         0.4464,       104.9206,       443.4939,       187.2636,     82100.0469,       158.3768,       261.1506,    155022.9062,       136.0000,       265.6354,         0.0000,         0.4464,         0.0000
     17,         0.0000,         0.4506,         0.4506,       104.5619,       443.4994,       187.2010,     82099.8594,       158.1577,       261.4707,    155022.7344,       136.0000,       265.6661,         0.0000,         0.4506,         0.0000
     18,         0.0035,         0.4439,         0.4475,       104.2044,       443.5051,       187.1384,     82099.6719,       157.9392,       261.7911,    155022.5625,       136.0000,       265.6968,         0.0000,         0.4475,         0.0000
     19,         0.0061,         0.4403,         0.4464,       103.8481,       443.5109,       187.0760,     82099.4844,       157.7210,       262.1101,    155022.3750,       136.0000,       265.7272,         0.0000,         0.4464,         0.0000
     20,         0.0019,         0.4426,         0.4446,       103.4930,       443.5169,       187.0137,     82099.2969,       157.5033,       262.4285,    155022.1875,       136.0000,       265.7576,         0.0000,         0.4446,         0.0000
     21,         0.0000,         0.4382,         0.4382,       103.1392,       443.5229,       186.9515,     82099.1094,       157.2860,       262.7496,    155022.0000,       136.0000,       265.7886,         0.0000,         0.4382,         0.0000
     22,         0.0027,         0.4393,         0.4420,       102.7865,       443.5294,       186.8892,     82098.9219,       157.0691,       263.0667,    155021.8281,       136.0000,       265.8192,         0.0000,         0.4420,         0.0000
     23,         0.0000,         0.4406,         0.4406,       102.4351,       443.5356,       186.8270,     82098.7344,       156.8527,       263.3828,    155021.6562,       136.0000,       265.8498,         0.0000,         0.4406,         0.0000
     24,         0.0024,         0.4451,         0.4475,       102.0849,       443.5425,       186.7647,     82098.5469,       156.6367,       263.6920,    155021.4688,       136.0000,       265.8798,         0.0000,         0.4475,         0.0000
     25,         0.0163,         0.4319,         0.4482,       101.7358,       443.5493,       186.7026,     82098.3594,       156.4212,       263.9988,    155021.2812,       136.0000,       265.9098,         0.0000,         0.4482,         0.0000
     26,         0.0210,         0.4285,         0.4495,       101.3880,       443.5565,       186.6407,     82098.1719,       156.2060,       264.3031,    155021.0938,       136.0000,       265.9398,         0.0000,         0.4495,         0.0000
     27,         0.0371,         0.4132,         0.4503,       101.0414,       443.5638,       186.5788,     82097.9844,       155.9912,       264.6050,    155020.9219,       136.0000,       265.9699,         0.0000,         0.4503,         0.0000
     28,         0.0057,         0.4441,         0.4498,       100.6959,       443.5713,       186.5169,     82097.7969,       155.7768,       264.9056,    155020.7500,       136.0000,       265.9999,         0.0000,         0.4498,         0.0000
     29,         0.0112,         0.4375,         0.4487,       100.3516,       443.5789,       186.4550,     82097.6094,       155.5628,       265.2044,    155020.5625,       136.0000,       266.0299,         0.0000,         0.4487,         0.0000
     30,         0.0075,         0.4376,         0.4451,       100.0085,       443.5868,       186.3931,     82097.4219,       155.3492,       265.5040,    155020.3750,       136.0000,       266.0605,         0.0000,         0.4451,         0.0000
     31,         0.0027,         0.4407,         0.4434,        99.6666,       443.5948,       186.3313,     82097.2344,       155.1360,       265.8026,    155020.2031,       136.0000,       266.0912,         0.0000,         0.4434,         0.0000
     32,         0.0060,         0.4364,         0.4425,        99.3258,       443.6032,       186.2696,     82097.0469,       154.9234,       266.1008,    155020.0312,       136.0000,       266.1219,         0.0000,         0.4425,         0.0000
     33,         0.0110,         0.4290,         0.4400,        98.9862,       443.6114,       186.2080,     82096.8594,       154.7111,       266.3988,    155019.8438,       136.0000,       266.1524,         0.0000,         0.4400,         0.0000
     34,         0.0360,         0.4083,         0.4444,        98.6478,       443.6199,       186.1465,     82096.6719,       154.4996,       266.6916,    155019.6562,       136.0000,       266.1821,         0.0000,         0.4443,         0.0000
     35,         0.0604,         0.3863,         0.4467,        98.3105,       443.6285,       186.0850,     82096.4844,       154.2885,       266.9807,    155019.4844,       136.0000,       266.2117,         0.0000,         0.4467,         0.0000
     36,         0.0918,         0.3558,         0.4477,        97.9743,       443.6374,       186.0236,     82096.2969,       154.0778,       267.2675,    155019.3125,       136.0000,       266.2411,         0.0000,         0.4477,         0.0000
     37,         0.0450,         0.4015,         0.4465,        97.6394,       443.6464,       185.9624,     82096.1094,       153.8676,       267.5533,    155019.1250,       136.0000,       266.2709,         0.0000,         0.4465,         0.0000
     38,         0.0048,         0.4359,         0.4406,        97.3055,       443.6557,       185.9012,     82095.9219,       153.6579,       267.8407,    155018.9531,       136.0000,       266.3009,         0.0000,         0.4406,         0.0000
     39,         0.0160,         0.4228,         0.4389,        96.9728,       443.6647,       185.8401,     82095.7344,       153.4489,       268.1286,    155018.7812,       136.0000,       266.3311,         0.0000,         0.4389,         0.0000
     40,         0.0087,         0.4295,         0.4382,        96.6413,       443.6736,       185.7791,     82095.5469,       153.2404,       268.4148,    155018.5938,       136.0000,       266.3615,         0.0000,         0.4382,         0.0000
     41,         0.0134,         0.4196,         0.4330,        96.3109,       443.6828,       185.7183,     82095.3594,       153.0325,       268.7018,    155018.4062,       136.0000,       266.3919,         0.0000,         0.4330,         0.0000
     42,         0.0321,         0.4031,         0.4352,        95.9816,       443.6922,       185.6575,     82095.1719,       152.8250,       268.9851,    155018.2500,       136.0000,       266.4222,         0.0000,         0.4352,         0.0000
     43,         0.0758,         0.3623,         0.4381,        95.6534,       443.7017,       185.5967,     82094.9844,       152.6181,       269.2650,    155018.0625,       136.0000,       266.4518,         0.0000,         0.4381,         0.0000
     44,         0.2954,         0.1509,         0.4463,        95.3264,       443.7119,       185.5355,     82094.7969,       152.4099,       269.5391,    155017.8750,       136.0000,       266.4813,         0.0000,         0.4451,         0.0012
     45,         0.1260,         0.3180,         0.4440,        95.0005,       443.7231,       185.4732,     82094.6094,       152.1979,       269.8095,    155017.7188,       136.0000,       266.5113,         0.0000,         0.4440,         0.0000
     46,         0.2693,         0.1766,         0.4458,        94.6756,       443.7343,       185.4110,     82094.4219,       151.9863,       270.0778,    155017.5312,       136.0000,       266.5412,         0.0000,         0.4451,         0.0007
     47,         0.7294,        -0.2731,         0.4563,        94.3528,       443.7454,       185.3496,     82094.2344,       151.7750,       270.3444,    155017.3438,       136.0000,       266.5711,         0.0017,         0.4452,         0.0111
     48,         0.1958,         0.2553,         0.4512,        94.0302,       443.7569,       185.2873,     82094.0469,       151.5641,       270.6086,    155017.1875,       136.0000,       266.6011,         0.0000,         0.4462,         0.0050
