 month,GPP_m,NPP_m,Reco_m,NEE_m,Rh_m,Ra_m,RLEAV_m, RWOOD_m,RROOT_m,Rh4_m,Rh5_m,Rh6_m,Rh7_m,Rh8_m,pheno,NSC_yr,add_yr,store_yr, QC(1),QC(2),QC(3),QC(4),QC(5),QC(6),QC(7),QC(8), wcl(1),wcl(2),wcl(3),zwt,thawd,snowd,  ch4emission,ch4pro,ch4oxi,ch4difu,ch4ebusat,ch4pla, ch4v1,ch4v2,ch4v3,ch4v4,ch4v5,ch4v6,ch4v7,ch4v8,ch4v9,ch4v10,unsatebu
      1,         0.0000,         0.0000,         1.0061,         1.0061,         0.9443,        -0.0618,         0.0470,         0.0021,         0.0128,         0.2473,         0.0194,         0.4264,         0.2300,         0.0211,       136.0000,        14.5875,         0.0000,         0.0733,       143.8878,        81.7272,       173.1028,       284.2967,       260.0237,       456.4522,     82135.0781,     72474.4219,         0.9257,         0.9477,         0.9483,       -54.7955,       150.0000,         0.2120,         0.0166,         0.0526,         0.0090,         0.0076,         0.0000,         0.0090,         0.0086,         1.8706,         4.0025,         5.9976,         7.1851,         7.7278,         7.8323,         7.8928,         7.9567,         8.0223,         0.0000
      2,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000
      3,         0.0000,         0.0000,         0.5923,         0.5923,         0.5904,        -0.0019,         0.0014,         0.0001,         0.0004,         0.1616,         0.0121,         0.2623,         0.1414,         0.0130,       136.0000,        14.5875,         0.0000,         0.0733,       132.6050,        79.8717,       165.8756,       294.0974,       260.9268,       456.7982,     82129.2656,     72474.4219,         0.9529,         0.9448,         0.9466,       -49.0280,       150.0000,         0.4940,         0.0135,         0.0340,         0.0047,         0.0077,         0.0000,         0.0058,         0.0064,         1.8742,         4.0724,         5.9720,         7.2707,         7.8495,         7.9477,         8.0023,         8.0602,         8.1199,         0.0000
      4,         0.0000,         0.0000,         0.5951,         0.5951,         0.5920,        -0.0031,         0.0023,         0.0001,         0.0007,         0.1659,         0.0121,         0.2607,         0.1404,         0.0129,       136.0000,        14.5875,         0.0000,         0.0733,       122.2057,        78.0767,       159.0191,       302.4156,       261.7792,       457.2996,     82123.4531,     72474.4219,         0.8980,         0.9415,         0.9444,       -61.7101,       150.0000,         0.5318,         0.0109,         0.0331,         0.0068,         0.0050,         0.0000,         0.0059,         0.0075,         1.9710,         4.1044,         5.8870,         7.2738,         7.9114,         8.0173,         8.0737,         8.1314,         8.1903,         0.0000
      5,         0.0000,         0.0000,         0.8828,         0.8828,         0.7267,        -0.1561,         0.1196,         0.0068,         0.0297,         0.2103,         0.0150,         0.3159,         0.1699,         0.0156,       136.0000,        14.5875,         0.0000,         0.0733,       113.1352,        76.3937,       152.7401,       307.4808,       262.4753,       458.1362,     82115.6484,     72476.3281,         0.9526,         0.9349,         0.9402,        13.2996,       150.0000,         0.0099,         0.0329,         0.0549,         0.0014,         0.0235,         0.0000,         0.0094,         0.0480,         1.5417,         3.9889,         5.6654,         7.1677,         8.0159,         8.1498,         8.2174,         8.2798,         8.3399,         0.0000
      6,         0.0000,         1.8219,         2.6940,         2.6940,         1.6679,        -1.0261,         0.8763,         0.0535,         0.0963,         0.4866,         0.0351,         0.7231,         0.3874,         0.0355,       129.0000,        14.5875,         0.0000,         0.0733,       152.5204,        76.9184,       155.3267,       298.0895,       262.0363,       460.2458,     82092.6641,     72485.4844,         0.9527,         0.9361,         0.9406,       -48.5306,       150.0000,         0.0000,         0.0619,         0.1262,         0.0206,         0.0218,         0.0089,         0.0312,         0.0271,         1.0909,         3.3434,         4.6760,         6.3185,         8.1469,         8.4314,         8.5737,         8.6829,         8.7677,         0.0000
      7,         0.0000,         1.3658,         4.4186,         4.4186,         2.4897,        -1.9290,         1.5471,         0.1265,         0.2554,         0.6994,         0.0529,         1.0982,         0.5855,         0.0537,       129.0000,        14.5875,         0.0000,         0.0733,       167.2776,        79.5587,       166.2210,       278.4588,       260.5318,       462.2649,     82056.3438,     72501.0312,         0.9525,         0.9315,         0.9378,        10.5509,       150.0000,         0.0000,         0.1227,         0.2382,         0.0194,         0.0648,         0.0142,         0.0437,         0.2481,         1.8239,         3.8509,         4.8863,         6.3274,         8.3998,         8.7699,         8.9594,         9.1125,         9.2359,         0.0000
      8,         0.0000,         1.8766,         6.3462,         6.3462,         3.6919,        -2.6543,         2.0454,         0.1953,         0.4135,         0.9623,         0.0798,         1.6766,         0.8913,         0.0819,       129.0000,        14.5875,         0.0000,         0.0733,       183.6470,        83.8142,       183.2924,       244.3665,       257.4807,       461.9145,     82000.7891,     72517.3281,         0.9525,         0.9324,         0.9383,        29.5636,       150.0000,         0.0000,         0.2422,         0.4386,         0.0291,         0.1377,         0.0335,         0.0710,         0.2879,         2.3727,         5.0987,         5.8657,         6.8162,         9.0924,         9.4571,         9.6384,         9.7948,         9.9275,         0.0000
      9,         0.0000,         1.2794,         5.8502,         5.8502,         3.2100,        -2.6402,         2.1281,         0.1882,         0.3240,         0.7610,         0.0698,         1.5030,         0.8023,         0.0738,       129.0000,        14.5875,         0.0000,         0.0733,       194.9488,        87.2353,       196.7211,       224.0131,       255.0833,       458.4401,     81950.7422,     72531.0859,         0.7908,         0.9351,         0.9401,       -79.5071,       150.0000,         0.0000,         0.2185,         0.3609,         0.0293,         0.0986,         0.0501,         0.0698,         0.0076,         1.7178,         4.6819,         5.4678,         6.4784,         8.9669,         9.3490,         9.5293,         9.6900,         9.8323,         0.0000
     10,         0.0000,         0.0000,         3.7613,         3.7613,         1.6819,        -2.0794,         1.7663,         0.1314,         0.1818,         0.3784,         0.0359,         0.7989,         0.4292,         0.0395,       129.0000,        14.5875,         0.0000,         0.0733,       190.3877,        87.7529,       198.4539,       226.1240,       254.5403,       455.9545,     81924.1484,     72542.0703,         0.6880,         0.7968,         0.9404,      -114.5788,       150.0000,         0.0000,         0.0517,         0.1115,         0.0330,         0.0032,         0.0143,         0.0341,         0.0547,         0.0336,         3.3260,         4.2733,         5.5797,         7.9507,         8.3537,         8.5492,         8.7262,         8.8857,         0.0053
