 year,LAI,gpp_yr,NPP_yr,Ra_yr,Rh_yr,    ET,rain_yr,transp_yr,evap_yr,runoff_yr,GL_yr,       GW_yr,GR_yr,Pool1,Pool2,Pool3,Pool4,Pool5,      Pool6,Pool7,Pool8,out1_yr,out2_yr,out3_yr,      out4_yr,out5_yr,out6_yr,out7_yr,out8_yr,        simuCH4_yr,Pro_sum_yr,Oxi_sum_yr,Fdifu1_yr,    Ebu_sum_unsat_yr,Ebu_sum_sat_yr,Pla_sum_yr
   2011,         1.1472,       661.8165,       285.3798,       456.3387,       350.0630,         0.0033,       647.3796,        57.9465,       364.8323,       379.8645,       172.6896,        22.5380,        90.1520,       167.9855,        95.7497,       193.4210,       167.8138,       299.5599,       363.0734,     86416.5000,     71149.8594,       161.5236,        25.0713,        93.8993,       165.7989,        24.5417,       270.1318,       383.0299,        17.8828,        13.1103,        31.6471,         3.0968,         6.9737,         0.0000,         0.0000,         6.1366,
   2012,         1.1181,       705.7831,       278.2887,       428.8141,       374.1005,         0.0004,       660.5292,        65.8837,       376.5623,       324.6351,       163.1197,        23.0338,        92.1351,       174.0569,        94.2703,       193.1570,       236.8220,       296.4476,       396.0276,     86114.7969,     71223.2109,       167.3625,        24.5213,        93.1429,       218.9536,        23.0406,       280.4103,       362.5367,        17.0018,        12.4509,        31.9115,         5.1167,         5.8755,         0.8795,         0.9358,         5.6397,
   2013,         1.1024,       589.2632,       260.2538,       331.7401,       373.7146,         0.0000,       586.8200,        50.3910,       294.1727,       348.0799,       154.2810,        21.1946,        84.7785,       162.8188,        91.1976,       185.8300,       271.8644,       295.3625,       427.6505,     85868.2422,     71297.6250,       156.5567,        24.6469,        93.2571,       234.7990,        21.5433,       283.7516,       338.8400,        15.9538,        19.7839,        32.2788,         3.6786,         6.9874,         0.0000,         6.5130,         6.2835,
   2011,         1.0875,       638.7214,       261.8373,       376.3147,       426.1362,         0.0031,       647.3796,        55.6151,       364.4857,       344.7543,       154.0275,        21.5620,        86.2479,       162.4393,        88.7105,       181.1673,       271.7790,       292.9485,       449.8091,     85615.4062,     71379.4609,       156.1920,        23.1419,        87.6234,       260.5844,        23.9650,       334.2739,       379.0082,        17.9168,        25.3214,        38.2574,         4.5799,         9.0550,         0.7475,         8.6215,         7.6448,
   2012,         1.0818,       685.6467,       273.8339,       411.7880,       409.7176,         0.0000,       660.5292,        63.7002,       374.8254,       325.5726,       159.4574,        22.8753,        91.5013,       166.7002,        88.4931,       184.3897,       267.3870,       288.9447,       458.3669,     85356.4609,     71453.9531,       160.2889,        22.9752,        88.7459,       245.0833,        22.4409,       323.0698,       359.1362,        17.0462,        21.3980,        34.8364,         6.2096,         7.1190,         1.4934,         7.2778,         7.0012,
   2013,         1.0801,       578.5511,       257.8672,       322.6442,       387.9111,         0.0000,       586.8200,        49.3244,       293.3727,       349.8877,       152.1468,        21.1441,        84.5765,       158.4873,        86.6753,       180.1562,       278.2329,       287.2821,       463.7421,     85123.9766,     71528.9844,       152.3919,        23.4272,        90.4188,       239.5950,        20.9523,       306.5365,       335.9338,        16.0059,        22.1235,        33.4717,         3.8503,         7.4209,         0.0000,         7.9216,         6.7810,
   2011,         1.0733,       631.4489,       260.1544,       370.1620,       431.2502,         0.0030,       647.3796,        54.8825,       364.0507,       345.2537,       152.5736,        21.5162,        86.0648,       159.7106,        85.2128,       177.5743,       270.6915,       284.6005,       467.1698,     84879.1016,     71607.6562,       153.5681,        22.2291,        85.8856,       259.3298,        23.2827,       346.4191,       375.7927,        17.9759,        25.8242,        38.7184,         4.6027,         9.2005,         0.7430,         8.9082,         7.7155,
   2012,         1.0734,       680.9805,       272.7810,       408.0415,       409.9247,         0.0000,       660.5292,        63.1974,       374.4703,       326.0203,       158.6631,        22.8236,        91.2944,       164.9986,        85.7435,       181.9894,       264.6363,       280.6018,       464.6673,     84633.1719,     71684.9688,       158.6527,        22.2642,        87.6039,       242.5260,        21.7944,       327.2169,       356.1085,        17.1029,        21.8486,        34.8535,         6.2256,         7.1235,         1.5859,         7.6852,         7.0399,
   2013,         1.0742,       575.8348,       257.0531,       320.6100,       386.1781,         0.0000,       586.8200,        49.0553,       293.1503,       350.1243,       151.4785,        21.1149,        84.4597,       157.4137,        84.5280,       178.5596,       275.5440,       279.0087,       464.7956,     84399.3516,     71755.7266,       151.3593,        22.8474,        89.6193,       237.2801,        20.3491,       307.0657,       333.0761,        16.0574,        22.2343,        33.3231,         3.8606,         7.4416,         0.0000,         8.0792,         6.7135,
   2011,         1.0688,       629.2407,       259.4606,       368.5627,       428.7194,         0.0029,       647.3796,        54.6610,       363.9263,       345.3478,       152.0056,        21.4911,        85.9644,       158.9087,        83.5466,       176.5169,       268.5906,       276.5261,       465.6693,     84162.2969,     71834.4922,       152.7967,        21.7938,        85.3750,       257.3304,        22.6230,       345.2280,       372.6025,        18.0339,        26.2009,        38.4789,         4.6552,         9.1797,         0.7231,         9.2936,         7.7276,
   2012,         1.0696,       678.9301,       272.1150,       406.3250,       407.2982,         0.0000,       660.5292,        62.9764,       374.3285,       326.1910,       158.1025,        22.8025,        91.2100,       164.3046,        84.4346,       181.2538,       263.0696,       272.8364,       462.0628,     83906.0312,     71911.0391,       157.9849,        21.9250,        87.2546,       241.0992,        21.1927,       325.3698,       353.0913,        17.1579,        21.7053,        34.6213,         6.2489,         7.1092,         1.5776,         7.5437,         7.0524,
   2013,         1.0717,       574.6970,       256.7221,       319.6266,       383.6393,         0.0000,       586.8200,        48.9422,       293.0543,       350.2265,       151.2245,        21.0996,        84.3983,       156.9534,        83.5069,       178.0508,       274.3121,       271.5545,       461.8305,     83681.5938,     71982.6406,       150.9166,        22.5716,        89.3651,       236.2306,        19.8064,       305.1001,       330.2445,        16.1083,        22.2233,        33.1024,         3.8132,         7.4014,         0.0000,         8.1034,         6.7185,
   2011,         1.0673,       628.5182,       259.2976,       368.0563,       426.0205,         0.0029,       647.3796,        54.5887,       363.8798,       345.3866,       151.8879,        21.4819,        85.9278,       158.6261,        82.7547,       176.1689,       267.7166,       269.4377,       462.6442,     83439.8594,     72064.6641,       152.5253,        21.5868,        85.2073,       256.5029,        22.0443,       342.9914,       369.4362,        18.0908,        25.9344,        38.2347,         4.6401,         9.1138,         0.7324,         9.1287,         7.6919,
   2012,         1.0686,       678.3601,       271.9644,       405.8557,       404.8207,         0.0000,       660.5292,        62.9154,       374.2870,       326.2415,       157.9774,        22.7974,        91.1897,       164.1062,        83.8165,       181.0140,       262.4883,       266.1467,       459.1475,     83198.0156,     72138.2656,       157.7943,        21.7645,        87.1406,       240.5731,        20.6739,       323.3274,       350.0907,        17.2118,        21.5553,        34.4146,         6.1964,         7.0488,         1.5887,         7.5197,         6.9867,
   2013,         1.0713,       574.4907,       256.7257,       319.4960,       381.5565,         0.0000,       586.8200,        48.9213,       293.0317,       350.2516,       151.2325,        21.0986,        84.3946,       156.8606,        83.0297,       177.8949,       273.9110,       265.2119,       459.0346,     82975.9062,     72209.6094,       150.8273,        22.4427,        89.2869,       235.8909,        19.3449,       303.2621,       327.4356,        16.1585,        21.9620,        32.9171,         3.8313,         7.3148,         0.0000,         7.9358,         6.7114,
   2011,         1.0671,       628.4064,       259.2861,       367.9334,       423.6795,         0.0029,       647.3796,        54.5775,       363.8730,       345.3938,       151.8739,        21.4825,        85.9298,       158.5860,        82.3906,       176.0737,       267.4783,       263.4720,       459.9785,     82734.4453,     72286.5391,       152.4866,        21.4914,        85.1613,       256.2774,        21.5571,       341.0287,       366.2959,        18.1470,        25.9913,        38.0308,         4.5450,         9.0620,         0.7286,         9.2756,         7.6536,
   2012,         1.0685,       678.3295,       271.9489,       405.9174,       402.7036,         0.0000,       660.5292,        62.9120,       374.2836,       326.2425,       157.9733,        22.7951,        91.1806,       164.0912,        83.5344,       180.9521,       262.3524,       260.5701,       456.6133,     82490.0391,     72362.0547,       157.7801,        21.6911,        87.1108,       240.4520,        20.2419,       321.5530,       347.1144,        17.2650,        21.4328,        34.2390,         6.1301,         6.9758,         1.5256,         7.5193,         6.9378,
   2013,         1.0706,       574.2240,       256.5269,       319.2925,       379.6943,         0.0000,       586.8200,        48.8953,       293.0203,       350.2631,       151.0557,        21.0943,        84.3771,       156.7785,        82.8104,       177.8478,       273.8110,       259.9858,       456.6050,     82261.4531,     72432.3281,       150.7488,        22.3834,        89.2635,       235.8055,        18.9650,       301.6648,       324.6523,        16.2082,        21.8841,        32.7563,         3.8105,         7.2787,         0.0000,         7.9218,         6.6835,
   2011,         1.0667,       628.2048,       259.2261,       367.8529,       421.6466,         0.0029,       647.3796,        54.5572,       363.8586,       345.4034,       151.8428,        21.4766,        85.9066,       158.5043,        82.2178,       176.0271,       267.3582,       258.5938,       457.6157,     82034.6797,     72506.5781,       152.4082,        21.4462,        85.1388,       256.1629,        21.1593,       339.2833,       363.1834,        18.2025,        25.7497,        37.8465,         4.5624,         9.0284,         0.7597,         9.1222,         7.5991,
   2012,         1.0679,       678.0679,       271.8158,       405.6964,       400.8607,         0.0000,       660.5292,        62.8838,       374.2658,       326.2636,       157.8729,        22.7886,        91.1545,       164.0057,        83.3955,       180.9028,       262.2388,       256.0414,       454.2917,     81783.2109,     72579.4219,       157.6975,        21.6551,        87.0877,       240.3476,        19.8910,       319.9184,       344.1657,        17.3177,        21.3480,        34.0747,         6.1483,         6.9749,         1.5478,         7.4194,         6.9537,
   2013,         1.0704,       574.1470,       256.5192,       319.2605,       377.8582,         0.0000,       586.8200,        48.8876,       293.0088,       350.2751,       151.0709,        21.0897,        84.3587,       156.7360,        82.6987,       177.8001,       273.6986,       255.7566,       454.3051,     81564.0547,     72649.7422,       150.7076,        22.3532,        89.2395,       235.7099,        18.6578,       300.1531,       321.8942,        16.2575,        21.8388,        32.6026,         3.7628,         7.2045,         0.0000,         8.0031,         6.6312,
   2014,         1.0626,       610.9624,       255.1302,       355.9120,       410.7367,         0.0000,       661.7982,        48.4697,       312.4109,       390.1090,       149.7580,        21.0745,        84.2981,       156.9281,        81.8277,       174.8253,       271.8988,       255.3000,       455.8085,     81342.2656,     72719.5625,       150.8926,        21.8273,        86.5635,       253.1002,        20.2889,       331.3967,       353.0921,        17.9010,        27.1143,        38.4806,         3.9018,         8.6161,         0.0000,        10.8185,         7.6797,
