 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
      1,         0.0000,         0.5432,         0.5432,         0.0000,         0.0770,       155.6759,        95.8455,       178.9346,       272.7189,       261.8951,       455.4794,         0.4662,     82109.1016,     72480.2422
      2,         0.0050,         0.4986,         0.5036,         0.0000,         0.0408,       155.2663,        95.7832,       178.6857,       273.1073,       261.9254,       455.4814,         0.4628,     82108.9141,     72480.2422
      3,         0.0006,         0.4764,         0.4770,         0.0000,         0.0192,       154.8578,        95.7210,       178.4372,       273.4973,       261.9559,       455.4835,         0.4578,     82108.7266,     72480.2422
      4,         0.0083,         0.4705,         0.4788,         0.0000,         0.0196,       154.4504,        95.6589,       178.1890,       273.8847,       261.9865,       455.4859,         0.4592,     82108.5391,     72480.2422
      5,         0.0137,         0.4811,         0.4948,         0.0000,         0.0301,       154.0440,        95.5968,       177.9413,       274.2666,       262.0168,       455.4885,         0.4647,     82108.3516,     72480.2422
      6,         0.0032,         0.4731,         0.4763,         0.0000,         0.0148,       153.6387,        95.5348,       177.6941,       274.6487,       262.0472,       455.4916,         0.4616,     82108.1641,     72480.2422
      7,         0.0014,         0.4771,         0.4785,         0.0000,         0.0142,       153.2345,        95.4729,       177.4474,       275.0273,       262.0772,       455.4944,         0.4644,     82107.9766,     72480.2422
      8,         0.0070,         0.4602,         0.4673,         0.0000,         0.0056,       152.8313,        95.4110,       177.2011,       275.4054,       262.1078,       455.4978,         0.4616,     82107.7891,     72480.2422
      9,         0.0130,         0.4463,         0.4593,         0.0000,         0.0009,       152.4292,        95.3492,       176.9554,       275.7843,       262.1384,       455.5014,         0.4584,     82107.6016,     72480.2422
     10,         0.0142,         0.4474,         0.4616,         0.0000,         0.0000,       152.0282,        95.2875,       176.7101,       276.1591,       262.1689,       455.5052,         0.4616,     82107.4141,     72480.2422
     11,         0.0367,         0.4283,         0.4650,         0.0000,         0.0000,       151.6282,        95.2259,       176.4654,       276.5297,       262.1988,       455.5093,         0.4650,     82107.2266,     72480.2422
     12,         0.0349,         0.4299,         0.4647,         0.0000,         0.0000,       151.2292,        95.1644,       176.2211,       276.8988,       262.2282,       455.5135,         0.4647,     82107.0391,     72480.2422
     13,         0.0246,         0.4404,         0.4650,         0.0000,         0.0000,       150.8313,        95.1029,       175.9773,       277.2660,       262.2575,       455.5179,         0.4650,     82106.8516,     72480.2422
     14,         0.0078,         0.4560,         0.4639,         0.0000,         0.0000,       150.4345,        95.0416,       175.7340,       277.6317,       262.2869,       455.5227,         0.4639,     82106.6641,     72480.2422
     15,         0.0059,         0.4552,         0.4611,         0.0000,         0.0000,       150.0387,        94.9802,       175.4911,       277.9977,       262.3168,       455.5280,         0.4611,     82106.4766,     72480.2422
     16,         0.0038,         0.4559,         0.4597,         0.0000,         0.0000,       149.6439,        94.9190,       175.2488,       278.3637,       262.3468,       455.5332,         0.4597,     82106.2891,     72480.2422
     17,         0.0000,         0.4635,         0.4635,         0.0000,         0.0000,       149.2502,        94.8578,       175.0069,       278.7247,       262.3766,       455.5387,         0.4635,     82106.1016,     72480.2422
     18,         0.0047,         0.4550,         0.4597,         0.0000,         0.0000,       148.8575,        94.7968,       174.7656,       279.0861,       262.4066,       455.5446,         0.4597,     82105.9141,     72480.2422
     19,         0.0081,         0.4505,         0.4586,         0.0000,         0.0000,       148.4659,        94.7358,       174.5247,       279.4455,       262.4365,       455.5505,         0.4586,     82105.7266,     72480.2422
     20,         0.0026,         0.4541,         0.4567,         0.0000,         0.0000,       148.0753,        94.6749,       174.2844,       279.8047,       262.4665,       455.5567,         0.4567,     82105.5391,     72480.2422
     21,         0.0000,         0.4501,         0.4501,         0.0000,         0.0000,       147.6857,        94.6141,       174.0445,       280.1669,       262.4969,       455.5628,         0.4501,     82105.3516,     72480.2422
     22,         0.0036,         0.4503,         0.4538,         0.0000,         0.0000,       147.2971,        94.5533,       173.8052,       280.5252,       262.5269,       455.5691,         0.4538,     82105.1641,     72480.2422
     23,         0.0000,         0.4525,         0.4525,         0.0000,         0.0000,       146.9096,        94.4927,       173.5663,       280.8823,       262.5565,       455.5755,         0.4525,     82104.9766,     72480.2422
