 sdoy, GPP_d,NEE_d,Reco_d,QC(1),QC(6),QC(2),QC(7), QC(3),QC(4),QC678,pheno,QC(5),NPP_d,Rh_d,Ra_d
      1,         0.0000,         0.6013,         0.6013,       120.7814,       350.0107,       119.8253,     86557.6250,       199.7332,       119.4783,    158027.6250,     10922.0000,       300.0386,         0.0000,         0.3411,         0.2602
      2,         0.0041,         0.5214,         0.5254,       120.4636,       350.0222,       119.7475,     86557.2500,       199.4551,       119.9630,    158027.2812,     10922.0000,       300.0788,         0.0000,         0.3532,         0.1722
      3,         0.0005,         0.4497,         0.4501,       120.1467,       350.0335,       119.6696,     86556.8750,       199.1774,       120.4477,    158026.9062,     10922.0000,       300.1195,         0.0000,         0.3497,         0.1005
      4,         0.0069,         0.4728,         0.4797,       119.8306,       350.0453,       119.5918,     86556.5000,       198.9001,       120.9301,    158026.5469,     10922.0000,       300.1600,         0.0000,         0.3509,         0.1288
      5,         0.0112,         0.5965,         0.6077,       119.5153,       350.0575,       119.5141,     86556.1250,       198.6232,       121.4094,    158026.1875,     10922.0000,       300.2002,         0.0000,         0.3553,         0.2524
      6,         0.0026,         0.5249,         0.5275,       119.2008,       350.0699,       119.4365,     86555.7500,       198.3467,       121.8877,    158025.8125,     10922.0000,       300.2405,         0.0000,         0.3533,         0.1742
      7,         0.0012,         0.6027,         0.6039,       118.8872,       350.0827,       119.3588,     86555.3750,       198.0706,       122.3635,    158025.4688,     10922.0000,       300.2808,         0.0000,         0.3560,         0.2479
      8,         0.0058,         0.5245,         0.5303,       118.5744,       350.0959,       119.2813,     86555.0000,       197.7950,       122.8383,    158025.0938,     10922.0000,       300.3210,         0.0000,         0.3542,         0.1761
      9,         0.0107,         0.4891,         0.4998,       118.2624,       350.1089,       119.2038,     86554.6250,       197.5198,       123.3122,    158024.7344,     10922.0000,       300.3616,         0.0000,         0.3522,         0.1476
     10,         0.0116,         0.6057,         0.6173,       117.9513,       350.1223,       119.1264,     86554.2500,       197.2449,       123.7833,    158024.3750,     10922.0000,       300.4019,         0.0000,         0.3549,         0.2624
     11,         0.0303,         0.7270,         0.7573,       117.6409,       350.1362,       119.0490,     86553.8750,       196.9705,       124.2518,    158024.0000,     10922.0000,       300.4420,         0.0000,         0.3578,         0.3995
     12,         0.0286,         0.7115,         0.7401,       117.3314,       350.1503,       118.9717,     86553.5000,       196.6965,       124.7186,    158023.6562,     10922.0000,       300.4823,         0.0000,         0.3579,         0.3822
     13,         0.0202,         0.7329,         0.7531,       117.0227,       350.1646,       118.8945,     86553.1250,       196.4230,       125.1836,    158023.2812,     10922.0000,       300.5226,         0.0000,         0.3584,         0.3947
     14,         0.0063,         0.6872,         0.6936,       116.7148,       350.1793,       118.8173,     86552.7500,       196.1499,       125.6472,    158022.9375,     10922.0000,       300.5628,         0.0000,         0.3577,         0.3358
