 month,GPP_m,NPP_m,Reco_m,NEE_m,Rh_m,Ra_m,RLEAV_m, RWOOD_m,RROOT_m,Rh4_m,Rh5_m,Rh6_m,Rh7_m,Rh8_m,pheno,NSC_yr,add_yr,store_yr, QC(1),QC(2),QC(3),QC(4),QC(5),QC(6),QC(7),QC(8), wcl(1),wcl(2),wcl(3),zwt,thawd,snowd,  ch4emission,ch4pro,ch4oxi,ch4difu,ch4ebusat,ch4pla, ch4v1,ch4v2,ch4v3,ch4v4,ch4v5,ch4v6,ch4v7,ch4v8,ch4v9,ch4v10,unsatebu
      1,         0.3463,         0.0000,        14.2298,        13.8835,        13.9999,         0.2299,         0.1680,         0.0150,         0.0469,         3.7742,         0.2856,         6.2805,         3.3519,         0.3077,       136.0000,        15.2736,         0.0000,         0.0768,       150.6200,       160.0498,       174.8344,       291.8647,       260.2038,       461.1541,     82097.2656,     72501.8984,         0.9287,         0.9477,         0.9483,       -54.2317,       150.0000,         0.2120,         0.3723,         0.8269,         0.1504,         0.1285,         0.1135,         0.1303,         0.0088,         1.8655,         3.9782,         5.8431,         7.1547,         7.7296,         7.8386,         7.8999,         7.9639,         8.0295,         0.0000
      2,         3.4101,         0.0027,        13.9505,        10.5404,        13.9083,         0.0422,         0.0301,         0.0030,         0.0091,         3.8592,         0.2825,         6.1723,         3.2921,         0.3022,       136.0000,        15.2736,         0.0000,         0.0768,       139.1753,       158.2090,       167.7588,       301.7303,       261.1171,       461.5032,     82091.6406,     72501.8984,         0.9529,         0.9446,         0.9465,       -47.1837,       150.0000,         0.4940,         0.4497,         0.8250,         0.1065,         0.1869,         0.1285,         0.1344,         0.0095,         1.8926,         4.0204,         5.7592,         7.2215,         7.8473,         7.9501,         8.0052,         8.0634,         8.1232,         0.0000
      3,         8.5283,         0.0000,        14.1609,         5.6326,        14.1013,         0.0596,         0.0423,         0.0044,         0.0128,         4.0046,         0.2854,         6.2028,         3.3051,         0.3034,       136.0000,        15.2736,         0.0000,         0.0768,       128.5991,       156.3926,       160.9818,       310.1369,       262.0032,       462.0050,     82086.0156,     72501.8984,         0.8863,         0.9404,         0.9437,       -64.4458,       150.0000,         0.5330,         0.4525,         0.7845,         0.1477,         0.1159,         0.2013,         0.1353,         0.0070,         2.0073,         4.1098,         5.7700,         7.2423,         7.9121,         8.0220,         8.0788,         8.1367,         8.1956,         0.0000
      4,        25.7616,         0.6493,        18.8716,        -6.8900,        16.0341,         2.8375,         2.0249,         0.2413,         0.5713,         4.6778,         0.3263,         6.9770,         3.7123,         0.3408,       136.0000,        15.2736,         0.0000,         0.0768,       119.1454,       154.6460,       154.6782,       315.7432,       262.7747,       462.8025,     82079.0000,     72503.2422,         0.9525,         0.9362,         0.9408,        18.1611,       150.0000,         0.0000,         0.7659,         1.1700,         0.0464,         0.4737,         0.0970,         0.1952,         0.0522,         1.6725,         4.0260,         5.6253,         7.1916,         8.0107,         8.1379,         8.2009,         8.2623,         8.3241,         0.0000
      5,        62.9350,        53.7786,        63.8812,         0.9462,        35.8509,        28.0303,        20.6565,         2.5439,         4.8299,        10.6229,         0.7447,        15.5058,         8.2225,         0.7550,       129.0000,        15.2736,         0.0000,         0.0768,       153.7406,       154.6243,       155.3704,       308.0166,       262.5690,       464.8111,     82058.5391,     72511.6016,         0.9527,         0.9378,         0.9414,       -38.2806,       150.0000,         0.0000,         1.9270,         2.7792,         0.3706,         0.5752,         0.6200,         0.7318,         0.0350,         0.9407,         3.2045,         4.5244,         6.2504,         8.1418,         8.4168,         8.5500,         8.6512,         8.7300,         0.0000
      6,       104.2130,        53.8358,       106.3331,         2.1201,        54.9196,        51.4135,        37.9579,         4.3003,         9.1553,        15.7733,         1.1502,        24.1065,        12.7210,         1.1687,       129.0000,        15.2736,         0.0000,         0.0768,       173.8629,       156.9064,       165.0826,       291.0101,       261.3867,       466.8869,     82025.5703,     72527.0391,         0.9523,         0.9309,         0.9380,        44.6482,       150.0000,         0.0000,         2.9415,         4.9394,         0.5960,         1.0317,         0.9336,         0.9762,         0.1630,         1.3222,         3.4287,         4.4553,         6.1057,         8.3126,         8.6915,         8.8795,         9.0293,         9.1483,         0.0000
      7,       144.3143,        62.3768,       154.1738,         9.8595,        84.4212,        69.7527,        50.5366,         5.8101,        13.4060,        22.7940,         1.8040,        38.0058,        19.9804,         1.8370,       129.0000,        15.2736,         0.0000,         0.0768,       190.6364,       161.2907,       182.7915,       257.5076,       258.5738,       467.3459,     81973.6250,     72542.1562,         0.9526,         0.9329,         0.9386,         5.9692,       150.0000,         0.0000,         6.7081,        10.1423,         0.5319,         3.3866,         1.7027,         1.6188,         0.2741,         2.2313,         4.8411,         5.5979,         6.6895,         9.0259,         9.4041,         9.5886,         9.7449,         9.8760,         0.0000
      8,       142.9210,        55.8064,       153.1097,        10.1887,        79.8654,        73.2443,        55.3450,         5.8144,        12.0849,        19.5822,         1.7182,        37.1711,        19.5913,         1.8027,       129.0000,        15.2736,         0.0000,         0.0768,       202.9333,       164.9699,       197.1903,       233.5841,       256.0020,       464.2415,     81922.6016,     72556.5859,         0.9161,         0.9344,         0.9394,       -61.4602,       150.0000,         0.0000,         7.5703,         9.9575,         0.4519,         3.3380,         2.4464,         1.7858,         0.0214,         1.8312,         4.7931,         5.5682,         6.5792,         9.1063,         9.4904,         9.6687,         9.8265,         9.9652,         0.0000
      9,        92.9525,        26.6957,       116.5052,        23.5526,        50.8216,        65.6835,        52.5679,         4.8431,         8.2726,        11.7200,         1.0846,        24.0724,        12.7689,         1.1757,       129.0000,        15.2736,         0.0000,         0.0768,       200.2117,       165.8893,       200.3237,       230.3489,       254.9809,       461.2362,     81891.2109,     72569.1797,         0.7678,         0.9372,         0.9417,       -82.3697,       150.0000,         0.0000,         3.2047,         3.9710,         0.7552,         0.0888,         1.9759,         1.1401,         0.0055,         0.8522,         3.6340,         4.4858,         5.7373,         8.2516,         8.6635,         8.8591,         9.0336,         9.1882,         0.0000
     10,        51.6012,        15.9139,        85.3870,        33.7857,        33.4973,        51.8896,        42.1658,         3.6303,         6.0935,         7.7365,         0.7069,        15.8344,         8.4418,         0.7777,       129.0000,        15.2736,         0.0000,         0.0768,       192.5189,       165.6549,       198.7970,       236.3099,       254.9021,       459.3704,     81869.9609,     72577.1797,         0.9528,         0.9410,         0.9440,       -47.5363,       150.0000,         0.0000,         2.0188,         2.5080,         0.4280,         0.1596,         1.0664,         0.7929,         0.0118,         0.6322,         3.2681,         4.2068,         5.5528,         7.6805,         8.0692,         8.2556,         8.4211,         8.5676,         0.0000
